batch_id,dataset_type,material_category,material_form,composition,commercial_fabric_id,sample_state,treatment_state,treatment_chemistry,treatment_method,area_density_g_m2,add_on_pct_initial,atmosphere,gas_flow_mL_min,heating_rate_C_min,T5_C,Tonset_C,Tmax1_C,Tmax2_C,R400_pct,R550_pct,LOI_pct,LOI_state,direct_numeric_use,evidence,source_title,year,journal,DOI,source_url,source_location,limitations
B20260921-107,commercial,viscose/flax blend,woven twill,viscose/flax cellulosic blend (viscose-majority; exact ratio unspecified),4,Commercial fabric 4 FR/MLSE before water soak,FR + plasma/UV treated,proprietary phosphorus- and nitrogen-containing FR formulation,"pad/dry then MLSE plasma/UV on both sides; 2 kW plasma, 95% N2/5% CO2, 650 mJ excimer laser, 20 m/min",421,8.5,air,,10,168,,294,498,42,19,29.6,FR/Plasma/UV before 40 °C water soak,yes,"Peer-reviewed study; values transcribed from open author preprint matching Fibers 2018 article. TGA 50–700 °C in air at 10 °C/min; LOI ASTM D2863. Tables 1–3 provide commercial fabric construction/add-on, LOI, and TGA values.",Environmentally Sustainable Flame Retardant Surface Treatments for Textiles: The Potential of a Novel Atmospheric Plasma/UV Laser Technology,2018,Fibers,10.3390/fib6020031,https://www.preprints.org/manuscript/201804.0094/v1/download,"Methods §2.1, §2.4; Tables 1–3","Except fabric 1 (80/20 viscose/linen), exact viscose/flax blend ratios were not disclosed. Source labels the 5% mass-loss temperature as Tonset; stored as T5_C for cross-study semantic consistency. Initial FR add-on is retained for post-soak rows although actual retained add-on after soaking was not quantified."
B20260921-108,commercial,viscose/flax blend,woven twill,viscose/flax cellulosic blend (viscose-majority; exact ratio unspecified),4,Commercial fabric 4 FR/MLSE after water soak,FR + plasma/UV treated + water soaked,proprietary phosphorus- and nitrogen-containing FR formulation,"same FR/MLSE treatment followed by 40 °C, 30 min water soak",421,8.5,air,,10,85,,320,497,34,10,23.2,"FR/Plasma/UV after 40 °C, 30 min water soak",yes,"Peer-reviewed study; values transcribed from open author preprint matching Fibers 2018 article. TGA 50–700 °C in air at 10 °C/min; LOI ASTM D2863. Tables 1–3 provide commercial fabric construction/add-on, LOI, and TGA values.",Environmentally Sustainable Flame Retardant Surface Treatments for Textiles: The Potential of a Novel Atmospheric Plasma/UV Laser Technology,2018,Fibers,10.3390/fib6020031,https://www.preprints.org/manuscript/201804.0094/v1/download,"Methods §2.1, §2.4; Tables 1–3","Except fabric 1 (80/20 viscose/linen), exact viscose/flax blend ratios were not disclosed. Source labels the 5% mass-loss temperature as Tonset; stored as T5_C for cross-study semantic consistency. Initial FR add-on is retained for post-soak rows although actual retained add-on after soaking was not quantified."
B20260921-109,commercial,viscose/flax blend,woven,viscose/flax cellulosic blend (viscose-majority; exact ratio unspecified),5,Commercial fabric 5 untreated,untreated,,,410,0,air,,10,65,,334,452,20,0.9,18.9,untreated,yes,"Peer-reviewed study; values transcribed from open author preprint matching Fibers 2018 article. TGA 50–700 °C in air at 10 °C/min; LOI ASTM D2863. Tables 1–3 provide commercial fabric construction/add-on, LOI, and TGA values.",Environmentally Sustainable Flame Retardant Surface Treatments for Textiles: The Potential of a Novel Atmospheric Plasma/UV Laser Technology,2018,Fibers,10.3390/fib6020031,https://www.preprints.org/manuscript/201804.0094/v1/download,"Methods §2.1, §2.4; Tables 1–3","Except fabric 1 (80/20 viscose/linen), exact viscose/flax blend ratios were not disclosed. Source labels the 5% mass-loss temperature as Tonset; stored as T5_C for cross-study semantic consistency. Initial FR add-on is retained for post-soak rows although actual retained add-on after soaking was not quantified."
B20260921-110,commercial,viscose/flax blend,woven,viscose/flax cellulosic blend (viscose-majority; exact ratio unspecified),5,Commercial fabric 5 FR/MLSE before water soak,FR + plasma/UV treated,proprietary phosphorus- and nitrogen-containing FR formulation,"pad/dry then MLSE plasma/UV on both sides; 2 kW plasma, 95% N2/5% CO2, 650 mJ excimer laser, 20 m/min",410,13.4,air,,10,107,,336,500,40,16,29.9,FR/Plasma/UV before 40 °C water soak,yes,"Peer-reviewed study; values transcribed from open author preprint matching Fibers 2018 article. TGA 50–700 °C in air at 10 °C/min; LOI ASTM D2863. Tables 1–3 provide commercial fabric construction/add-on, LOI, and TGA values.",Environmentally Sustainable Flame Retardant Surface Treatments for Textiles: The Potential of a Novel Atmospheric Plasma/UV Laser Technology,2018,Fibers,10.3390/fib6020031,https://www.preprints.org/manuscript/201804.0094/v1/download,"Methods §2.1, §2.4; Tables 1–3","Except fabric 1 (80/20 viscose/linen), exact viscose/flax blend ratios were not disclosed. Source labels the 5% mass-loss temperature as Tonset; stored as T5_C for cross-study semantic consistency. Initial FR add-on is retained for post-soak rows although actual retained add-on after soaking was not quantified."
B20260921-111,commercial,viscose/flax blend,woven,viscose/flax cellulosic blend (viscose-majority; exact ratio unspecified),5,Commercial fabric 5 FR/MLSE after water soak,FR + plasma/UV treated + water soaked,proprietary phosphorus- and nitrogen-containing FR formulation,"same FR/MLSE treatment followed by 40 °C, 30 min water soak",410,13.4,air,,10,91,,317,491,32,7,22.9,"FR/Plasma/UV after 40 °C, 30 min water soak",yes,"Peer-reviewed study; values transcribed from open author preprint matching Fibers 2018 article. TGA 50–700 °C in air at 10 °C/min; LOI ASTM D2863. Tables 1–3 provide commercial fabric construction/add-on, LOI, and TGA values.",Environmentally Sustainable Flame Retardant Surface Treatments for Textiles: The Potential of a Novel Atmospheric Plasma/UV Laser Technology,2018,Fibers,10.3390/fib6020031,https://www.preprints.org/manuscript/201804.0094/v1/download,"Methods §2.1, §2.4; Tables 1–3","Except fabric 1 (80/20 viscose/linen), exact viscose/flax blend ratios were not disclosed. Source labels the 5% mass-loss temperature as Tonset; stored as T5_C for cross-study semantic consistency. Initial FR add-on is retained for post-soak rows although actual retained add-on after soaking was not quantified."
B20260921-112,commercial,viscose/flax blend,woven twill,viscose/flax cellulosic blend (viscose-majority; exact ratio unspecified),6,Commercial fabric 6 untreated,untreated,,,388,0,air,,10,60,,334,460,21,0.2,18.9,untreated,yes,"Peer-reviewed study; values transcribed from open author preprint matching Fibers 2018 article. TGA 50–700 °C in air at 10 °C/min; LOI ASTM D2863. Tables 1–3 provide commercial fabric construction/add-on, LOI, and TGA values.",Environmentally Sustainable Flame Retardant Surface Treatments for Textiles: The Potential of a Novel Atmospheric Plasma/UV Laser Technology,2018,Fibers,10.3390/fib6020031,https://www.preprints.org/manuscript/201804.0094/v1/download,"Methods §2.1, §2.4; Tables 1–3","Except fabric 1 (80/20 viscose/linen), exact viscose/flax blend ratios were not disclosed. Source labels the 5% mass-loss temperature as Tonset; stored as T5_C for cross-study semantic consistency. Initial FR add-on is retained for post-soak rows although actual retained add-on after soaking was not quantified."
B20260921-113,commercial,viscose/flax blend,woven twill,viscose/flax cellulosic blend (viscose-majority; exact ratio unspecified),6,Commercial fabric 6 FR/MLSE before water soak,FR + plasma/UV treated,proprietary phosphorus- and nitrogen-containing FR formulation,"pad/dry then MLSE plasma/UV on both sides; 2 kW plasma, 95% N2/5% CO2, 650 mJ excimer laser, 20 m/min",388,11.1,air,,10,116,,333,500,41,17,29.5,FR/Plasma/UV before 40 °C water soak,yes,"Peer-reviewed study; values transcribed from open author preprint matching Fibers 2018 article. TGA 50–700 °C in air at 10 °C/min; LOI ASTM D2863. Tables 1–3 provide commercial fabric construction/add-on, LOI, and TGA values.",Environmentally Sustainable Flame Retardant Surface Treatments for Textiles: The Potential of a Novel Atmospheric Plasma/UV Laser Technology,2018,Fibers,10.3390/fib6020031,https://www.preprints.org/manuscript/201804.0094/v1/download,"Methods §2.1, §2.4; Tables 1–3","Except fabric 1 (80/20 viscose/linen), exact viscose/flax blend ratios were not disclosed. Source labels the 5% mass-loss temperature as Tonset; stored as T5_C for cross-study semantic consistency. Initial FR add-on is retained for post-soak rows although actual retained add-on after soaking was not quantified."
B20260921-114,commercial,viscose/flax blend,woven twill,viscose/flax cellulosic blend (viscose-majority; exact ratio unspecified),6,Commercial fabric 6 FR/MLSE after water soak,FR + plasma/UV treated + water soaked,proprietary phosphorus- and nitrogen-containing FR formulation,"same FR/MLSE treatment followed by 40 °C, 30 min water soak",388,11.1,air,,10,113,,319,496,35,10,23.3,"FR/Plasma/UV after 40 °C, 30 min water soak",yes,"Peer-reviewed study; values transcribed from open author preprint matching Fibers 2018 article. TGA 50–700 °C in air at 10 °C/min; LOI ASTM D2863. Tables 1–3 provide commercial fabric construction/add-on, LOI, and TGA values.",Environmentally Sustainable Flame Retardant Surface Treatments for Textiles: The Potential of a Novel Atmospheric Plasma/UV Laser Technology,2018,Fibers,10.3390/fib6020031,https://www.preprints.org/manuscript/201804.0094/v1/download,"Methods §2.1, §2.4; Tables 1–3","Except fabric 1 (80/20 viscose/linen), exact viscose/flax blend ratios were not disclosed. Source labels the 5% mass-loss temperature as Tonset; stored as T5_C for cross-study semantic consistency. Initial FR add-on is retained for post-soak rows although actual retained add-on after soaking was not quantified."
B20260921-115,commercial,viscose/flax blend,woven chenille,viscose/flax cellulosic blend (viscose-majority; exact ratio unspecified),7,Commercial fabric 7 untreated,untreated,,,332,0,air,,10,86,,340,464,18,0,19.1,untreated,yes,"Peer-reviewed study; values transcribed from open author preprint matching Fibers 2018 article. TGA 50–700 °C in air at 10 °C/min; LOI ASTM D2863. Tables 1–3 provide commercial fabric construction/add-on, LOI, and TGA values.",Environmentally Sustainable Flame Retardant Surface Treatments for Textiles: The Potential of a Novel Atmospheric Plasma/UV Laser Technology,2018,Fibers,10.3390/fib6020031,https://www.preprints.org/manuscript/201804.0094/v1/download,"Methods §2.1, §2.4; Tables 1–3","Except fabric 1 (80/20 viscose/linen), exact viscose/flax blend ratios were not disclosed. Source labels the 5% mass-loss temperature as Tonset; stored as T5_C for cross-study semantic consistency. Initial FR add-on is retained for post-soak rows although actual retained add-on after soaking was not quantified."
B20260921-116,commercial,viscose/flax blend,woven chenille,viscose/flax cellulosic blend (viscose-majority; exact ratio unspecified),7,Commercial fabric 7 FR/MLSE before water soak,FR + plasma/UV treated,proprietary phosphorus- and nitrogen-containing FR formulation,"pad/dry then MLSE plasma/UV on both sides; 2 kW plasma, 95% N2/5% CO2, 650 mJ excimer laser, 20 m/min",332,27.7,air,,10,191,,302,500,40,15,32.1,FR/Plasma/UV before 40 °C water soak,yes,"Peer-reviewed study; values transcribed from open author preprint matching Fibers 2018 article. TGA 50–700 °C in air at 10 °C/min; LOI ASTM D2863. Tables 1–3 provide commercial fabric construction/add-on, LOI, and TGA values.",Environmentally Sustainable Flame Retardant Surface Treatments for Textiles: The Potential of a Novel Atmospheric Plasma/UV Laser Technology,2018,Fibers,10.3390/fib6020031,https://www.preprints.org/manuscript/201804.0094/v1/download,"Methods §2.1, §2.4; Tables 1–3","Except fabric 1 (80/20 viscose/linen), exact viscose/flax blend ratios were not disclosed. Source labels the 5% mass-loss temperature as Tonset; stored as T5_C for cross-study semantic consistency. Initial FR add-on is retained for post-soak rows although actual retained add-on after soaking was not quantified."
B20260921-117,commercial,viscose/flax blend,woven chenille,viscose/flax cellulosic blend (viscose-majority; exact ratio unspecified),7,Commercial fabric 7 FR/MLSE after water soak,FR + plasma/UV treated + water soaked,proprietary phosphorus- and nitrogen-containing FR formulation,"same FR/MLSE treatment followed by 40 °C, 30 min water soak",332,27.7,air,,10,216,,312,500,37,11,25.4,"FR/Plasma/UV after 40 °C, 30 min water soak",yes,"Peer-reviewed study; values transcribed from open author preprint matching Fibers 2018 article. TGA 50–700 °C in air at 10 °C/min; LOI ASTM D2863. Tables 1–3 provide commercial fabric construction/add-on, LOI, and TGA values.",Environmentally Sustainable Flame Retardant Surface Treatments for Textiles: The Potential of a Novel Atmospheric Plasma/UV Laser Technology,2018,Fibers,10.3390/fib6020031,https://www.preprints.org/manuscript/201804.0094/v1/download,"Methods §2.1, §2.4; Tables 1–3","Except fabric 1 (80/20 viscose/linen), exact viscose/flax blend ratios were not disclosed. Source labels the 5% mass-loss temperature as Tonset; stored as T5_C for cross-study semantic consistency. Initial FR add-on is retained for post-soak rows although actual retained add-on after soaking was not quantified."
B20260921-118,commercial,viscose/flax blend,woven twill,viscose/flax cellulosic blend (viscose-majority; exact ratio unspecified),8,Commercial fabric 8 untreated,untreated,,,337,0,air,,10,82,,336,436,19,0,19.2,untreated,yes,"Peer-reviewed study; values transcribed from open author preprint matching Fibers 2018 article. TGA 50–700 °C in air at 10 °C/min; LOI ASTM D2863. Tables 1–3 provide commercial fabric construction/add-on, LOI, and TGA values.",Environmentally Sustainable Flame Retardant Surface Treatments for Textiles: The Potential of a Novel Atmospheric Plasma/UV Laser Technology,2018,Fibers,10.3390/fib6020031,https://www.preprints.org/manuscript/201804.0094/v1/download,"Methods §2.1, §2.4; Tables 1–3","Except fabric 1 (80/20 viscose/linen), exact viscose/flax blend ratios were not disclosed. Source labels the 5% mass-loss temperature as Tonset; stored as T5_C for cross-study semantic consistency. Initial FR add-on is retained for post-soak rows although actual retained add-on after soaking was not quantified."
B20260921-119,commercial,viscose/flax blend,woven twill,viscose/flax cellulosic blend (viscose-majority; exact ratio unspecified),8,Commercial fabric 8 FR/MLSE before water soak,FR + plasma/UV treated,proprietary phosphorus- and nitrogen-containing FR formulation,"pad/dry then MLSE plasma/UV on both sides; 2 kW plasma, 95% N2/5% CO2, 650 mJ excimer laser, 20 m/min",337,23,air,,10,217,,331,497,42,19,32.2,FR/Plasma/UV before 40 °C water soak,yes,"Peer-reviewed study; values transcribed from open author preprint matching Fibers 2018 article. TGA 50–700 °C in air at 10 °C/min; LOI ASTM D2863. Tables 1–3 provide commercial fabric construction/add-on, LOI, and TGA values.",Environmentally Sustainable Flame Retardant Surface Treatments for Textiles: The Potential of a Novel Atmospheric Plasma/UV Laser Technology,2018,Fibers,10.3390/fib6020031,https://www.preprints.org/manuscript/201804.0094/v1/download,"Methods §2.1, §2.4; Tables 1–3","Except fabric 1 (80/20 viscose/linen), exact viscose/flax blend ratios were not disclosed. Source labels the 5% mass-loss temperature as Tonset; stored as T5_C for cross-study semantic consistency. Initial FR add-on is retained for post-soak rows although actual retained add-on after soaking was not quantified."
B20260921-120,commercial,viscose/flax blend,woven twill,viscose/flax cellulosic blend (viscose-majority; exact ratio unspecified),8,Commercial fabric 8 FR/MLSE after water soak,FR + plasma/UV treated + water soaked,proprietary phosphorus- and nitrogen-containing FR formulation,"same FR/MLSE treatment followed by 40 °C, 30 min water soak",337,23,air,,10,225,,307,497,35,8,25.6,"FR/Plasma/UV after 40 °C, 30 min water soak",yes,"Peer-reviewed study; values transcribed from open author preprint matching Fibers 2018 article. TGA 50–700 °C in air at 10 °C/min; LOI ASTM D2863. Tables 1–3 provide commercial fabric construction/add-on, LOI, and TGA values.",Environmentally Sustainable Flame Retardant Surface Treatments for Textiles: The Potential of a Novel Atmospheric Plasma/UV Laser Technology,2018,Fibers,10.3390/fib6020031,https://www.preprints.org/manuscript/201804.0094/v1/download,"Methods §2.1, §2.4; Tables 1–3","Except fabric 1 (80/20 viscose/linen), exact viscose/flax blend ratios were not disclosed. Source labels the 5% mass-loss temperature as Tonset; stored as T5_C for cross-study semantic consistency. Initial FR add-on is retained for post-soak rows although actual retained add-on after soaking was not quantified."
B20260921-121,commercial,viscose/flax blend,woven twill,viscose/flax cellulosic blend (viscose-majority; exact ratio unspecified),9,Commercial fabric 9 untreated,untreated,,,447,0,air,,10,64,,330,435,19,0,19,untreated,yes,"Peer-reviewed study; values transcribed from open author preprint matching Fibers 2018 article. TGA 50–700 °C in air at 10 °C/min; LOI ASTM D2863. Tables 1–3 provide commercial fabric construction/add-on, LOI, and TGA values.",Environmentally Sustainable Flame Retardant Surface Treatments for Textiles: The Potential of a Novel Atmospheric Plasma/UV Laser Technology,2018,Fibers,10.3390/fib6020031,https://www.preprints.org/manuscript/201804.0094/v1/download,"Methods §2.1, §2.4; Tables 1–3","Except fabric 1 (80/20 viscose/linen), exact viscose/flax blend ratios were not disclosed. Source labels the 5% mass-loss temperature as Tonset; stored as T5_C for cross-study semantic consistency. Initial FR add-on is retained for post-soak rows although actual retained add-on after soaking was not quantified."
B20260921-122,commercial,viscose/flax blend,woven twill,viscose/flax cellulosic blend (viscose-majority; exact ratio unspecified),9,Commercial fabric 9 FR/MLSE before water soak,FR + plasma/UV treated,proprietary phosphorus- and nitrogen-containing FR formulation,"pad/dry then MLSE plasma/UV on both sides; 2 kW plasma, 95% N2/5% CO2, 650 mJ excimer laser, 20 m/min",447,14,air,,10,136,,342,494,40,16,29.8,FR/Plasma/UV before 40 °C water soak,yes,"Peer-reviewed study; values transcribed from open author preprint matching Fibers 2018 article. TGA 50–700 °C in air at 10 °C/min; LOI ASTM D2863. Tables 1–3 provide commercial fabric construction/add-on, LOI, and TGA values.",Environmentally Sustainable Flame Retardant Surface Treatments for Textiles: The Potential of a Novel Atmospheric Plasma/UV Laser Technology,2018,Fibers,10.3390/fib6020031,https://www.preprints.org/manuscript/201804.0094/v1/download,"Methods §2.1, §2.4; Tables 1–3","Except fabric 1 (80/20 viscose/linen), exact viscose/flax blend ratios were not disclosed. Source labels the 5% mass-loss temperature as Tonset; stored as T5_C for cross-study semantic consistency. Initial FR add-on is retained for post-soak rows although actual retained add-on after soaking was not quantified."
