batch_id,material_category,material_form,composition,sample_state,treatment_state,treatment_chemistry,treatment_method,atmosphere,gas_flow_mL_min,heating_rate_C_min,T5_C,T10_C,T50_C,Tonset_C,Tmax1_C,Tmax2_C,residue_at_Tmax_pct,R500_pct,R600_pct,R800_pct,LOI_pct,LOI_state,direct_numeric_use,evidence,source_title,year,journal,DOI,source_url,source_location,limitations
B20260921-028,cotton,single jersey knitted fabric,100% cotton,BSCtn,FR treated,bean seed natural FR + 10% rubber gum,padding mangle; 40% pickup; dry 90 °C 2 min; cure 150 °C 30 s,N2,,5,250,,,,366.4,439.3,38.6,,10.9,,24.1,0 washing cycles,yes,"Open-access article; TGA method explicit (N2, 5 °C/min) and numerical TGA Table 3 paired with 0-wash LOI Table 4",Evaluation of flame retardant knitted fabrics treated with nitrogen containing natural substances using Taguchi method,2026,Discover Applied Sciences,10.1007/s42452-025-08163-y,https://link.springer.com/article/10.1007/s42452-025-08163-y,Methods §3.3; Tables 3 and 4,
B20260921-029,cotton,single jersey knitted fabric,100% cotton,TSCtn (TLCtn elsewhere),FR treated,tea leaf natural FR + 10% rubber gum,padding mangle; 40% pickup; dry 90 °C 2 min; cure 150 °C 30 s,N2,,5,300.4,,,,374.2,443.7,35.8,,14,,23.8,0 washing cycles,yes,"Open-access article; TGA method explicit (N2, 5 °C/min) and numerical TGA Table 3 paired with 0-wash LOI Table 4",Evaluation of flame retardant knitted fabrics treated with nitrogen containing natural substances using Taguchi method,2026,Discover Applied Sciences,10.1007/s42452-025-08163-y,https://link.springer.com/article/10.1007/s42452-025-08163-y,Methods §3.3; Tables 3 and 4,Table 3 uses TSCtn whereas sample-definition/LOI table uses TLCtn; treated as the same tea-leaf cotton state.
B20260921-030,viscose,single jersey knitted fabric,100% viscose,UVis,untreated,,,N2,,5,80.4,,,,,360.5,29.8,,2,,16.1,0 washing cycles,yes,"Open-access article; TGA method explicit (N2, 5 °C/min) and numerical TGA Table 3 paired with 0-wash LOI Table 4",Evaluation of flame retardant knitted fabrics treated with nitrogen containing natural substances using Taguchi method,2026,Discover Applied Sciences,10.1007/s42452-025-08163-y,https://link.springer.com/article/10.1007/s42452-025-08163-y,Methods §3.3; Tables 3 and 4,
B20260921-031,viscose,single jersey knitted fabric,100% viscose,BSVis,FR treated,bean seed natural FR + 10% rubber gum,padding mangle; 40% pickup; dry 90 °C 2 min; cure 150 °C 30 s,N2,,5,104.1,,,,,343.9,41.8,,13.2,,23.1,0 washing cycles,yes,"Open-access article; TGA method explicit (N2, 5 °C/min) and numerical TGA Table 3 paired with 0-wash LOI Table 4",Evaluation of flame retardant knitted fabrics treated with nitrogen containing natural substances using Taguchi method,2026,Discover Applied Sciences,10.1007/s42452-025-08163-y,https://link.springer.com/article/10.1007/s42452-025-08163-y,Methods §3.3; Tables 3 and 4,
B20260921-032,viscose,single jersey knitted fabric,100% viscose,TLVis,FR treated,tea leaf natural FR + 10% rubber gum,padding mangle; 40% pickup; dry 90 °C 2 min; cure 150 °C 30 s,N2,,5,221.3,,,,370.4,442.2,33.1,,12.7,,24.5,0 washing cycles,yes,"Open-access article; TGA method explicit (N2, 5 °C/min) and numerical TGA Table 3 paired with 0-wash LOI Table 4",Evaluation of flame retardant knitted fabrics treated with nitrogen containing natural substances using Taguchi method,2026,Discover Applied Sciences,10.1007/s42452-025-08163-y,https://link.springer.com/article/10.1007/s42452-025-08163-y,Methods §3.3; Tables 3 and 4,
B20260921-033,para-aramid,single jersey knitted fabric,100% para-aramid,UPA,untreated,,,N2,,5,428.8,,,,,602.9,66.3,,69.7,,29.4,0 washing cycles,yes,"Open-access article; TGA method explicit (N2, 5 °C/min) and numerical TGA Table 3 paired with 0-wash LOI Table 4",Evaluation of flame retardant knitted fabrics treated with nitrogen containing natural substances using Taguchi method,2026,Discover Applied Sciences,10.1007/s42452-025-08163-y,https://link.springer.com/article/10.1007/s42452-025-08163-y,Methods §3.3; Tables 3 and 4,
B20260921-034,para-aramid,single jersey knitted fabric,100% para-aramid,BSPA,FR treated,bean seed natural FR + 10% rubber gum,padding mangle; 40% pickup; dry 90 °C 2 min; cure 150 °C 30 s,N2,,5,98.5,,,,,603.8,42.9,,46.1,,36.2,0 washing cycles,yes,"Open-access article; TGA method explicit (N2, 5 °C/min) and numerical TGA Table 3 paired with 0-wash LOI Table 4",Evaluation of flame retardant knitted fabrics treated with nitrogen containing natural substances using Taguchi method,2026,Discover Applied Sciences,10.1007/s42452-025-08163-y,https://link.springer.com/article/10.1007/s42452-025-08163-y,Methods §3.3; Tables 3 and 4,
B20260921-035,para-aramid,single jersey knitted fabric,100% para-aramid,TLPA,FR treated,tea leaf natural FR + 10% rubber gum,padding mangle; 40% pickup; dry 90 °C 2 min; cure 150 °C 30 s,N2,,5,218.5,,,,,611.1,52.5,,61.5,,37.2,0 washing cycles,yes,"Open-access article; TGA method explicit (N2, 5 °C/min) and numerical TGA Table 3 paired with 0-wash LOI Table 4",Evaluation of flame retardant knitted fabrics treated with nitrogen containing natural substances using Taguchi method,2026,Discover Applied Sciences,10.1007/s42452-025-08163-y,https://link.springer.com/article/10.1007/s42452-025-08163-y,Methods §3.3; Tables 3 and 4,
B20260921-036,meta-aramid,plain-woven fabric,meta-aramid fabric,AF,untreated,,,N2,50,10,387.3,,,,461.1,,,,,51.2,31.4,as prepared,yes,Open full text numerical TGA/DTG Table 2 + LOI Table 3; TGA condition reported in Methods,"Multifunctional Meta-Aramid Fabrics Enhanced with Inherent Flame-Retardant Polyurea Coatings: Integration of Mechanical Strength, Puncture Resistance, and Self-Healing Properties",2025,Polymers,10.3390/polym17111529,https://www.mdpi.com/2073-4360/17/11/1529,Methods; Tables 1–3,
B20260921-037,meta-aramid,plain-woven fabric,meta-aramid fabric,PUA/AF-1,PUA coated,polyurea coating; no OP550,scraping coating,N2,50,10,271.3,,,,324.4,,,,,22.9,20.9,as prepared,yes,Open full text numerical TGA/DTG Table 2 + LOI Table 3; TGA condition reported in Methods,"Multifunctional Meta-Aramid Fabrics Enhanced with Inherent Flame-Retardant Polyurea Coatings: Integration of Mechanical Strength, Puncture Resistance, and Self-Healing Properties",2025,Polymers,10.3390/polym17111529,https://www.mdpi.com/2073-4360/17/11/1529,Methods; Tables 1–3,
B20260921-038,meta-aramid,plain-woven fabric,meta-aramid fabric,PUA/AF-2,FR PUA coated,polyurea coating + Exolit OP550; 21.9 wt% in coating,scraping coating,N2,50,10,238.1,,,,351.1,,,,,33.4,26.5,as prepared,yes,Open full text numerical TGA/DTG Table 2 + LOI Table 3; TGA condition reported in Methods,"Multifunctional Meta-Aramid Fabrics Enhanced with Inherent Flame-Retardant Polyurea Coatings: Integration of Mechanical Strength, Puncture Resistance, and Self-Healing Properties",2025,Polymers,10.3390/polym17111529,https://www.mdpi.com/2073-4360/17/11/1529,Methods; Tables 1–3,
B20260921-039,meta-aramid,plain-woven fabric,meta-aramid fabric,PUA/AF-3,FR PUA coated,polyurea coating + Exolit OP550; 24.1 wt% in coating,scraping coating,N2,50,10,233.9,,,,340.2,,,,,31.6,26.9,as prepared,yes,Open full text numerical TGA/DTG Table 2 + LOI Table 3; TGA condition reported in Methods,"Multifunctional Meta-Aramid Fabrics Enhanced with Inherent Flame-Retardant Polyurea Coatings: Integration of Mechanical Strength, Puncture Resistance, and Self-Healing Properties",2025,Polymers,10.3390/polym17111529,https://www.mdpi.com/2073-4360/17/11/1529,Methods; Tables 1–3,
B20260921-040,meta-aramid,plain-woven fabric,meta-aramid fabric,PUA/AF-4,FR PUA coated,polyurea coating + Exolit OP550; 25.9 wt% in coating,scraping coating,N2,50,10,227.2,,,,340.9,,,,,33.1,27.4,as prepared,yes,Open full text numerical TGA/DTG Table 2 + LOI Table 3; TGA condition reported in Methods,"Multifunctional Meta-Aramid Fabrics Enhanced with Inherent Flame-Retardant Polyurea Coatings: Integration of Mechanical Strength, Puncture Resistance, and Self-Healing Properties",2025,Polymers,10.3390/polym17111529,https://www.mdpi.com/2073-4360/17/11/1529,Methods; Tables 1–3,
B20260921-041,meta-aramid,plain-woven fabric,meta-aramid fabric,PUA/AF-5,FR PUA coated,polyurea coating + Exolit OP550; 27.6 wt% in coating,scraping coating,N2,50,10,218.9,,,,345.8,,,,,32.9,27.8,as prepared,yes,Open full text numerical TGA/DTG Table 2 + LOI Table 3; TGA condition reported in Methods,"Multifunctional Meta-Aramid Fabrics Enhanced with Inherent Flame-Retardant Polyurea Coatings: Integration of Mechanical Strength, Puncture Resistance, and Self-Healing Properties",2025,Polymers,10.3390/polym17111529,https://www.mdpi.com/2073-4360/17/11/1529,Methods; Tables 1–3,
