<PARSED TEXT FOR SHEET: 1 / 1 TABS
TAB NAME: priority_download.csv>index,candidate_id,下载批次,基材类别,题名,年份,期刊,DOI,下载入口,TG证据,LOI证据,预计状态_低,预计状态_高,访问状态,下载/提取提示
10,C106,A01,聚酯,Environmentally benign few-bilayer intumescent nanocoating for flame retardant enzyme/plasma modified polyester fabric,2023,Polymer Degradation and Stability,10.1016/j.polymdegradstab.2023.110406,https://doi.org/10.1016/j.polymdegradstab.2023.110406,TG已确认,LOI/燃烧已确认,6,15,出版社页已找到；全文权限待下载,先下载正文+SI；优先提取全部处理量/层数/洗涤状态，不只取最佳配方
11,C128,A01,棉/聚酯,Facile construction of H3PO3-modified chitosan/montmorillonite coatings for highly efficient flame retardation of polyester–cotton fabrics,2023,Progress in Organic Coatings,10.1016/j.porgcoat.2023.107864,https://doi.org/10.1016/j.porgcoat.2023.107864,thermal decomposition behavior明确,LOI已明确；50次洗涤,5,15,出版社页已找到；全文/补充材料待下载核验,先下载正文+SI；优先提取全部处理量/层数/洗涤状态，不只取最佳配方
12,C001,A01,棉,An innovative method for preparing durable flame-retardant cotton fabrics using tetrakis(hydroxymethyl)phosphonium sulfate without specialized equipment,2025,International Journal of Biological Macromolecules,10.1016/j.ijbiomac.2024.139279,https://doi.org/10.1016/j.ijbiomac.2024.139279,TG/DTG已确认,LOI已确认,6,14,出版社页已找到；全文权限待下载,先下载正文+SI；优先提取全部处理量/层数/洗涤状态，不只取最佳配方
13,C002,A01,棉,Fabrication of Highly Efficient Flame-Retardant and Fluorine-Free Superhydrophobic Cotton Fabric by Constructing Multielement-Containing POSS@ZIF-67@PDMS Micro–Nano Hierarchical Coatings,2022,ACS Applied Materials & Interfaces,10.1021/acsami.2c14709,https://doi.org/10.1021/acsami.2c14709,TG已确认,LOI已确认,6,14,出版社页已找到；全文权限待下载,先下载正文+SI；优先提取全部处理量/层数/洗涤状态，不只取最佳配方
14,C003,A01,棉,Synthesis of a novel P-N flame retardant for preparing flame retardant and durable cotton fabric,2021,Industrial Crops and Products,10.1016/j.indcrop.2021.114205,https://doi.org/10.1016/j.indcrop.2021.114205,TG已明确（N2/空气）,LOI已明确；含50次洗涤,5,14,出版社页已找到；全文/补充材料待下载核验,先下载正文+SI；优先提取全部处理量/层数/洗涤状态，不只取最佳配方
15,C004,A01,棉,"Eco-friendly, less toxic, and washing-durable flame-retardant finishing for cotton fabrics using a blocked isocyanate and 3-(dimethylphosphono)-N-methylolpropionamide",2021,Materials Chemistry and Physics,10.1016/j.matchemphys.2021.125149,https://doi.org/10.1016/j.matchemphys.2021.125149,TG/DTG已确认,LOI已确认,6,14,出版社页已找到；全文权限待下载,先下载正文+SI；优先提取全部处理量/层数/洗涤状态，不只取最佳配方
16,C005,A01,棉,Effect of phosphorus flame retardants on thermo-oxidative decomposition of cotton,2007,Polymer Degradation and Stability,10.1016/j.polymdegradstab.2007.03.009,https://doi.org/10.1016/j.polymdegradstab.2007.03.009,TG已确认,LOI待PDF确认,7,14,出版社页已找到；全文权限待下载,先下载正文+SI；优先提取全部处理量/层数/洗涤状态，不只取最佳配方
17,C006,A01,棉,Thermogravimetric analysis study of the mechanism of pyrolysis of untreated and flame retardant treated cotton fabrics under a continuous flow of nitrogen,1994,Polymer Degradation and Stability,10.1016/0141-3910(94)90091-4,https://doi.org/10.1016/0141-3910(94)90091-4,TG已确认,LOI待PDF确认,6,14,出版社页已找到；全文权限待下载,先下载正文+SI；优先提取全部处理量/层数/洗涤状态，不只取最佳配方
18,C107,A01,聚酯,Biobased Layer-by-Layer Assembly of Adenosine Triphosphate and Phosphorylated Chitosan for Flame-Retardant and Antibacterial Polyester Fabric,2026,Journal of Polymer Science,10.1002/pol.20251226,https://doi.org/10.1002/pol.20251226,TG已确认,LOI已确认,6,14,出版社页已找到；全文权限待下载,先下载正文+SI；优先提取全部处理量/层数/洗涤状态，不只取最佳配方
19,C108,A01,聚酯,Durable flame retardant and anti-dripping of PET fabric using bio-based covalent crosslinking intumescent system of chitosan and phytic acid,2023,Progress in Organic Coatings,,,TG已确认,LOI已确认,6,14,出版社页已找到；全文权限待下载,先下载正文+SI；优先提取全部处理量/层数/洗涤状态，不只取最佳配方
20,C109,A02,聚酯,Durable flame retardant and dip-resistant coating of polyester fabrics by plasma surface treatment and UV-curing,2022,Progress in Organic Coatings,10.1016/j.porgcoat.2022.107066,https://doi.org/10.1016/j.porgcoat.2022.107066,TG已确认,LOI/燃烧已确认,6,14,出版社页已找到；全文权限待下载,先下载正文+SI；优先提取全部处理量/层数/洗涤状态，不只取最佳配方
21,C110,A02,聚酯,Durable flame retardant treatment of polyethylene terephthalate (PET) fabric with cross-linked layer-by-layer assembled coating,2019,Polymer Degradation and Stability,10.1016/j.polymdegradstab.2019.05.009,https://doi.org/10.1016/j.polymdegradstab.2019.05.009,TG已确认,LOI/燃烧已确认,6,14,出版社页已找到；全文权限待下载,先下载正文+SI；优先提取全部处理量/层数/洗涤状态，不只取最佳配方
22,C111,A02,聚酯,Intumescent flame retardant and anti-dripping of PET fabrics through layer-by-layer assembly of chitosan and ammonium polyphosphate,2019,Progress in Organic Coatings,10.1016/j.porgcoat.2019.05.010,https://doi.org/10.1016/j.porgcoat.2019.05.010,TG已确认,LOI已确认,6,14,出版社页已找到；全文权限待下载,先下载正文+SI；优先提取全部处理量/层数/洗涤状态，不只取最佳配方
23,C112,A02,聚酯,"Fire-retardant multilayer assembled on polyester fabric from water-soluble chitosan, sodium alginate and divalent metal ion",2018,International Journal of Biological Macromolecules,10.1016/j.ijbiomac.2018.08.043,https://doi.org/10.1016/j.ijbiomac.2018.08.043,TG已确认,LOI已确认,6,14,出版社页已找到；全文权限待下载,先下载正文+SI；优先提取全部处理量/层数/洗涤状态，不只取最佳配方
24,C129,A02,棉/聚酯,Thermal insulation and fire protection of polyester/cotton fabrics via expandable microsphere-intumescent flame retardant coatings,2026,Progress in Organic Coatings,10.1016/j.porgcoat.2025.109781,https://doi.org/10.1016/j.porgcoat.2025.109781,TGA/热行为待PDF确认,LOI/燃烧性能待PDF确认,6,14,出版社页已找到；全文权限待下载,先下载正文+SI；优先提取全部处理量/层数/洗涤状态，不只取最佳配方
25,C130,A02,棉/聚酯,Eco-friendly flame retardant and dripping-resistant of polyester/cotton blend fabrics through layer-by-layer assembly fully bio-based chitosan/phytic acid coating,2021,International Journal of Biological Macromolecules,10.1016/j.ijbiomac.2021.02.023,https://doi.org/10.1016/j.ijbiomac.2021.02.023,TG已确认,LOI已确认,6,14,出版社页已找到；全文权限待下载,先下载正文+SI；优先提取全部处理量/层数/洗涤状态，不只取最佳配方
26,C144,A02,棉/锦纶,Layer-by-layer assembly of halogen-free polymeric materials on nylon/cotton blend for flame retardant applications,2016,Fire and Materials,10.1002/fam.2280,https://doi.org/10.1002/fam.2280,TG已确认,垂直燃烧已确认；LOI待PDF,6,14,出版社页已找到；全文权限待下载,先下载正文+SI；优先提取全部处理量/层数/洗涤状态，不只取最佳配方
27,C145,A02,棉/锦纶,Durable flame retardant finishing of the nylon/cotton blend fabric using a hydroxyl-functional organophosphorus oligomer,2005,Polymer Degradation and Stability,10.1016/j.polymdegradstab.2004.11.013,https://doi.org/10.1016/j.polymdegradstab.2004.11.013,TG已确认,LOI/燃烧已确认,6,14,出版社页已找到；全文权限待下载,先下载正文+SI；优先提取全部处理量/层数/洗涤状态，不只取最佳配方
28,C007,A02,棉,"Construction of a bio-based macromolecular network for durable flame-retardant, superhydrophobic, and antibacterial cotton fabrics",2026,International Journal of Biological Macromolecules,10.1016/j.ijbiomac.2026.152136,https://doi.org/10.1016/j.ijbiomac.2026.152136,TGA待PDF确认,LOI/耐洗待PDF确认,5,12,出版社页已找到；全文权限待下载,先下载正文+SI；优先提取全部处理量/层数/洗涤状态，不只取最佳配方
29,C008,A02,棉,Fully biobased materials for flame-retardant modification of cotton fabric through layer-by-layer strategy,2026,International Journal of Biological Macromolecules,10.1016/j.ijbiomac.2026.151471,https://doi.org/10.1016/j.ijbiomac.2026.151471,TG待PDF确认,LOI已确认,5,12,出版社页已找到；全文权限待下载,先下载正文+SI；优先提取全部处理量/层数/洗涤状态，不只取最佳配方
30,C009,A02,棉,Preparation of sulfur-containing protein-based ammonium phosphate flame retardants to achieve durable flame-retardant properties in cotton fabric,2026,International Journal of Biological Macromolecules,10.1016/j.ijbiomac.2026.150485,https://doi.org/10.1016/j.ijbiomac.2026.150485,TG/TG-IR已确认,LOI/燃烧性能待PDF确认,5,12,出版社页已找到；全文权限待下载,先下载正文+SI；优先提取全部处理量/层数/洗涤状态，不只取最佳配方
31,C010,A02,棉,A novel green approach for enhancing cotton fabrics with flame retardant and hydrophobic properties via UV-polymerized poly (ionic liquid),2025,Colloids and Surfaces A: Physicochemical and Engineering Aspects,10.1016/j.colsurfa.2025.136775,https://doi.org/10.1016/j.colsurfa.2025.136775,TG/DTG已确认,LOI已确认,5,12,出版社页已找到；全文权限待下载,先下载正文+SI；优先提取全部处理量/层数/洗涤状态，不只取最佳配方
32,C011,A02,棉,"A starch-based, durable phosphorous-containing flame retardant for cotton",2025,International Journal of Biological Macromolecules,10.1016/j.ijbiomac.2025.145140,https://doi.org/10.1016/j.ijbiomac.2025.145140,TGA待PDF确认,LOI已确认,5,12,出版社页已找到；全文权限待下载,先下载正文+SI；优先提取全部处理量/层数/洗涤状态，不只取最佳配方
33,C012,A02,棉,B/N/P synergistic system for multifunctional flame-retardant cotton fabrics with thermal stability and fine physical properties,2025,International Journal of Biological Macromolecules,10.1016/j.ijbiomac.2025.146560,https://doi.org/10.1016/j.ijbiomac.2025.146560,TG/DTG已确认,LOI已确认,5,12,出版社页已找到；全文权限待下载,先下载正文+SI；优先提取全部处理量/层数/洗涤状态，不只取最佳配方
34,C013,A02,棉,A synthetic bis-triazine ring derivative based on ammonium phosphonate towards durable flame-retardant modification of cotton fabrics,2025,Polymer Degradation and Stability,10.1016/j.polymdegradstab.2024.111083,https://doi.org/10.1016/j.polymdegradstab.2024.111083,TG已确认,LOI已确认,5,12,出版社页已找到；全文权限待下载,先下载正文+SI；优先提取全部处理量/层数/洗涤状态，不只取最佳配方
35,C014,A02,棉,Innovative development of green nitrogen-phosphorus-based flame retardant for enhancing fire safety of cotton fabrics,2025,Polymer Degradation and Stability,10.1016/j.polymdegradstab.2024.111089,https://doi.org/10.1016/j.polymdegradstab.2024.111089,TG已确认,LOI已确认,5,12,出版社页已找到；全文权限待下载,先下载正文+SI；优先提取全部处理量/层数/洗涤状态，不只取最佳配方
36,C015,A02,棉,"Naringenin-engineered durable cotton fabric with integrated flame retardancy, antibacterial, and UV-photothermal performance",2025,Polymer Degradation and Stability,10.1016/j.polymdegradstab.2025.111584,https://doi.org/10.1016/j.polymdegradstab.2025.111584,TG已确认,LOI已确认,5,12,出版社页已找到；全文权限待下载,先下载正文+SI；优先提取全部处理量/层数/洗涤状态，不只取最佳配方
37,C016,A02,棉,Preparing durable flame retardant and formaldehyde free cotton fabrics with crosslinked flame retardant system,2025,Polymer Degradation and Stability,10.1016/j.polymdegradstab.2025.111382,https://doi.org/10.1016/j.polymdegradstab.2025.111382,TG已确认,LOI已确认,5,12,出版社页已找到；全文权限待下载,先下载正文+SI；优先提取全部处理量/层数/洗涤状态，不只取最佳配方
38,C017,A02,棉,Fabric coating with ultra-high expansion up to 100 times: An intumescent flame-retardant with exceptional washability,2025,Progress in Organic Coatings,10.1016/j.porgcoat.2024.108955,https://doi.org/10.1016/j.porgcoat.2024.108955,TG已确认,LOI已确认,5,12,出版社页已找到；全文权限待下载,先下载正文+SI；优先提取全部处理量/层数/洗涤状态，不只取最佳配方
39,C018,A02,棉,Construction and application of B/P/N durable flame retardant crosslinking system on cotton fabric,2024,Industrial Crops and Products,10.1016/j.indcrop.2024.119623,https://doi.org/10.1016/j.indcrop.2024.119623,TG/DTG已确认,LOI已确认,5,12,出版社页已找到；全文权限待下载,先下载正文+SI；优先提取全部处理量/层数/洗涤状态，不只取最佳配方
40,C019,A03,棉,A bio-based durable reactive flame retardant for cotton fabric based on lentinan,2024,International Journal of Biological Macromolecules,10.1016/j.ijbiomac.2024.133222,https://doi.org/10.1016/j.ijbiomac.2024.133222,TG已确认,LOI已确认,5,12,出版社页已找到；全文权限待下载,先下载正文+SI；优先提取全部处理量/层数/洗涤状态，不只取最佳配方
41,C020,A03,棉,"A cationic, durable, P/N-containing starch-based flame retardant for cotton fabrics",2024,International Journal of Biological Macromolecules,10.1016/j.ijbiomac.2024.129543,https://doi.org/10.1016/j.ijbiomac.2024.129543,TG已确认,LOI已确认,5,12,出版社页已找到；全文权限待下载,先下载正文+SI；优先提取全部处理量/层数/洗涤状态，不只取最佳配方
42,C021,A03,棉,A high-efficiency and durable flame retardant for cotton fabrics: Ammonium ethyl acryloylphosphoramidate,2024,International Journal of Biological Macromolecules,10.1016/j.ijbiomac.2024.134915,https://doi.org/10.1016/j.ijbiomac.2024.134915,TG已确认,LOI已确认,5,12,出版社页已找到；全文权限待下载,先下载正文+SI；优先提取全部处理量/层数/洗涤状态，不只取最佳配方
43,C022,A03,棉,"B/P/N flame retardant based on diboraspiro rings groups for improving the flame retardancy, char formation properties and thermal stability of cotton fabrics",2024,International Journal of Biological Macromolecules,10.1016/j.ijbiomac.2024.132330,https://doi.org/10.1016/j.ijbiomac.2024.132330,TG已确认,LOI已确认,5,12,出版社页已找到；全文权限待下载,先下载正文+SI；优先提取全部处理量/层数/洗涤状态，不只取最佳配方
44,C023,A03,棉,Construction of efficient and environmentally friendly bio-based flame retardant cotton fabric through layer by layer self-assembly of alkylammonium functional silsesquioxane/phosphorylated sodium alginate,2024,International Journal of Biological Macromolecules,10.1016/j.ijbiomac.2024.132345,https://doi.org/10.1016/j.ijbiomac.2024.132345,TG已确认,LOI已确认,5,12,出版社页已找到；全文权限待下载,先下载正文+SI；优先提取全部处理量/层数/洗涤状态，不只取最佳配方
45,C024,A03,棉,"Eco-friendly, efficient and durable flame retardant coating for cotton fabrics using phytic acid/silane hybrid sol",2024,Materials Chemistry and Physics,10.1016/j.matchemphys.2023.128568,https://doi.org/10.1016/j.matchemphys.2023.128568,TG/DTG已确认,LOI已确认,5,12,出版社页已找到；全文权限待下载,先下载正文+SI；优先提取全部处理量/层数/洗涤状态，不只取最佳配方
46,C025,A03,棉,"Efficient, durable, and breathable flame retardant cotton fabric via a feasible surface finishing",2023,Applied Surface Science,10.1016/j.apsusc.2022.156314,https://doi.org/10.1016/j.apsusc.2022.156314,TG/DTG已确认,LOI已确认,5,12,出版社页已找到；全文权限待下载,先下载正文+SI；优先提取全部处理量/层数/洗涤状态，不只取最佳配方
47,C026,A03,棉,A durable flame retardant with N−P=O(O−NH4+)2 based on amino acid for cotton fabrics,2023,Industrial Crops and Products,10.1016/j.indcrop.2023.117327,https://doi.org/10.1016/j.indcrop.2023.117327,TG已确认,LOI已确认,5,12,出版社页已找到；全文权限待下载,先下载正文+SI；优先提取全部处理量/层数/洗涤状态，不只取最佳配方
48,C027,A03,棉,A novel durable flame retardant rich in phosphate ester groups for cotton fabrics,2023,Materials Today Chemistry,10.1016/j.mtchem.2023.101701,https://doi.org/10.1016/j.mtchem.2023.101701,TG已确认,LOI已确认,5,12,出版社页已找到；全文权限待下载,先下载正文+SI；优先提取全部处理量/层数/洗涤状态，不只取最佳配方
49,C028,A03,棉,A high durable polysaccharide flame retardant based on phosphorus element for cotton fabrics,2023,Polymer Degradation and Stability,10.1016/j.polymdegradstab.2023.110313,https://doi.org/10.1016/j.polymdegradstab.2023.110313,TG已确认,LOI已确认,5,12,出版社页已找到；全文权限待下载,先下载正文+SI；优先提取全部处理量/层数/洗涤状态，不只取最佳配方
50,C029,A03,棉,"Flame-retardant and antibacterial properties of cotton fabrics treated by epichlorohydrin-modified aramid nanofibers, ionic liquid, and Cu ion",2023,Polymer Degradation and Stability,10.1016/j.polymdegradstab.2023.110347,https://doi.org/10.1016/j.polymdegradstab.2023.110347,TG已确认,LOI/燃烧已确认,5,12,出版社页已找到；全文权限待下载,先下载正文+SI；优先提取全部处理量/层数/洗涤状态，不只取最佳配方
51,C030,A03,棉,A bio-based macromolecular phosphorus-containing active cotton flame retardant synthesized from starch,2022,Carbohydrate Polymers,10.1016/j.carbpol.2022.120076,https://doi.org/10.1016/j.carbpol.2022.120076,TG已确认,LOI已确认,5,12,出版社页已找到；全文权限待下载,先下载正文+SI；优先提取全部处理量/层数/洗涤状态，不只取最佳配方
52,C031,A03,棉,Efficient and durable cotton fabric surface modification via flame retardant treatment,2022,Colloids and Surfaces A: Physicochemical and Engineering Aspects,10.1016/j.colsurfa.2022.129005,https://doi.org/10.1016/j.colsurfa.2022.129005,TG/DTG已确认,LOI已确认,5,12,出版社页已找到；全文权限待下载,先下载正文+SI；优先提取全部处理量/层数/洗涤状态，不只取最佳配方
53,C032,A03,棉,A novel polymer reactive flame retardant for the preparation of highly durable cotton fabrics,2022,International Journal of Biological Macromolecules,10.1016/j.ijbiomac.2022.11.033,https://doi.org/10.1016/j.ijbiomac.2022.11.033,TG已确认,LOI已确认,5,12,出版社页已找到；全文权限待下载,先下载正文+SI；优先提取全部处理量/层数/洗涤状态，不只取最佳配方
54,C033,A03,棉,Highly effective and durable P-N synergistic flame retardant containing ammonium phosphate and phosphonate for cotton fabrics,2022,Polymer Degradation and Stability,10.1016/j.polymdegradstab.2022.109964,https://doi.org/10.1016/j.polymdegradstab.2022.109964,TG已确认,LOI已确认,5,12,出版社页已找到；全文权限待下载,先下载正文+SI；优先提取全部处理量/层数/洗涤状态，不只取最佳配方
55,C034,A03,棉,High-Efficiency Flame Retardants of a P–N-Rich Polyphosphazene Elastomer Nanocoating on Cotton Fabric,2021,ACS Applied Materials & Interfaces,10.1021/acsami.1c05884,https://doi.org/10.1021/acsami.1c05884,TG已确认,LOI已确认,5,12,出版社页已找到；全文权限待下载,先下载正文+SI；优先提取全部处理量/层数/洗涤状态，不只取最佳配方
56,C035,A03,棉,An eco-friendly N–P flame retardant for durable flame-retardant treatment of cotton fabric,2021,International Journal of Biological Macromolecules,10.1016/j.ijbiomac.2021.07.130,https://doi.org/10.1016/j.ijbiomac.2021.07.130,TG已确认,LOI已确认,5,12,出版社页已找到；全文权限待下载,先下载正文+SI；优先提取全部处理量/层数/洗涤状态，不只取最佳配方
57,C036,A03,棉,Durable flame-retardant behavior of cotton textile with a water-based ammonium vinyl phosphonate,2021,Polymer Degradation and Stability,10.1016/j.polymdegradstab.2021.109658,https://doi.org/10.1016/j.polymdegradstab.2021.109658,TG已确认,LOI已确认,5,12,出版社页已找到；全文权限待下载,先下载正文+SI；优先提取全部处理量/层数/洗涤状态，不只取最佳配方
58,C037,A03,棉,Preparation of a flame-retardant coating based on solvent-free synthesis with high efficiency and durability on cotton fabric,2020,Carbohydrate Polymers,10.1016/j.carbpol.2019.115648,https://doi.org/10.1016/j.carbpol.2019.115648,TG已确认,LOI已确认,5,12,出版社页已找到；全文权限待下载,先下载正文+SI；优先提取全部处理量/层数/洗涤状态，不只取最佳配方
59,C038,A03,棉,Novel High-Efficiency Casein-Based P–N-Containing Flame Retardants with Multiple Reactive Groups for Cotton Fabrics,2019,ACS Sustainable Chemistry & Engineering,10.1021/acssuschemeng.9b02474,https://doi.org/10.1021/acssuschemeng.9b02474,TG已确认,LOI已确认,5,12,出版社页已找到；全文权限待下载,先下载正文+SI；优先提取全部处理量/层数/洗涤状态，不只取最佳配方
60,C039,A04,棉,Eco-friendly flame retardant and electromagnetic interference shielding cotton fabrics with multi-layered coatings,2019,Chemical Engineering Journal,10.1016/j.cej.2019.05.012,https://doi.org/10.1016/j.cej.2019.05.012,TG已确认,LOI/燃烧已确认,5,12,出版社页已找到；全文权限待下载,先下载正文+SI；优先提取全部处理量/层数/洗涤状态，不只取最佳配方
61,C040,A04,棉,"Eco-friendly flame retardant coating deposited on cotton fabrics from bio-based chitosan, phytic acid and divalent metal ions",2019,International Journal of Biological Macromolecules,10.1016/j.ijbiomac.2019.08.049,https://doi.org/10.1016/j.ijbiomac.2019.08.049,TG已确认,LOI/燃烧已确认,5,12,出版社页已找到；全文权限待下载,先下载正文+SI；优先提取全部处理量/层数/洗涤状态，不只取最佳配方
62,C041,A04,棉,Fabrication of conductive and flame-retardant bifunctional cotton fabric by polymerizing pyrrole and doping phytic acid,2019,Polymer Degradation and Stability,10.1016/j.polymdegradstab.2019.06.029,https://doi.org/10.1016/j.polymdegradstab.2019.06.029,TG已确认,LOI已确认,5,12,出版社页已找到；全文权限待下载,先下载正文+SI；优先提取全部处理量/层数/洗涤状态，不只取最佳配方
63,C042,A04,棉,Synthesis of a new N–P durable flame retardant for cotton fabrics,2019,Polymer Degradation and Stability,10.1016/j.polymdegradstab.2019.04.024,https://doi.org/10.1016/j.polymdegradstab.2019.04.024,TG已确认,LOI已确认,5,12,出版社页已找到；全文权限待下载,先下载正文+SI；优先提取全部处理量/层数/洗涤状态，不只取最佳配方
64,C043,A04,棉,Disulfide-containing polyamidoamines with remarkable flame retardant activity for cotton fabrics,2018,Polymer Degradation and Stability,10.1016/j.polymdegradstab.2018.07.028,https://doi.org/10.1016/j.polymdegradstab.2018.07.028,TG已确认,LOI/燃烧待PDF确认,5,12,出版社页已找到；全文权限待下载,先下载正文+SI；优先提取全部处理量/层数/洗涤状态，不只取最佳配方
65,C044,A04,棉,Linear polyamidoamines as novel biocompatible phosphorus-free surface-confined intumescent flame retardants for cotton fabrics,2018,Polymer Degradation and Stability,10.1016/j.polymdegradstab.2018.02.020,https://doi.org/10.1016/j.polymdegradstab.2018.02.020,TG已确认,LOI/燃烧待PDF确认,5,12,出版社页已找到；全文权限待下载,先下载正文+SI；优先提取全部处理量/层数/洗涤状态，不只取最佳配方
66,C113,A04,聚酯,A novel strategy for fabricating highly-efficient flame-retardant polyester fabrics utilizing dual phosphorus oxidation states,2026,Polymer Degradation and Stability,10.1016/j.polymdegradstab.2025.111740,https://doi.org/10.1016/j.polymdegradstab.2025.111740,TG已确认,LOI已确认,5,12,出版社页已找到；全文权限待下载,先下载正文+SI；优先提取全部处理量/层数/洗涤状态，不只取最佳配方
67,C114,A04,聚酯,Construction of melamine-Schiff base assisted phosphorus-nitrogen synergistic flame-retardant system on polyester fabric,2026,Polymer Testing,10.1016/j.polymertesting.2026.109236,https://doi.org/10.1016/j.polymertesting.2026.109236,TG/热降解参数已确认,LOI已确认,5,12,出版社页已找到；全文权限待下载,先下载正文+SI；优先提取全部处理量/层数/洗涤状态，不只取最佳配方
68,C115,A04,聚酯,Bio-based self-adhesive intumescent flame-retardant system for polyester,2026,Progress in Organic Coatings,10.1016/j.porgcoat.2026.110008,https://doi.org/10.1016/j.porgcoat.2026.110008,TG待PDF确认,LOI/燃烧待PDF确认,5,12,出版社页已找到；全文权限待下载,先下载正文+SI；优先提取全部处理量/层数/洗涤状态，不只取最佳配方
69,C116,A04,聚酯,Fabrication of a highly efficient flame-retardant sol-gel coating for polyester fabric and microfiber synthetic leather integrating dual phosphorus oxidation states,2026,Progress in Organic Coatings,10.1016/j.porgcoat.2026.110317,https://doi.org/10.1016/j.porgcoat.2026.110317,TG已确认,LOI已确认,5,12,出版社页已找到；全文权限待下载,先下载正文+SI；优先提取全部处理量/层数/洗涤状态，不只取最佳配方
