<PARSED TEXT FOR SHEET: 1 / 1 TABS
TAB NAME: literature_tg.csv>index,tg_record_id,sample_id,study_id,气氛,气体流量(mL/min),升温速率(°C/min),起始温度(°C),终止温度(°C),T5(°C),T10(°C),T20(°C),Tonset(°C),Tmax1(°C),Tmax2(°C),Tmax3(°C),最大失重速率,速率单位,R400(%),R500(%),R600(%),R650(%),R700(%),R800(%),其他残余温度(°C),其他残余率(%),原文阶段/补充说明,数值来源,图表位置,字段溯源,缺失与限制,来源链接,是否有数值TG
12,TG0013,L002-S005,L002,O2/air,,10.0,30.0,600.0,,,,310.0,,,,,,,,0.1,,,,,,,原文表格,TGA table,Tonset/R600,,https://pmc.ncbi.nlm.nih.gov/articles/PMC6981709/,是
13,TG0014,L003-S001,L003,N2,,,,600.0,,,,331.05,,,,,,,,12.75,,,,,,,原文表格,TGA table,Tonset/R600,,https://www.mdpi.com/2079-6439/6/4/85,是
14,TG0015,L003-S002,L003,N2,,,,600.0,,,,,,,,,,,,7.24,,,,,,原文报告两个onset值: 165.05/349.32,原文表格,TGA table,onset为双值表达，未强行合并；R600,,https://www.mdpi.com/2079-6439/6/4/85,是
15,TG0016,L003-S003,L003,N2,,,,600.0,,,,,,,,,,,,11.18,,,,,,原文报告两个onset值: 164.96/349.07,原文表格,TGA table,onset为双值表达，未强行合并；R600,,https://www.mdpi.com/2079-6439/6/4/85,是
16,TG0017,L003-S004,L003,N2,,,,600.0,,,,,,,,,,,,11.91,,,,,,原文报告两个onset值: 161.45/348.63,原文表格,TGA table,onset为双值表达，未强行合并；R600,,https://www.mdpi.com/2079-6439/6/4/85,是
17,TG0018,L003-S005,L003,N2,,,,600.0,,,,,,,,,,,,12.37,,,,,,原文报告两个onset值: 163.36/348.77,原文表格,TGA table,onset为双值表达，未强行合并；R600,,https://www.mdpi.com/2079-6439/6/4/85,是
18,TG0019,L003-S006,L003,N2,,,,600.0,,,,264.17,,,,,,,,31.68,,,,,,,原文表格,TGA table,Tonset/R600,,https://www.mdpi.com/2079-6439/6/4/85,是
19,TG0020,L003-S007,L003,N2,,,,600.0,,,,253.66,,,,,,,,36.13,,,,,,,原文表格,TGA table,Tonset/R600,,https://www.mdpi.com/2079-6439/6/4/85,是
20,TG0021,L003-S008,L003,N2,,,,600.0,,,,256.48,,,,,,,,36.05,,,,,,,原文表格,TGA table,Tonset/R600,,https://www.mdpi.com/2079-6439/6/4/85,是
21,TG0022,L003-S009,L003,N2,,,,600.0,,,,252.14,,,,,,,,33.52,,,,,,,原文表格,TGA table,Tonset/R600,,https://www.mdpi.com/2079-6439/6/4/85,是
22,TG0023,L004-S001,L004,N2,,,,,,,,,99.0,343.2,,2.0414,wt%/°C,,,,,,19.57,,,stage a onset 71.6 °C; stage b onset 307.7 °C,原文表格,Table 4,Tmax/最大失重速率/R800,,https://pmc.ncbi.nlm.nih.gov/articles/PMC9695240/,是
23,TG0024,L004-S014,L004,N2,,,,,,,,,88.4,285.8,,2.3141,wt%/°C,,,,,,36.21,,,"stage a onset 67.3 °C, rate 0.055; stage b onset 267.4 °C",原文表格,Table 4,50 LCs样品TG,,https://pmc.ncbi.nlm.nih.gov/articles/PMC9695240/,是
24,TG0025,L004-S015,L004,N2,,,,,,,,,88.3,285.3,,2.7191,wt%/°C,,,,,,34.95,,,"stage a onset 66.6 °C, rate 0.0516; stage b onset 269.1 °C",原文表格,Table 4,50 LCs样品TG,,https://pmc.ncbi.nlm.nih.gov/articles/PMC9695240/,是
25,TG0026,L004-S016,L004,N2,,,,,,,,,90.8,287.4,,2.4666,wt%/°C,,,,,,36.33,,,"stage a onset 68.5 °C, rate 0.0556; stage b onset 270.6 °C",原文表格,Table 4,50 LCs样品TG,,https://pmc.ncbi.nlm.nih.gov/articles/PMC9695240/,是
26,TG0027,L004-S017,L004,N2,,,,,,,,,89.2,285.1,,2.6325,wt%/°C,,,,,,34.84,,,"stage a onset 67.3 °C, rate 0.0516; stage b onset 268.5 °C",原文表格,Table 4,50 LCs样品TG,,https://pmc.ncbi.nlm.nih.gov/articles/PMC9695240/,是
27,TG0028,L005-S001,L005,N2,50.0,10.0,30.0,700.0,323.3,,,,,,,,,,,,,,,,,,正文明确数值,TGA figure/text,T5,,https://doi.org/10.3390/polym14224994,是
28,TG0029,L005-S002,L005,N2,50.0,10.0,30.0,700.0,,,,,,,,,,,,,,,,,,,原文图（首批未数字化）,TGA figure/text,TG曲线确认,T5/Tmax待曲线数字化,https://doi.org/10.3390/polym14224994,否
29,TG0030,L005-S003,L005,N2,50.0,10.0,30.0,700.0,,,,,,,,,,,,,,,,,,,原文图（首批未数字化）,TGA figure/text,TG曲线确认,T5/Tmax待曲线数字化,https://doi.org/10.3390/polym14224994,否
30,TG0031,L005-S004,L005,N2,50.0,10.0,30.0,700.0,268.5,,,,,,,,,,,,,,,,,,正文明确数值,TGA figure/text,T5,,https://doi.org/10.3390/polym14224994,是
31,TG0032,L006-S001,L006,N2,,,,800.0,80.0,,,,,,,,,,,,,,2.1,,,,原文表格,TGA table,T5/R800,,https://doi.org/10.3390/polym17070945,是
32,TG0033,L006-S001,L006,air,,,,800.0,,,,,,,,,,,,,,,3.78,,,,原文表格,TGA table,R800,该行首批仅录入空气残余质量,https://doi.org/10.3390/polym17070945,是
33,TG0034,L006-S002,L006,N2,,,,800.0,72.0,,,,,,,,,,,,,,22.4,,,,原文表格,TGA table,T5/R800,,https://doi.org/10.3390/polym17070945,是
34,TG0035,L006-S002,L006,air,,,,800.0,,,,,,,,,,,,,,,18.3,,,,原文表格,TGA table,R800,该行首批仅录入空气残余质量,https://doi.org/10.3390/polym17070945,是
35,TG0036,L006-S003,L006,N2,,,,800.0,88.0,,,,,,,,,,,,,,25.3,,,,原文表格,TGA table,T5/R800,,https://doi.org/10.3390/polym17070945,是
36,TG0037,L006-S003,L006,air,,,,800.0,,,,,,,,,,,,,,,20.7,,,,原文表格,TGA table,R800,该行首批仅录入空气残余质量,https://doi.org/10.3390/polym17070945,是
37,TG0038,L006-S004,L006,N2,,,,800.0,111.0,,,,,,,,,,,,,,34.7,,,,原文表格,TGA table,T5/R800,,https://doi.org/10.3390/polym17070945,是
38,TG0039,L006-S004,L006,air,,,,800.0,,,,,,,,,,,,,,,28.4,,,,原文表格,TGA table,R800,该行首批仅录入空气残余质量,https://doi.org/10.3390/polym17070945,是
39,TG0040,L006-S005,L006,N2,,,,800.0,95.0,,,,,,,,,,,,,,28.8,,,,原文表格,TGA table,T5/R800,,https://doi.org/10.3390/polym17070945,是
40,TG0041,L006-S005,L006,air,,,,800.0,,,,,,,,,,,,,,,23.6,,,,原文表格,TGA table,R800,该行首批仅录入空气残余质量,https://doi.org/10.3390/polym17070945,是
41,TG0042,L007-S001,L007,air (reaction gas; N2 purge),,30.0,30.0,850.0,,,,321.1,,,,,,,,,,,,,,原文称动态热分解从321.1°C开始、353.79°C结束，单阶段失重41.456%；dTG最大速率温度约340°C。,正文明确条件+原文TG/dTG曲线,Figures 1/3/5/7/9; methods section,TGA条件30–850°C、30°C/min；dTG主峰≈340°C,321.1°C为原文“started at”温度，保留原文定义，不自动与统一外推Tonset或T5等同。,https://www.mdpi.com/1996-1944/15/15/5373,是
42,TG0043,L007-S002,L007,air (reaction gas; N2 purge),,30.0,30.0,850.0,,,,,,,,,,,,,,,,,,原文dTG：动态分解为单阶段，最大失重速率温度约340°C；约数仅保留在说明中，不作为精确Tmax。,正文明确条件+原文TG/dTG曲线,Figures 1/3/5/7/9; methods section,TGA条件30–850°C、30°C/min；dTG主峰≈340°C,精确峰温/残余量只有原文明确时才录入；其余待曲线数字化,https://www.mdpi.com/1996-1944/15/15/5373,否
43,TG0044,L007-S003,L007,air (reaction gas; N2 purge),,30.0,30.0,850.0,,,,,,,,,,,,,,,,,,原文dTG：动态分解为单阶段，最大失重速率温度约340°C；约数仅保留在说明中，不作为精确Tmax。,正文明确条件+原文TG/dTG曲线,Figures 1/3/5/7/9; methods section,TGA条件30–850°C、30°C/min；dTG主峰≈340°C,精确峰温/残余量只有原文明确时才录入；其余待曲线数字化,https://www.mdpi.com/1996-1944/15/15/5373,否
44,TG0045,L007-S004,L007,air (reaction gas; N2 purge),,30.0,30.0,850.0,,,,,,,,,,,,,,,,,,原文dTG：动态分解为单阶段，最大失重速率温度约340°C；约数仅保留在说明中，不作为精确Tmax。,正文明确条件+原文TG/dTG曲线,Figures 1/3/5/7/9; methods section,TGA条件30–850°C、30°C/min；dTG主峰≈340°C,精确峰温/残余量只有原文明确时才录入；其余待曲线数字化,https://www.mdpi.com/1996-1944/15/15/5373,否
45,TG0046,L007-S005,L007,air (reaction gas; N2 purge),,30.0,30.0,850.0,,,,,,,,,,,,,,,,850.0,14.932,dTG主峰约340°C；49_10x在850°C残余质量14.932%，为本组最高。,正文明确条件+原文TG/dTG曲线,Figures 1/3/5/7/9; methods section,R850=14.932%（正文/Figure 9）；dTG主峰≈340°C,精确峰温/残余量只有原文明确时才录入；其余待曲线数字化,https://www.mdpi.com/1996-1944/15/15/5373,是
46,TG0047,L008-S001,L008,N2,,,,,322.0,367.0,,,359.0,,,1.36,%/°C,,,,,3.65,,,,,原文表格,TGA table,T5/T10/Tmax/R700,,https://doi.org/10.3390/ijms24021093,是
47,TG0048,L008-S001,L008,air,,,,,311.0,331.0,,,343.0,462.0,,1.32,%/°C,,,,,0.48,,,,secondary max loss rate=0.17,原文表格,TGA table,T5/T10/Tmax/R700,,https://doi.org/10.3390/ijms24021093,是
48,TG0049,L008-S004,L008,N2,,,,,213.0,233.0,,,249.0,345.0,,0.48,%/°C,,,,,37.68,,,,secondary max loss rate=0.1,原文表格,TGA table,T5/T10/Tmax/R700,,https://doi.org/10.3390/ijms24021093,是
49,TG0050,L008-S004,L008,air,,,,,210.0,232.0,,,248.0,521.0,,0.48,%/°C,,,,,7.24,,,,secondary max loss rate=0.17,原文表格,TGA table,T5/T10/Tmax/R700,,https://doi.org/10.3390/ijms24021093,是
50,TG0051,L008-S005,L008,N2,,,,,288.0,315.0,,,317.0,409.0,,0.74,%/°C,,,,,21.82,,,,secondary max loss rate=0.16,原文表格,TGA table,T5/T10/Tmax/R700,,https://doi.org/10.3390/ijms24021093,是
51,TG0052,L008-S005,L008,air,,,,,283.0,310.0,,,312.0,500.0,,0.71,%/°C,,,,,2.86,,,,secondary max loss rate=0.24,原文表格,TGA table,T5/T10/Tmax/R700,,https://doi.org/10.3390/ijms24021093,是
52,TG0053,L009-S001,L009,,,,,,,,,,389.0,585.0,,,,,,,1.17,,,,,,原文表格,Table 4,Tmax1/Tmax2/R650,,https://pmc.ncbi.nlm.nih.gov/articles/PMC7730485/,是
53,TG0054,L009-S002,L009,,,,,,,,,,323.0,552.0,,,,,,,6.96,,,,,,原文表格,Table 4,Tmax1/Tmax2/R650,,https://pmc.ncbi.nlm.nih.gov/articles/PMC7730485/,是
54,TG0055,L009-S003,L009,,,,,,,,,,334.0,604.0,,,,,,,14.63,,,,,,原文表格,Table 4,Tmax1/Tmax2/R650,,https://pmc.ncbi.nlm.nih.gov/articles/PMC7730485/,是
55,TG0056,L009-S004,L009,,,,,,,,,,326.0,592.0,,,,,,,13.82,,,,,,原文表格,Table 4,Tmax1/Tmax2/R650,,https://pmc.ncbi.nlm.nih.gov/articles/PMC7730485/,是
56,TG0057,L009-S005,L009,,,,,,,,,,327.0,607.0,,,,,,,13.8,,,,,,原文表格,Table 4,Tmax1/Tmax2/R650,,https://pmc.ncbi.nlm.nih.gov/articles/PMC7730485/,是
57,TG0058,L010-S001,L010,air,30.0,30.0,50.0,850.0,,,,360.0,396.0,578.0,,,,,,,0.4,,,,,,原文表格,TGA table,onset/Tmax/R650,,https://doi.org/10.3390/fib9110069,是
58,TG0059,L010-S002,L010,air,30.0,30.0,50.0,850.0,,,,324.0,364.0,623.0,,,,,,,8.3,,,,,,原文表格,TGA table,onset/Tmax/R650,,https://doi.org/10.3390/fib9110069,是
59,TG0060,L010-S003,L010,air,30.0,30.0,50.0,850.0,,,,316.0,342.0,640.0,,,,,,,13.8,,,,,,原文表格,TGA table,onset/Tmax/R650,,https://doi.org/10.3390/fib9110069,是
60,TG0061,L010-S004,L010,air,30.0,30.0,50.0,850.0,,,,312.0,339.0,636.0,,,,,,,14.9,,,,,,原文表格,TGA table,onset/Tmax/R650,,https://doi.org/10.3390/fib9110069,是
61,TG0062,L010-S005,L010,air,30.0,30.0,50.0,850.0,,,,258.0,334.0,578.0,,,,,,,3.3,,,,,,原文表格,TGA table,onset/Tmax/R650,,https://doi.org/10.3390/fib9110069,是
62,TG0063,L010-S006,L010,air,30.0,30.0,50.0,850.0,,,,267.0,328.0,634.0,,,,,,,14.8,,,,,,原文表格,TGA table,onset/Tmax/R650,,https://doi.org/10.3390/fib9110069,是
63,TG0064,L010-S007,L010,air,30.0,30.0,50.0,850.0,,,,261.0,330.0,636.0,,,,,,,13.3,,,,,,原文表格,TGA table,onset/Tmax/R650,,https://doi.org/10.3390/fib9110069,是
64,TG0065,L011-S001,L011,,,,,,247.5,310.4,,,360.0,,,,,,,,,8.6,,,,,原文表格,TGA table,T5/T10/Tpeak/R700,,https://doi.org/10.3390/molecules29245976,是
65,TG0066,L011-S002,L011,,,,,,169.8,267.6,,,306.9,,,,,,,,,11.9,,,,,原文表格,TGA table,T5/T10/Tpeak/R700,,https://doi.org/10.3390/molecules29245976,是
66,TG0067,L011-S003,L011,,,,,,209.7,277.0,,,320.3,,,,,,,,,16.0,,,,,原文表格,TGA table,T5/T10/Tpeak/R700,,https://doi.org/10.3390/molecules29245976,是
67,TG0068,L011-S004,L011,,,,,,185.1,273.8,,,317.2,,,,,,,,,16.7,,,,,原文表格,TGA table,T5/T10/Tpeak/R700,,https://doi.org/10.3390/molecules29245976,是
68,TG0069,L011-S005,L011,,,,,,228.8,277.9,,,318.6,,,,,,,,,17.8,,,,,原文表格,TGA table,T5/T10/Tpeak/R700,,https://doi.org/10.3390/molecules29245976,是
69,TG0070,L011-S006,L011,,,,,,230.8,280.7,,,322.3,,,,,,,,,18.9,,,,,原文表格,TGA table,T5/T10/Tpeak/R700,,https://doi.org/10.3390/molecules29245976,是
70,TG0071,L011-S007,L011,,,,,,213.5,278.6,,,316.8,,,,,,,,,19.8,,,,,原文表格,TGA table,T5/T10/Tpeak/R700,,https://doi.org/10.3390/molecules29245976,是
71,TG0072,L012-S001,L012,N2,,20.0,,700.0,330.0,,,,391.0,,,,,,,,,4.5,,,,,原文表格,TGA table,T5/Tmax/R700,,https://doi.org/10.3390/polym18070819,是
72,TG0073,L012-S002,L012,N2,,20.0,,700.0,320.0,,,,280.0,356.0,418.0,,,,,,,18.2,,,,,原文表格,TGA table,T5/Tmax/R700,,https://doi.org/10.3390/polym18070819,是
73,TG0074,L012-S003,L012,N2,,20.0,,700.0,291.0,,,,241.0,351.0,427.0,,,,,,,15.2,,,,,原文表格,TGA table,T5/Tmax/R700,,https://doi.org/10.3390/polym18070819,是
74,TG0075,L012-S004,L012,N2,,20.0,,700.0,341.0,,,,386.0,455.0,,,,,,,,11.3,,,,,原文表格,TGA table,T5/Tmax/R700,,https://doi.org/10.3390/polym18070819,是
75,TG0076,L012-S005,L012,N2,,20.0,,700.0,321.0,,,,316.0,353.0,419.0,,,,,,,20.4,,,,,原文表格,TGA table,T5/Tmax/R700,,https://doi.org/10.3390/polym18070819,是
76,TG0077,L012-S006,L012,N2,,20.0,,700.0,289.0,,,,245.0,347.0,437.0,,,,,,,14.6,,,,,原文表格,TGA table,T5/Tmax/R700,,https://doi.org/10.3390/polym18070819,是
77,TG0078,L012-S007,L012,N2,,20.0,,700.0,421.0,,,,456.0,,,,,,,,,16.0,,,,,原文表格,TGA table,T5/Tmax/R700,,https://doi.org/10.3390/polym18070819,是
78,TG0079,L012-S008,L012,N2,,20.0,,700.0,350.0,,,,316.0,415.0,443.0,,,,,,,21.5,,,,,原文表格,TGA table,T5/Tmax/R700,,https://doi.org/10.3390/polym18070819,是
79,TG0080,L012-S009,L012,N2,,20.0,,700.0,280.0,,,,237.0,437.0,450.0,,,,,,,17.3,,,,,原文表格,TGA table,T5/Tmax/R700,,https://doi.org/10.3390/polym18070819,是
80,TG0081,L013-S001,L013,N2,50.0,10.0,40.0,800.0,387.3,,,,461.1,,,,,,,,,,51.2,,,,原文表格,TGA table,T5/Tmax/R800,,https://doi.org/10.3390/polym17111529,是
81,TG0082,L013-S002,L013,N2,50.0,10.0,40.0,800.0,271.3,,,,324.4,,,,,,,,,,22.9,,,,原文表格,TGA table,T5/Tmax/R800,,https://doi.org/10.3390/polym17111529,是
82,TG0083,L013-S003,L013,N2,50.0,10.0,40.0,800.0,238.1,,,,351.1,,,,,,,,,,33.4,,,,原文表格,TGA table,T5/Tmax/R800,,https://doi.org/10.3390/polym17111529,是
83,TG0084,L013-S004,L013,N2,50.0,10.0,40.0,800.0,233.9,,,,340.2,,,,,,,,,,31.6,,,,原文表格,TGA table,T5/Tmax/R800,,https://doi.org/10.3390/polym17111529,是
84,TG0085,L013-S005,L013,N2,50.0,10.0,40.0,800.0,227.2,,,,340.9,,,,,,,,,,33.1,,,,原文表格,TGA table,T5/Tmax/R800,,https://doi.org/10.3390/polym17111529,是
85,TG0086,L013-S006,L013,N2,50.0,10.0,40.0,800.0,218.9,,,,345.8,,,,,,,,,,32.9,,,,原文表格,TGA table,T5/Tmax/R800,,https://doi.org/10.3390/polym17111529,是
86,TG0087,L014-S001,L014,,,10.0,,600.0,,,,,,,,,,,,,,,,,,,原文TG曲线,TGA section,TG曲线确认,首批未数字化TG曲线；气氛在当前提取片段未确认,https://doi.org/10.1016/j.heliyon.2023.e13127,否
87,TG0088,L014-S002,L014,,,10.0,,600.0,,,,,,,,,,,,84.12,,,,,,,原文表/正文,TGA section,R600,,https://doi.org/10.1016/j.heliyon.2023.e13127,是
88,TG0089,L014-S003,L014,,,10.0,,600.0,,,,,,,,,,,,,,,,,,,原文TG曲线,TGA section,TG曲线确认,首批未数字化TG曲线；气氛在当前提取片段未确认,https://doi.org/10.1016/j.heliyon.2023.e13127,否
89,TG0090,L014-S004,L014,,,10.0,,600.0,,,,,,,,,,,,19.79,,,,,,,原文表/正文,TGA section,R600,,https://doi.org/10.1016/j.heliyon.2023.e13127,是
90,TG0091,L014-S005,L014,,,10.0,,600.0,,,,,,,,,,,,64.52,,,,,,,原文表/正文,TGA section,R600,,https://doi.org/10.1016/j.heliyon.2023.e13127,是
91,TG0092,L014-S006,L014,,,10.0,,600.0,,,,,,,,,,,,,,,,,,,原文TG曲线,TGA section,TG曲线确认,首批未数字化TG曲线；气氛在当前提取片段未确认,https://doi.org/10.1016/j.heliyon.2023.e13127,否
92,TG0093,L014-S007,L014,,,10.0,,600.0,,,,,,,,,,,,,,,,,,,原文TG曲线,TGA section,TG曲线确认,首批未数字化TG曲线；气氛在当前提取片段未确认,https://doi.org/10.1016/j.heliyon.2023.e13127,否
93,TG0094,L014-S008,L014,,,10.0,,600.0,,,,,,,,,,,,,,,,,,,原文TG曲线,TGA section,TG曲线确认,首批未数字化TG曲线；气氛在当前提取片段未确认,https://doi.org/10.1016/j.heliyon.2023.e13127,否
94,TG0095,L014-S009,L014,,,10.0,,600.0,,,,,,,,,,,,,,,,,,,原文TG曲线,TGA section,TG曲线确认,首批未数字化TG曲线；气氛在当前提取片段未确认,https://doi.org/10.1016/j.heliyon.2023.e13127,否
95,TG0096,L014-S010,L014,,,10.0,,600.0,,,,,,,,,,,,20.79,,,,,,,原文表/正文,TGA section,R600,,https://doi.org/10.1016/j.heliyon.2023.e13127,是
96,TG0097,L014-S011,L014,,,10.0,,600.0,,,,,,,,,,,,,,,,,,,原文TG曲线,TGA section,TG曲线确认,首批未数字化TG曲线；气氛在当前提取片段未确认,https://doi.org/10.1016/j.heliyon.2023.e13127,否
97,TG0098,L014-S012,L014,,,10.0,,600.0,,,,,,,,,,,,,,,,,,,原文TG曲线,TGA section,TG曲线确认,首批未数字化TG曲线；气氛在当前提取片段未确认,https://doi.org/10.1016/j.heliyon.2023.e13127,否
98,TG0099,L014-S013,L014,,,10.0,,600.0,,,,,,,,,,,,,,,,,,,原文TG曲线,TGA section,TG曲线确认,首批未数字化TG曲线；气氛在当前提取片段未确认,https://doi.org/10.1016/j.heliyon.2023.e13127,否
99,TG0100,L014-S014,L014,,,10.0,,600.0,,,,,,,,,,,,,,,,,,,原文TG曲线,TGA section,TG曲线确认,首批未数字化TG曲线；气氛在当前提取片段未确认,https://doi.org/10.1016/j.heliyon.2023.e13127,否
100,TG0101,L014-S015,L014,,,10.0,,600.0,,,,,,,,,,,,,,,,,,,原文TG曲线,TGA section,TG曲线确认,首批未数字化TG曲线；气氛在当前提取片段未确认,https://doi.org/10.1016/j.heliyon.2023.e13127,否
101,TG0102,L015-S001,L015,N2 and air (separate curves),,,,,,,,,,,,,,,,,,,,,,,原文曲线,Figure 5,TG曲线确认,首批未做曲线数字化；不估读Tmax/残余量,https://pmc.ncbi.nlm.nih.gov/articles/PMC6267167/,否
102,TG0103,L015-S002,L015,N2 and air (separate curves),,,,,,,,,,,,,,,,,,,,,,,原文曲线,Figure 5,TG曲线确认,首批未做曲线数字化；不估读Tmax/残余量,https://pmc.ncbi.nlm.nih.gov/articles/PMC6267167/,否
103,TG0104,L016-S001,L016,N2,,20.0,50.0,700.0,375.0,,,,,,,,,,,9.2,,,,,,原文Td1%=286 °C,原文表格,TGA table,Td1%/Td5%/R600；Td1%不等同Tonset,Tonset_C列用于存放原文Td1%温度，定义与外推Tonset不同；使用前需按字段说明筛选,https://doi.org/10.3390/polym11121969,是
104,TG0105,L016-S002,L016,N2,,20.0,50.0,700.0,388.0,,,,,,,,,,,17.2,,,,,,原文Td1%=315 °C,原文表格,TGA table,Td1%/Td5%/R600；Td1%不等同Tonset,Tonset_C列用于存放原文Td1%温度，定义与外推Tonset不同；使用前需按字段说明筛选,https://doi.org/10.3390/polym11121969,是
105,TG0106,L016-S003,L016,N2,,20.0,50.0,700.0,388.0,,,,,,,,,,,17.5,,,,,,原文Td1%=321 °C,原文表格,TGA table,Td1%/Td5%/R600；Td1%不等同Tonset,Tonset_C列用于存放原文Td1%温度，定义与外推Tonset不同；使用前需按字段说明筛选,https://doi.org/10.3390/polym11121969,是
106,TG0107,L016-S004,L016,N2,,20.0,50.0,700.0,384.0,,,,,,,,,,,19.0,,,,,,原文Td1%=317 °C,原文表格,TGA table,Td1%/Td5%/R600；Td1%不等同Tonset,Tonset_C列用于存放原文Td1%温度，定义与外推Tonset不同；使用前需按字段说明筛选,https://doi.org/10.3390/polym11121969,是
107,TG0108,L017-S001,L017,,,,,,,,,,425.0,,,,,,,,,,,750.0,2.0,398/425/453,出版社正文/表格片段,TGA table,各阶段 onset/peak/end + R750,全文访问有限，首批保留可核验表格片段,https://journals.sagepub.com/doi/10.1177/1528083716648761,是
108,TG0109,L017-S002,L017,,,,,,,,,,132.0,313.0,416.0,,,,,,,,,750.0,10.0,113/132/150; 289/313/335; 383/416/446,出版社正文/表格片段,TGA table,各阶段 onset/peak/end + R750,全文访问有限，首批保留可核验表格片段,https://journals.sagepub.com/doi/10.1177/1528083716648761,是
109,TG0110,L017-S003,L017,,,,,,,,,,310.0,415.0,,,,,,,,,,750.0,12.0,274/310/345; 382/415/447,出版社正文/表格片段,TGA table,各阶段 onset/peak/end + R750,全文访问有限，首批保留可核验表格片段,https://journals.sagepub.com/doi/10.1177/1528083716648761,是
110,TG0111,L017-S004,L017,,,,,,,,,,350.0,,,,,,,,,,,750.0,20.0,319/350/379,出版社正文/表格片段,TGA table,各阶段 onset/peak/end + R750,全文访问有限，首批保留可核验表格片段,https://journals.sagepub.com/doi/10.1177/1528083716648761,是
111,TG0112,L017-S005,L017,,,,,,,,,,147.0,426.0,,,,,,,,,,750.0,10.0,126/147/165; 397/426/452,出版社正文/表格片段,TGA table,各阶段 onset/peak/end + R750,全文访问有限，首批保留可核验表格片段,https://journals.sagepub.com/doi/10.1177/1528083716648761,是
112,TG0113,L017-S006,L017,,,,,,,,,,405.0,,,,,,,,,,,750.0,11.0,374/405/437,出版社正文/表格片段,TGA table,各阶段 onset/peak/end + R750,全文访问有限，首批保留可核验表格片段,https://journals.sagepub.com/doi/10.1177/1528083716648761,是
