<PARSED TEXT FOR SHEET: 1 / 1 TABS
TAB NAME: commercial_tg.csv>index,市售TG编号,证据等级,品牌/商业体系,具体样品/状态,关联product_id,品牌/厂家,基材类别,材料形态,组成/产品描述,面密度(g/m²),状态/处理,典型城市用途,气氛,气体流量(mL/min),升温速率(°C/min),温度起点(°C),温度终点(°C),T5(°C),T10(°C),T50(°C),Tonset/起始分解(°C),Tmax1(°C),Tmax2(°C),最大失重速率,速率单位,残余温度(°C),残余质量(%),LOI(%),其他TG/DTG原文信息,数值来源,来源类型,来源题名,年份,DOI,来源URL,匹配范围,限制/冲突,可直接用于数值分析,检索日期
10,CTG0011,B-明确商业品牌材料,Kevlar®,Kevlar fiber - air,,DuPont Kevlar®,芳纶,纤维,Kevlar® para-aramid fiber,,未处理,S1芳纶辅助参照,air,,,25.0,900.0,,,,520.0,,,8.2,%/min,,,,高分辨TG；原文称air中初始分解温度520°C，最大分解速率8.2%/min；900°C炭收率空气高于氮气，但摘要未给精确值。,Wiley摘要明确数值,原始论文,Thermal degradation of Kevlar fiber by high-resolution thermogravimetry,1999.0,10.1002/(SICI)1097-4628(19990124)71:4<565::AID-APP7>3.0.CO;2-P,https://onlinelibrary.wiley.com/doi/10.1002/%28SICI%291097-4628%2819990124%2971%3A4%3C565%3A%3AAID-APP7%3E3.0.CO%3B2-P,Kevlar品牌纤维实测；辅助而非织物主参照,“initial degradation temperature”按原文定义保留，不与T5自动等同。,是,2026-09-06
11,CTG0012,B-明确商业品牌材料,Kevlar®,Kevlar fiber - N2,,DuPont Kevlar®,芳纶,纤维,Kevlar® para-aramid fiber,,未处理,S1芳纶辅助参照,N2,,,25.0,900.0,,,,530.0,,,3.5,%/min,,,,高分辨TG；原文称N2中初始分解温度530°C，最大分解速率3.5%/min；900°C炭收率空气高于氮气，但摘要未给精确值。,Wiley摘要明确数值,原始论文,Thermal degradation of Kevlar fiber by high-resolution thermogravimetry,1999.0,10.1002/(SICI)1097-4628(19990124)71:4<565::AID-APP7>3.0.CO;2-P,https://onlinelibrary.wiley.com/doi/10.1002/%28SICI%291097-4628%2819990124%2971%3A4%3C565%3A%3AAID-APP7%3E3.0.CO%3B2-P,Kevlar品牌纤维实测；辅助而非织物主参照,“initial degradation temperature”按原文定义保留，不与T5自动等同。,是,2026-09-06
12,CTG0013,B-品牌材料（具体型号未说明）,Kevlar®,Pure Kevlar,,Kevlar®,芳纶,织物/材料（原文Kevlar-based sample）,Kevlar-based,,未处理Kevlar,S1芳纶热响应辅助参照,,,,25.0,900.0,521.0,545.0,742.8,,571.8,,0.783,%/°C,900.0,31.2,,原文同时报告T5、T10、T50、DTG Tmax、最大失重速率和900°C最终残余。,原文结果段/表格明确数值,原始论文,Laser-Protective Kevlar with Acrylic-Based Expandable Graphite Coating,2026.0,,https://www.mdpi.com/2673-7248/6/2/58,Kevlar品牌材料级，未给商业SKU/具体Kevlar等级,当前检索页未明确TGA气氛/升温速率，暂不补猜。,是,2026-09-06
13,CTG0014,B-品牌材料（具体型号未说明）,Kevlar®,Kevlar + acrylic varnish,,Kevlar®,芳纶,织物/材料（原文Kevlar-based sample）,Kevlar-based,,丙烯酸清漆涂层,S1芳纶热响应辅助参照,,,,25.0,900.0,268.3,285.5,369.7,,357.3,,0.694,%/°C,900.0,7.0,,原文同时报告T5、T10、T50、DTG Tmax、最大失重速率和900°C最终残余。,原文结果段/表格明确数值,原始论文,Laser-Protective Kevlar with Acrylic-Based Expandable Graphite Coating,2026.0,,https://www.mdpi.com/2673-7248/6/2/58,Kevlar品牌材料级，未给商业SKU/具体Kevlar等级,当前检索页未明确TGA气氛/升温速率，暂不补猜。,是,2026-09-06
14,CTG0015,B-品牌材料（具体型号未说明）,Kevlar®,Kevlar + acrylic varnish + expandable graphite,,Kevlar®,芳纶,织物/材料（原文Kevlar-based sample）,Kevlar-based,,丙烯酸清漆+膨胀石墨涂层,S1芳纶热响应辅助参照,,,,25.0,900.0,282.0,299.5,562.0,,565.2,,0.652,%/°C,900.0,3.5,,原文同时报告T5、T10、T50、DTG Tmax、最大失重速率和900°C最终残余。,原文结果段/表格明确数值,原始论文,Laser-Protective Kevlar with Acrylic-Based Expandable Graphite Coating,2026.0,,https://www.mdpi.com/2673-7248/6/2/58,Kevlar品牌材料级，未给商业SKU/具体Kevlar等级,当前检索页未明确TGA气氛/升温速率，暂不补猜。,是,2026-09-06
15,CTG0016,B-明确商业品牌材料,Kermel®,initial state,,Kermel®,芳纶,织物,commercially available Kermel meta-aramid fabric; thickness 0.37 mm,,原始状态,消防/救援防护材料辅助参照,air,,10,25.0,800.0,417.0,471.8,544.4,,545.1,,,,1000.0,0.97,,原文表1同时给T5/T10/T50/Tmax/W1000。样品约10 mg，TGA Q500。,原文表1明确数值,会议论文全文,THE KERMEL-PTFE MACRO-COMPOSITE AS A MATERIAL FOR MOBILE ROBOTS ANTI-CONTAMINATION SHIELD,2012.0,,https://www.researchgate.net/publication/298530900_THE_KERMEL-PTFE_MACRO-COMPOSITE_AS_A_MATERIAL_FOR_MOBILE_ROBOTS_ANTI-CONTAMINATION_SHIELD,明确写明commercially available Kermel fabric；品牌级实测,方法段写TGA范围25–800°C，但表1残余列标为W1000；W1000保留原文但暂不用于同条件比较。,是,2026-09-06
16,CTG0017,B-明确商业品牌材料,Kermel®,toluene,,Kermel®,芳纶,织物,commercially available Kermel meta-aramid fabric; thickness 0.37 mm,,甲苯暴露,消防/救援防护材料辅助参照,air,,10,25.0,800.0,419.1,472.2,543.0,,544.3,,,,1000.0,0.86,,原文表1同时给T5/T10/T50/Tmax/W1000。样品约10 mg，TGA Q500。,原文表1明确数值,会议论文全文,THE KERMEL-PTFE MACRO-COMPOSITE AS A MATERIAL FOR MOBILE ROBOTS ANTI-CONTAMINATION SHIELD,2012.0,,https://www.researchgate.net/publication/298530900_THE_KERMEL-PTFE_MACRO-COMPOSITE_AS_A_MATERIAL_FOR_MOBILE_ROBOTS_ANTI-CONTAMINATION_SHIELD,明确写明commercially available Kermel fabric；品牌级实测,方法段写TGA范围25–800°C，但表1残余列标为W1000；W1000保留原文但暂不用于同条件比较。,是,2026-09-06
17,CTG0018,B-明确商业品牌材料,Kermel®,triethylamine,,Kermel®,芳纶,织物,commercially available Kermel meta-aramid fabric; thickness 0.37 mm,,三乙胺暴露,消防/救援防护材料辅助参照,air,,10,25.0,800.0,417.4,471.2,543.9,,545.4,,,,1000.0,0.9,,原文表1同时给T5/T10/T50/Tmax/W1000。样品约10 mg，TGA Q500。,原文表1明确数值,会议论文全文,THE KERMEL-PTFE MACRO-COMPOSITE AS A MATERIAL FOR MOBILE ROBOTS ANTI-CONTAMINATION SHIELD,2012.0,,https://www.researchgate.net/publication/298530900_THE_KERMEL-PTFE_MACRO-COMPOSITE_AS_A_MATERIAL_FOR_MOBILE_ROBOTS_ANTI-CONTAMINATION_SHIELD,明确写明commercially available Kermel fabric；品牌级实测,方法段写TGA范围25–800°C，但表1残余列标为W1000；W1000保留原文但暂不用于同条件比较。,是,2026-09-06
18,CTG0019,B-明确商业品牌材料,Kermel®,n-acetate,,Kermel®,芳纶,织物,commercially available Kermel meta-aramid fabric; thickness 0.37 mm,,n-acetate暴露,消防/救援防护材料辅助参照,air,,10,25.0,800.0,415.5,470.4,544.7,,545.6,,,,1000.0,0.92,,原文表1同时给T5/T10/T50/Tmax/W1000。样品约10 mg，TGA Q500。,原文表1明确数值,会议论文全文,THE KERMEL-PTFE MACRO-COMPOSITE AS A MATERIAL FOR MOBILE ROBOTS ANTI-CONTAMINATION SHIELD,2012.0,,https://www.researchgate.net/publication/298530900_THE_KERMEL-PTFE_MACRO-COMPOSITE_AS_A_MATERIAL_FOR_MOBILE_ROBOTS_ANTI-CONTAMINATION_SHIELD,明确写明commercially available Kermel fabric；品牌级实测,方法段写TGA范围25–800°C，但表1残余列标为W1000；W1000保留原文但暂不用于同条件比较。,是,2026-09-06
19,CTG0020,B-明确商业品牌材料,Kermel®,nitric acid 65%,,Kermel®,芳纶,织物,commercially available Kermel meta-aramid fabric; thickness 0.37 mm,,65%硝酸暴露,消防/救援防护材料辅助参照,air,,10,25.0,800.0,274.6,428.2,544.7,,547.7,,,,1000.0,0.9,,原文表1同时给T5/T10/T50/Tmax/W1000。样品约10 mg，TGA Q500。,原文表1明确数值,会议论文全文,THE KERMEL-PTFE MACRO-COMPOSITE AS A MATERIAL FOR MOBILE ROBOTS ANTI-CONTAMINATION SHIELD,2012.0,,https://www.researchgate.net/publication/298530900_THE_KERMEL-PTFE_MACRO-COMPOSITE_AS_A_MATERIAL_FOR_MOBILE_ROBOTS_ANTI-CONTAMINATION_SHIELD,明确写明commercially available Kermel fabric；品牌级实测,方法段写TGA范围25–800°C，但表1残余列标为W1000；W1000保留原文但暂不用于同条件比较。 表1给T5=274.6°C，而正文叙述约341°C，内部冲突待核。,否,2026-09-06
20,CTG0021,B-明确商业品牌材料,Kermel®,dipping acid 95%,,Kermel®,芳纶,织物,commercially available Kermel meta-aramid fabric; thickness 0.37 mm,,95% dipping acid暴露,消防/救援防护材料辅助参照,air,,10,25.0,800.0,341.4,458.3,545.8,,548.7,,,,1000.0,0.96,,原文表1同时给T5/T10/T50/Tmax/W1000。样品约10 mg，TGA Q500。,原文表1明确数值,会议论文全文,THE KERMEL-PTFE MACRO-COMPOSITE AS A MATERIAL FOR MOBILE ROBOTS ANTI-CONTAMINATION SHIELD,2012.0,,https://www.researchgate.net/publication/298530900_THE_KERMEL-PTFE_MACRO-COMPOSITE_AS_A_MATERIAL_FOR_MOBILE_ROBOTS_ANTI-CONTAMINATION_SHIELD,明确写明commercially available Kermel fabric；品牌级实测,方法段写TGA范围25–800°C，但表1残余列标为W1000；W1000保留原文但暂不用于同条件比较。 表1给T5=341.4°C，而正文叙述约274°C，内部冲突待核。,否,2026-09-06
21,CTG0022,B-明确商业品牌材料,Lenzing FR®,Lenzing FR® 2.2 dtex/51 mm,,Lenzing AG,阻燃粘胶/纤维素,纤维,Lenzing FR® 2.2 dtex / 51 mm,,品牌纤维基线,消防/防护服混纺辅助参照,air,,10,23.0,600.0,,,,,250.0,458.0,,,,,,约20 mg；TA Instruments TGA 2050。原文定义“degradation point”为一阶导数峰；Lenzing FR®两步：250°C、458°C。正文另述700°C残余8%，但方法段终温写600°C，故残余不入数值栏。,原文方法+结果正文,期刊/品牌参与研究全文镜像,THERMAL AND SORPTION STUDY OF FLAME–RESISTANT FIBERS,2011.0,,https://studylib.net/doc/8820333/thermal-and-sorption-study-of-flame%E2%80%93resistant-fibers,Lenzing FR品牌纤维级；可作为防护服混纺辅助参照,方法终温600°C与正文“700°C残余8%”存在内部不一致，R700暂不录入。,是,2026-09-06
22,CTG0023,C-商业阻燃工艺/真实织物体系,THPC-urea-PVBr,PET/cotton 0/100 - untreated - N2,,USDA/Southern Regional Research Center study,棉,织物,0% polyester / 100% cotton,,untreated,工作服/家居/公共建筑混纺织物参照,N2,,5,,750.0,,,,,346.0,,0.15,mg/min-mg,,,,PET/cotton=0/100; untreated; 5°C/min，从ambient升至750°C；论文明确该比例在N2下有TG曲线。 摘要明确主要失重270–370°C，最大失重速率0.15 mg/min-mg@346°C。,出版社摘要；完整TG曲线需全文,原始论文,Thermogravimetric analysis of polyester/cotton blends treated with Thpc-urea-poly(vinyl bromide),1976.0,10.1016/0040-6031(76)85053-8,https://www.sciencedirect.com/science/article/pii/0040603176850538,真实织物+商业化阻燃化学体系；非具体市售SKU,处理样精确TG参数需全文/曲线数字化；不能映射成某厂家SKU。,是,2026-09-06
23,CTG0024,C-商业阻燃工艺/真实织物体系,THPC-urea-PVBr,PET/cotton 0/100 - untreated - air,,USDA/Southern Regional Research Center study,棉,织物,0% polyester / 100% cotton,,untreated,工作服/家居/公共建筑混纺织物参照,air,,5,,750.0,,,,,317.0,,0.25,mg/min-mg,,,,PET/cotton=0/100; untreated; 5°C/min，从ambient升至750°C；论文明确该比例在air下有TG曲线。 摘要明确最大失重速率0.25 mg/min-mg@317°C。,出版社摘要；完整TG曲线需全文,原始论文,Thermogravimetric analysis of polyester/cotton blends treated with Thpc-urea-poly(vinyl bromide),1976.0,10.1016/0040-6031(76)85053-8,https://www.sciencedirect.com/science/article/pii/0040603176850538,真实织物+商业化阻燃化学体系；非具体市售SKU,处理样精确TG参数需全文/曲线数字化；不能映射成某厂家SKU。,是,2026-09-06
24,CTG0025,C-商业阻燃工艺/真实织物体系,THPC-urea-PVBr,PET/cotton 0/100 - THPC-urea-PVBr treated - N2,,USDA/Southern Regional Research Center study,棉,织物,0% polyester / 100% cotton,,THPC-urea-PVBr treated,工作服/家居/公共建筑混纺织物参照,N2,,5,,750.0,,,,,,,,,,,,PET/cotton=0/100; THPC-urea-PVBr treated; 5°C/min，从ambient升至750°C；论文明确该比例在N2下有TG曲线。,出版社摘要；完整TG曲线需全文,原始论文,Thermogravimetric analysis of polyester/cotton blends treated with Thpc-urea-poly(vinyl bromide),1976.0,10.1016/0040-6031(76)85053-8,https://www.sciencedirect.com/science/article/pii/0040603176850538,真实织物+商业化阻燃化学体系；非具体市售SKU,处理样精确TG参数需全文/曲线数字化；不能映射成某厂家SKU。,否,2026-09-06
25,CTG0026,C-商业阻燃工艺/真实织物体系,THPC-urea-PVBr,PET/cotton 0/100 - THPC-urea-PVBr treated - air,,USDA/Southern Regional Research Center study,棉,织物,0% polyester / 100% cotton,,THPC-urea-PVBr treated,工作服/家居/公共建筑混纺织物参照,air,,5,,750.0,,,,,,,,,,,,PET/cotton=0/100; THPC-urea-PVBr treated; 5°C/min，从ambient升至750°C；论文明确该比例在air下有TG曲线。,出版社摘要；完整TG曲线需全文,原始论文,Thermogravimetric analysis of polyester/cotton blends treated with Thpc-urea-poly(vinyl bromide),1976.0,10.1016/0040-6031(76)85053-8,https://www.sciencedirect.com/science/article/pii/0040603176850538,真实织物+商业化阻燃化学体系；非具体市售SKU,处理样精确TG参数需全文/曲线数字化；不能映射成某厂家SKU。,否,2026-09-06
26,CTG0027,C-商业阻燃工艺/真实织物体系,THPC-urea-PVBr,PET/cotton 11/89 - untreated - N2,,USDA/Southern Regional Research Center study,棉/聚酯,织物,11% polyester / 89% cotton,,untreated,工作服/家居/公共建筑混纺织物参照,N2,,5,,750.0,,,,,,,,,,,,PET/cotton=11/89; untreated; 5°C/min，从ambient升至750°C；论文明确该比例在N2下有TG曲线。,出版社摘要；完整TG曲线需全文,原始论文,Thermogravimetric analysis of polyester/cotton blends treated with Thpc-urea-poly(vinyl bromide),1976.0,10.1016/0040-6031(76)85053-8,https://www.sciencedirect.com/science/article/pii/0040603176850538,真实织物+商业化阻燃化学体系；非具体市售SKU,处理样精确TG参数需全文/曲线数字化；不能映射成某厂家SKU。,否,2026-09-06
27,CTG0028,C-商业阻燃工艺/真实织物体系,THPC-urea-PVBr,PET/cotton 11/89 - untreated - air,,USDA/Southern Regional Research Center study,棉/聚酯,织物,11% polyester / 89% cotton,,untreated,工作服/家居/公共建筑混纺织物参照,air,,5,,750.0,,,,,,,,,,,,PET/cotton=11/89; untreated; 5°C/min，从ambient升至750°C；论文明确该比例在air下有TG曲线。,出版社摘要；完整TG曲线需全文,原始论文,Thermogravimetric analysis of polyester/cotton blends treated with Thpc-urea-poly(vinyl bromide),1976.0,10.1016/0040-6031(76)85053-8,https://www.sciencedirect.com/science/article/pii/0040603176850538,真实织物+商业化阻燃化学体系；非具体市售SKU,处理样精确TG参数需全文/曲线数字化；不能映射成某厂家SKU。,否,2026-09-06
28,CTG0029,C-商业阻燃工艺/真实织物体系,THPC-urea-PVBr,PET/cotton 11/89 - THPC-urea-PVBr treated - N2,,USDA/Southern Regional Research Center study,棉/聚酯,织物,11% polyester / 89% cotton,,THPC-urea-PVBr treated,工作服/家居/公共建筑混纺织物参照,N2,,5,,750.0,,,,,,,,,,,,PET/cotton=11/89; THPC-urea-PVBr treated; 5°C/min，从ambient升至750°C；论文明确该比例在N2下有TG曲线。,出版社摘要；完整TG曲线需全文,原始论文,Thermogravimetric analysis of polyester/cotton blends treated with Thpc-urea-poly(vinyl bromide),1976.0,10.1016/0040-6031(76)85053-8,https://www.sciencedirect.com/science/article/pii/0040603176850538,真实织物+商业化阻燃化学体系；非具体市售SKU,处理样精确TG参数需全文/曲线数字化；不能映射成某厂家SKU。,否,2026-09-06
29,CTG0030,C-商业阻燃工艺/真实织物体系,THPC-urea-PVBr,PET/cotton 11/89 - THPC-urea-PVBr treated - air,,USDA/Southern Regional Research Center study,棉/聚酯,织物,11% polyester / 89% cotton,,THPC-urea-PVBr treated,工作服/家居/公共建筑混纺织物参照,air,,5,,750.0,,,,,,,,,,,,PET/cotton=11/89; THPC-urea-PVBr treated; 5°C/min，从ambient升至750°C；论文明确该比例在air下有TG曲线。,出版社摘要；完整TG曲线需全文,原始论文,Thermogravimetric analysis of polyester/cotton blends treated with Thpc-urea-poly(vinyl bromide),1976.0,10.1016/0040-6031(76)85053-8,https://www.sciencedirect.com/science/article/pii/0040603176850538,真实织物+商业化阻燃化学体系；非具体市售SKU,处理样精确TG参数需全文/曲线数字化；不能映射成某厂家SKU。,否,2026-09-06
30,CTG0031,C-商业阻燃工艺/真实织物体系,THPC-urea-PVBr,PET/cotton 20/80 - untreated - N2,,USDA/Southern Regional Research Center study,棉/聚酯,织物,20% polyester / 80% cotton,,untreated,工作服/家居/公共建筑混纺织物参照,N2,,5,,750.0,,,,,,,,,,,,PET/cotton=20/80; untreated; 5°C/min，从ambient升至750°C；论文明确该比例在N2下有TG曲线。,出版社摘要；完整TG曲线需全文,原始论文,Thermogravimetric analysis of polyester/cotton blends treated with Thpc-urea-poly(vinyl bromide),1976.0,10.1016/0040-6031(76)85053-8,https://www.sciencedirect.com/science/article/pii/0040603176850538,真实织物+商业化阻燃化学体系；非具体市售SKU,处理样精确TG参数需全文/曲线数字化；不能映射成某厂家SKU。,否,2026-09-06
31,CTG0032,C-商业阻燃工艺/真实织物体系,THPC-urea-PVBr,PET/cotton 20/80 - untreated - air,,USDA/Southern Regional Research Center study,棉/聚酯,织物,20% polyester / 80% cotton,,untreated,工作服/家居/公共建筑混纺织物参照,air,,5,,750.0,,,,,,,,,,,,PET/cotton=20/80; untreated; 5°C/min，从ambient升至750°C；论文明确该比例在air下有TG曲线。,出版社摘要；完整TG曲线需全文,原始论文,Thermogravimetric analysis of polyester/cotton blends treated with Thpc-urea-poly(vinyl bromide),1976.0,10.1016/0040-6031(76)85053-8,https://www.sciencedirect.com/science/article/pii/0040603176850538,真实织物+商业化阻燃化学体系；非具体市售SKU,处理样精确TG参数需全文/曲线数字化；不能映射成某厂家SKU。,否,2026-09-06
32,CTG0033,C-商业阻燃工艺/真实织物体系,THPC-urea-PVBr,PET/cotton 20/80 - THPC-urea-PVBr treated - N2,,USDA/Southern Regional Research Center study,棉/聚酯,织物,20% polyester / 80% cotton,,THPC-urea-PVBr treated,工作服/家居/公共建筑混纺织物参照,N2,,5,,750.0,,,,,,,,,,,,PET/cotton=20/80; THPC-urea-PVBr treated; 5°C/min，从ambient升至750°C；论文明确该比例在N2下有TG曲线。,出版社摘要；完整TG曲线需全文,原始论文,Thermogravimetric analysis of polyester/cotton blends treated with Thpc-urea-poly(vinyl bromide),1976.0,10.1016/0040-6031(76)85053-8,https://www.sciencedirect.com/science/article/pii/0040603176850538,真实织物+商业化阻燃化学体系；非具体市售SKU,处理样精确TG参数需全文/曲线数字化；不能映射成某厂家SKU。,否,2026-09-06
