<PARSED TEXT FOR SHEET: 1 / 1 TABS
TAB NAME: literature_sources.csv>index,study_id,题名,年份,期刊,DOI,来源链接,访问状态,纳入状态,原始数据状态,TG位置,LOI位置,检索日期,证据/审计说明
16,L017,Protection of polyester fabric from ignition by a new chemical modification method,2017,Journal of Industrial Textiles,10.1177/1528083716648761,https://journals.sagepub.com/doi/10.1177/1528083716648761,出版社页面/正文片段,纳入,TG表格片段+部分LOI,TGA table,LOI section,2026-09-05,全文访问有限，保留可核验片段
17,L018,Simple modification of phenylphosphonic acid to construct polyester-cotton fabrics with high flame retardancy,2024,Advanced Industrial and Engineering Polymer Research,10.1016/j.aiepr.2024.03.001,https://doi.org/10.1016/j.aiepr.2024.03.001,已读开放全文,纳入,TG曲线+LOI表,TGA figures,LOI table,2026-09-05,
18,L019,Fabrication of P/N/B-Based Intumescent Flame-Retardant Coating for Polyester/Cotton Blend Fabric,2022,Materials,10.3390/ma15186420,https://doi.org/10.3390/ma15186420,已读开放全文,纳入,TG表格+LOI表,TGA table,LOI table,2026-09-05,
19,L020,The Effect of Combined Atmospheric Plasma/UV Treatments on Improving the Durability of Flame Retardants Applied to Cotton,2022,Molecules,10.3390/molecules27248737,https://doi.org/10.3390/molecules27248737,已读开放全文,纳入,19个状态TG表+部分LOI,Table 8,Table 9,2026-09-05,
20,L021,Phosphamide-Based Washing-Durable Flame Retardant for Cotton Fabrics,2024,Materials,10.3390/ma17030630,https://doi.org/10.3390/ma17030630,已读开放全文,纳入,TG曲线/正文数值+LOI,Figure 8/text,LOI table,2026-09-05,
21,L022,In Situ Synthesis of Silver Nanoparticles on Flame-Retardant Cotton Textiles Treated with Biological Phytic Acid and Antibacterial Activity,2022,Materials,10.3390/ma15072537,https://pmc.ncbi.nlm.nih.gov/articles/PMC9000066/,已读开放全文,纳入,不同升温速率TG+洗涤LOI,TGA section,LOI results,2026-09-05,
22,L023,Study on Flame Retardancy of Cotton Fabric Modified by Sulfonic Groups Chelated with Ba2+,2024,Molecules,10.3390/molecules29225306,https://doi.org/10.3390/molecules29225306,已读开放全文,纳入,TG表格（air/N2）+LOI,Table 2,LOI results,2026-09-05,N2表中处理样品行标签疑似出现Ga/Ba笔误，已在TG记录审计说明中保留
23,L024,Facile Fabrication of Highly Efficient Chitosan-Based Multifunctional Coating for Cotton Fabrics with Excellent Flame-Retardant and Antibacterial Properties,2024,Polymers,10.3390/polym16101409,https://doi.org/10.3390/polym16101409,已读开放全文,纳入,TG表/图+LOI表,TGA table/figure,LOI table,2026-09-05,
24,L025,Facile Fabrication of Superhydrophobic and Flame-Retardant Coatings on Cotton Fabrics,2022,Polymers,10.3390/polym14235314,https://pmc.ncbi.nlm.nih.gov/articles/PMC9736095/,已读开放全文,纳入,TG表格,TGA results,,2026-09-05,
25,L026,"Synthesis of phosphorus, sulfur and silicon-containing flame retardant via thiol-ene click reaction and its use for durable finishing of cotton fabric",2024,Scientific Reports,10.1038/s41598-024-71071-5,https://pmc.ncbi.nlm.nih.gov/articles/PMC11362145/,已读开放全文,纳入,14个状态TG表；LOI图,TGA table,LOI figure,2026-09-05,
26,L027,"Flame-Retardant and Hydrophobic Cotton via Alkoxysilyl-Functionalized Polysiloxanes, Cyclosiloxanes, and POSS with Surface Thiol-Ene Dithiophosphate Grafting",2026,Materials,10.3390/ma19020265,https://doi.org/10.3390/ma19020265,已读开放全文,纳入,空气TG表+LOI,Table 4,LOI results,2026-09-05,
27,L028,Synthesis of a Bio-Based Intumescent Flame Retardant Without Halogen and Its Application on Cotton Fabric,2025,Journal article,10.1177/24723444251314919,https://doi.org/10.1177/24723444251314919,出版社页面/可读正文,纳入,TG表格+LOI表,TGA table,Table 1,2026-09-05,LOI表与正文个别洗涤后数值存在轻微差异，优先保留表值并标注
28,L029,Revealing the flame retardancy of cotton fabrics treated with ammonium ethylenediamine tetramethylenephosphonate and trimethylol melamine,2025,RSC Advances,10.1039/D5RA00402K,https://doi.org/10.1039/D5RA00402K,已读开放全文,纳入,7个状态TG+处理样LOI,TGA figure/text,LOI results,2026-09-05,
29,L030,"Sustainable Intumescent Flame-Retardant Coating with Sericin, Phosphorus, and Silicon for Polyester Fabrics",2026,Polymers,10.3390/polym18060682,https://doi.org/10.3390/polym18060682,已读开放全文,纳入,10个配方；4个代表样TG+LOI,TGA table,LOI table,2026-09-05,
30,L031,Flame-retardant finishing of cotton fabrics using DOPO functionalized alkoxy- and amido alkoxysilane,2023,Cellulose,10.1007/s10570-022-05033-3,https://doi.org/10.1007/s10570-022-05033-3,出版社开放全文,纳入,TG表格（N2/air）+LOI,TGA table,LOI results,2026-09-05,
31,L032,Low temperature carbonization flame-retardant mechanism of cotton fabric catalyzed by the composite of keratin and in-situ generated calcium alginate,2025,Polymer Degradation and Stability,10.1016/j.polymdegradstab.2025.111730,https://doi.org/10.1016/j.polymdegradstab.2025.111730,出版社摘要/高置信摘要数据,纳入,摘要/Highlights含TG残余与LOI,Highlights/abstract,Highlights/abstract,2026-09-05,全文付费墙；仅使用出版社摘要/Highlights明确数值，不标全文核验
32,L033,Adaptive crosslinking of guar gum-polyborate network to impart efficient flame retardancy to cotton fabrics,2026,Polymer Degradation and Stability,10.1016/j.polymdegradstab.2025.111812,https://doi.org/10.1016/j.polymdegradstab.2025.111812,出版社摘要/高置信摘要数据,纳入,Highlights含R800/LOI,Highlights/abstract,Highlights/abstract,2026-09-05,全文付费墙；只录入出版社页面明确数值
33,L034,Water-Soluble Cyclophosphazenes as Durable Flame-Retardant Finishes for Nylon/Cotton Blend Fabrics,2022,ACS Applied Polymer Materials,10.1021/acsapm.2c01257,https://doi.org/10.1021/acsapm.2c01257,出版社摘要+开放Supporting Information入口,纳入,摘要明确TGA存在+LOI数值,TGA results,abstract/LOI results,2026-09-05,首批使用出版社摘要明确LOI；TG精确参数待正文/图回查
34,L035,Improving the fire performance and washing durability of nylon-cotton blend fabrics by the incorporation taurine derivatives,2022,Progress in Organic Coatings,10.1016/j.porgcoat.2022.107018,https://doi.org/10.1016/j.porgcoat.2022.107018,出版社摘要/Highlights,纳入,摘要明确TG残余+LOI,abstract,abstract,2026-09-05,全文访问有限；只使用出版社摘要明确数值
35,L036,Fully bio-based coating for nylon/cotton blend fabrics with improved flame retardancy and smoke suppression properties,2023,Progress in Organic Coatings,10.1016/j.porgcoat.2023.107884,https://doi.org/10.1016/j.porgcoat.2023.107884,出版社页面可读正文片段,纳入,TG-FTIR确认+LOI,TG-FTIR/thermal section,abstract/conclusion,2026-09-05,"页面可读材料信息明确NYCO=50/50 wt%, 150 g/m²；首批TG参数未数字化"
