<PARSED TEXT FOR SHEET: 1 / 1 TABS
TAB NAME: samples.csv>index,sample_id,material_id,study_id,原始样品名,基材类别,组成,混纺比例,聚合物亚型,材料形态,面密度(g/m²),处理状态,处理化学/阻燃剂,处理方法,添加量,添加量单位,添加量基准,样品状态,洗涤次数,洗涤标准,文献确认TG,文献确认LOI,基准角色,原文位置,限制说明,来源链接,TG记录数,TG数值状态,LOI数值状态,TG+LOI数值配对
22,L004-S006,L004-M002,L004,BDA-30 (10 LCs),棉,100% cotton,,,织物,,阻燃处理,boric acid + DTPMPA ammonium salt chelating FR (BDA),reactive coating,,,,10 laundering cycles,10.0,,否,是,主参照,LOI durability table; Table 4 for 50 LCs,,https://pmc.ncbi.nlm.nih.gov/articles/PMC9695240/,0,无TG,有数值,否
23,L004-S007,L004-M003,L004,BDA-60 (10 LCs),棉,100% cotton,,,织物,,阻燃处理,boric acid + DTPMPA ammonium salt chelating FR (BDA),reactive coating,,,,10 laundering cycles,10.0,,否,是,主参照,LOI durability table; Table 4 for 50 LCs,,https://pmc.ncbi.nlm.nih.gov/articles/PMC9695240/,0,无TG,有数值,否
24,L004-S008,L004-M004,L004,BDA-90 (10 LCs),棉,100% cotton,,,织物,,阻燃处理,boric acid + DTPMPA ammonium salt chelating FR (BDA),reactive coating,,,,10 laundering cycles,10.0,,否,是,主参照,LOI durability table; Table 4 for 50 LCs,,https://pmc.ncbi.nlm.nih.gov/articles/PMC9695240/,0,无TG,有数值,否
25,L004-S009,L004-M005,L004,BDA-120 (10 LCs),棉,100% cotton,,,织物,,阻燃处理,boric acid + DTPMPA ammonium salt chelating FR (BDA),reactive coating,,,,10 laundering cycles,10.0,,否,是,主参照,LOI durability table; Table 4 for 50 LCs,,https://pmc.ncbi.nlm.nih.gov/articles/PMC9695240/,0,无TG,有数值,否
26,L004-S010,L004-M002,L004,BDA-30 (30 LCs),棉,100% cotton,,,织物,,阻燃处理,boric acid + DTPMPA ammonium salt chelating FR (BDA),reactive coating,,,,30 laundering cycles,30.0,,否,是,主参照,LOI durability table; Table 4 for 50 LCs,,https://pmc.ncbi.nlm.nih.gov/articles/PMC9695240/,0,无TG,有数值,否
27,L004-S011,L004-M003,L004,BDA-60 (30 LCs),棉,100% cotton,,,织物,,阻燃处理,boric acid + DTPMPA ammonium salt chelating FR (BDA),reactive coating,,,,30 laundering cycles,30.0,,否,是,主参照,LOI durability table; Table 4 for 50 LCs,,https://pmc.ncbi.nlm.nih.gov/articles/PMC9695240/,0,无TG,有数值,否
28,L004-S012,L004-M004,L004,BDA-90 (30 LCs),棉,100% cotton,,,织物,,阻燃处理,boric acid + DTPMPA ammonium salt chelating FR (BDA),reactive coating,,,,30 laundering cycles,30.0,,否,是,主参照,LOI durability table; Table 4 for 50 LCs,,https://pmc.ncbi.nlm.nih.gov/articles/PMC9695240/,0,无TG,有数值,否
29,L004-S013,L004-M005,L004,BDA-120 (30 LCs),棉,100% cotton,,,织物,,阻燃处理,boric acid + DTPMPA ammonium salt chelating FR (BDA),reactive coating,,,,30 laundering cycles,30.0,,否,是,主参照,LOI durability table; Table 4 for 50 LCs,,https://pmc.ncbi.nlm.nih.gov/articles/PMC9695240/,0,无TG,有数值,否
30,L004-S014,L004-M002,L004,BDA-30 (50 LCs),棉,100% cotton,,,织物,,阻燃处理,boric acid + DTPMPA ammonium salt chelating FR (BDA),reactive coating,,,,50 laundering cycles,50.0,,是,是,主参照,LOI durability table; Table 4 for 50 LCs,,https://pmc.ncbi.nlm.nih.gov/articles/PMC9695240/,1,有数值,有数值,是
31,L004-S015,L004-M003,L004,BDA-60 (50 LCs),棉,100% cotton,,,织物,,阻燃处理,boric acid + DTPMPA ammonium salt chelating FR (BDA),reactive coating,,,,50 laundering cycles,50.0,,是,是,主参照,LOI durability table; Table 4 for 50 LCs,,https://pmc.ncbi.nlm.nih.gov/articles/PMC9695240/,1,有数值,有数值,是
32,L004-S016,L004-M004,L004,BDA-90 (50 LCs),棉,100% cotton,,,织物,,阻燃处理,boric acid + DTPMPA ammonium salt chelating FR (BDA),reactive coating,,,,50 laundering cycles,50.0,,是,是,主参照,LOI durability table; Table 4 for 50 LCs,,https://pmc.ncbi.nlm.nih.gov/articles/PMC9695240/,1,有数值,有数值,是
33,L004-S017,L004-M005,L004,BDA-120 (50 LCs),棉,100% cotton,,,织物,,阻燃处理,boric acid + DTPMPA ammonium salt chelating FR (BDA),reactive coating,,,,50 laundering cycles,50.0,,是,是,主参照,LOI durability table; Table 4 for 50 LCs,,https://pmc.ncbi.nlm.nih.gov/articles/PMC9695240/,1,有数值,有数值,是
34,L005-S001,L005-M001,L005,Control,棉,100% cotton,,,织物,,未处理,,,0.0,%,add-on,,,,是,是,主参照,TG figure/text; LOI table,,https://doi.org/10.3390/polym14224994,1,有数值,有数值,是
35,L005-S002,L005-M002,L005,Cotton-2TL,棉,100% cotton,,,织物,,阻燃处理,clay-based layer-by-layer coating,LbL assembly,10.5,%,add-on,,,,是,是,主参照,TG figure/text; LOI table,,https://doi.org/10.3390/polym14224994,1,仅曲线/待数字化,有数值,否
36,L005-S003,L005-M003,L005,Cotton-5TL,棉,100% cotton,,,织物,,阻燃处理,clay-based layer-by-layer coating,LbL assembly,28.3,%,add-on,,,,是,是,主参照,TG figure/text; LOI table,,https://doi.org/10.3390/polym14224994,1,仅曲线/待数字化,有数值,否
37,L005-S004,L005-M004,L005,Cotton-8TL,棉,100% cotton,,,织物,,阻燃处理,clay-based layer-by-layer coating,LbL assembly,32.7,%,add-on,,,,是,是,主参照,TG figure/text; LOI table,,https://doi.org/10.3390/polym14224994,1,有数值,有数值,是
38,L006-S001,L006-M001,L006,Pure Cotton,棉,100% cotton,,,织物,,未处理,,,,,,,,,是,是,主参照,TGA table; Table 3,,https://doi.org/10.3390/polym17070945,2,有数值,有数值,是
39,L006-S002,L006-M002,L006,3BL,棉,100% cotton,,,织物,,阻燃处理,phosphorus–protein hybrid multilayer coating,Layer-by-layer assembly,,,,,,,是,是,主参照,TGA table; Table 3,,https://doi.org/10.3390/polym17070945,2,有数值,有数值,是
40,L006-S003,L006-M003,L006,6BL,棉,100% cotton,,,织物,,阻燃处理,phosphorus–protein hybrid multilayer coating,Layer-by-layer assembly,,,,,,,是,是,主参照,TGA table; Table 3,,https://doi.org/10.3390/polym17070945,2,有数值,有数值,是
41,L006-S004,L006-M004,L006,9BL,棉,100% cotton,,,织物,,阻燃处理,phosphorus–protein hybrid multilayer coating,Layer-by-layer assembly,,,,,,,是,是,主参照,TGA table; Table 3,,https://doi.org/10.3390/polym17070945,2,有数值,有数值,是
42,L006-S005,L006-M005,L006,12BL,棉,100% cotton,,,织物,,阻燃处理,phosphorus–protein hybrid multilayer coating,Layer-by-layer assembly,,,,,,,是,是,主参照,TGA table; Table 3,,https://doi.org/10.3390/polym17070945,2,有数值,有数值,是
43,L007-S001,L007-M001,L007,UNW,棉,Proban® flame-retardant cotton,,,织物,347.0,阻燃材料/Proban,,,,,,unwashed,,,是,是,主参照,TG/TG-IR figures; Table 7,,https://doi.org/10.3390/ma15155373,1,有数值（起始分解温度）,有数值,是
44,L007-S002,L007-M002,L007,46_10x,棉,Proban® flame-retardant cotton,,,织物,347.0,阻燃材料/Proban,,,,,,10 wash cycles,10.0,,是,是,主参照,TG/TG-IR figures; Table 7,,https://doi.org/10.3390/ma15155373,1,仅曲线/待数字化,有数值,否
45,L007-S003,L007-M003,L007,47_10x,棉,Proban® flame-retardant cotton,,,织物,347.0,阻燃材料/Proban,,,,,,10 wash cycles,10.0,,是,是,主参照,TG/TG-IR figures; Table 7,,https://doi.org/10.3390/ma15155373,1,仅曲线/待数字化,有数值,否
46,L007-S004,L007-M004,L007,48_10x,棉,Proban® flame-retardant cotton,,,织物,347.0,阻燃材料/Proban,,,,,,10 wash cycles,10.0,,是,是,主参照,TG/TG-IR figures; Table 7,,https://doi.org/10.3390/ma15155373,1,仅曲线/待数字化,有数值,否
47,L007-S005,L007-M005,L007,49_10x,棉,Proban® flame-retardant cotton,,,织物,347.0,阻燃材料/Proban,,,,,,10 wash cycles,10.0,,是,是,主参照,TG/TG-IR figures; Table 7,,https://doi.org/10.3390/ma15155373,1,有数值（R850）,有数值,是
48,L008-S001,L008-M001,L008,Control,棉,100% cotton,,,织物,,未处理,,,0.0,%,weight gain,as-prepared,,,是,是,主参照,TGA/LOI tables,,https://doi.org/10.3390/ijms24021093,2,有数值,有数值,是
49,L008-S002,L008-M002,L008,PAP-100,棉,100% cotton,,,织物,,阻燃处理,phytic acid,finishing,15.9,%,weight gain,as-prepared,,,否,是,主参照,TGA/LOI tables,,https://doi.org/10.3390/ijms24021093,0,无TG,有数值,否
50,L008-S003,L008-M003,L008,PAPBTCA-100,棉,100% cotton,,,织物,,阻燃处理,phytic acid + BTCA,finishing,17.3,%,weight gain,as-prepared,,,否,是,主参照,TGA/LOI tables,,https://doi.org/10.3390/ijms24021093,0,无TG,有数值,否
51,L008-S004,L008-M004,L008,PAP-200,棉,100% cotton,,,织物,,阻燃处理,phytic acid,finishing,21.2,%,weight gain,as-prepared,,,是,是,主参照,TGA/LOI tables,,https://doi.org/10.3390/ijms24021093,2,有数值,有数值,是
52,L008-S005,L008-M005,L008,PAPBTCA-200,棉,100% cotton,,,织物,,阻燃处理,phytic acid + BTCA,finishing,20.3,%,weight gain,as-prepared,,,是,是,主参照,TGA/LOI tables,,https://doi.org/10.3390/ijms24021093,2,有数值,有数值,是
53,L008-S006,L008-M004,L008,PAP-200-5Ls,棉,100% cotton,,,织物,,阻燃处理,phytic acid,finishing,3.2,%,weight gain,5 wash cycles,5.0,,否,是,主参照,TGA/LOI tables,,https://doi.org/10.3390/ijms24021093,0,无TG,有数值,否
54,L008-S007,L008-M005,L008,PAPBTCA-200-5Ls,棉,100% cotton,,,织物,,阻燃处理,phytic acid + BTCA,finishing,16.8,%,weight gain,5 wash cycles,5.0,,否,是,主参照,TGA/LOI tables,,https://doi.org/10.3390/ijms24021093,0,无TG,有数值,否
55,L009-S001,L009-M001,L009,Control,棉,100% cotton,,,织物,,未处理,,,0.0,%,weight gain,,,,是,是,主参照,Table 4/LOI table,,https://pmc.ncbi.nlm.nih.gov/articles/PMC7730485/,1,有数值,有数值,是
56,L009-S002,L009-M002,L009,8BL,棉,100% cotton,,,织物,,阻燃处理,phytic acid-based multilayer coating,LbL assembly,12.36,%,weight gain,,,,是,是,主参照,Table 4/LOI table,,https://pmc.ncbi.nlm.nih.gov/articles/PMC7730485/,1,有数值,有数值,是
57,L009-S003,L009-M003,L009,10BL,棉,100% cotton,,,织物,,阻燃处理,phytic acid-based multilayer coating,LbL assembly,17.29,%,weight gain,,,,是,是,主参照,Table 4/LOI table,,https://pmc.ncbi.nlm.nih.gov/articles/PMC7730485/,1,有数值,有数值,是
58,L009-S004,L009-M004,L009,12BL,棉,100% cotton,,,织物,,阻燃处理,phytic acid-based multilayer coating,LbL assembly,18.19,%,weight gain,,,,是,是,主参照,Table 4/LOI table,,https://pmc.ncbi.nlm.nih.gov/articles/PMC7730485/,1,有数值,有数值,是
59,L009-S005,L009-M005,L009,15BL,棉,100% cotton,,,织物,,阻燃处理,phytic acid-based multilayer coating,LbL assembly,20.12,%,weight gain,,,,是,是,主参照,Table 4/LOI table,,https://pmc.ncbi.nlm.nih.gov/articles/PMC7730485/,1,有数值,有数值,是
60,L010-S001,L010-M001,L010,Control,棉,100% cotton,,,织物,,未处理,,,,,,,,,是,是,主参照,TGA table/LOI results,,https://doi.org/10.3390/fib9110069,1,有数值,有数值,是
61,L010-S002,L010-M002,L010,8BL,棉,100% cotton,,,织物,,阻燃处理,phytic acid multilayer,LbL/nanocoating,,,,,,,是,是,主参照,TGA table/LOI results,,https://doi.org/10.3390/fib9110069,1,有数值,有数值,是
62,L010-S003,L010-M003,L010,10BL,棉,100% cotton,,,织物,,阻燃处理,phytic acid multilayer,LbL/nanocoating,,,,,,,是,否,主参照,TGA table/LOI results,LOI数值首批未提取,https://doi.org/10.3390/fib9110069,1,有数值,无LOI,否
63,L010-S004,L010-M004,L010,12BL,棉,100% cotton,,,织物,,阻燃处理,phytic acid multilayer,LbL/nanocoating,,,,,,,是,是,主参照,TGA table/LOI results,,https://doi.org/10.3390/fib9110069,1,有数值,有数值,是
64,L010-S005,L010-M005,L010,8BL+Cu,棉,100% cotton,,,织物,,阻燃处理,phytic acid multilayer + Cu/Ag-related nanoparticle treatment,LbL/nanocoating,,,,,,,是,是,主参照,TGA table/LOI results,,https://doi.org/10.3390/fib9110069,1,有数值,有数值,是
65,L010-S006,L010-M006,L010,10BL+Cu,棉,100% cotton,,,织物,,阻燃处理,phytic acid multilayer + Cu/Ag-related nanoparticle treatment,LbL/nanocoating,,,,,,,是,否,主参照,TGA table/LOI results,LOI数值首批未提取,https://doi.org/10.3390/fib9110069,1,有数值,无LOI,否
66,L010-S007,L010-M007,L010,12BL+Cu,棉,100% cotton,,,织物,,阻燃处理,phytic acid multilayer + Cu/Ag-related nanoparticle treatment,LbL/nanocoating,,,,,,,是,是,主参照,TGA table/LOI results,,https://doi.org/10.3390/fib9110069,1,有数值,有数值,是
67,L011-S001,L011-M001,L011,Uncoated,棉,100% cotton,,,织物,,未处理,,,,,,,,,是,否,主参照,TGA table,,https://doi.org/10.3390/molecules29245976,1,有数值,无LOI,否
68,L011-S002,L011-M002,L011,D-BPCB5L,棉,100% cotton,,,织物,,阻燃处理,D-BPCB layer-by-layer coating,LbL,,,,,,,是,否,主参照,TGA table,,https://doi.org/10.3390/molecules29245976,1,有数值,无LOI,否
69,L011-S003,L011-M003,L011,D-BPCB10L,棉,100% cotton,,,织物,,阻燃处理,D-BPCB layer-by-layer coating,LbL,,,,,,,是,否,主参照,TGA table,,https://doi.org/10.3390/molecules29245976,1,有数值,无LOI,否
70,L011-S004,L011-M004,L011,D-BPCB15L,棉,100% cotton,,,织物,,阻燃处理,D-BPCB layer-by-layer coating,LbL,,,,,,,是,否,主参照,TGA table,,https://doi.org/10.3390/molecules29245976,1,有数值,无LOI,否
71,L011-S005,L011-M005,L011,D-BPCB20L,棉,100% cotton,,,织物,,阻燃处理,D-BPCB layer-by-layer coating,LbL,,,,,,,是,否,主参照,TGA table,,https://doi.org/10.3390/molecules29245976,1,有数值,无LOI,否
72,L011-S006,L011-M006,L011,D-BPCB25L,棉,100% cotton,,,织物,,阻燃处理,D-BPCB layer-by-layer coating,LbL,,,,,,,是,否,主参照,TGA table,,https://doi.org/10.3390/molecules29245976,1,有数值,无LOI,否
73,L011-S007,L011-M007,L011,D-BPCB30L,棉,100% cotton,,,织物,,阻燃处理,D-BPCB layer-by-layer coating,LbL,,,,,,,是,否,主参照,TGA table,,https://doi.org/10.3390/molecules29245976,1,有数值,无LOI,否
74,L012-S001,L012-M001,L012,CO,棉,100% cotton,,,织物,,未处理,,,,,,,,,是,否,主参照,TGA table; LOI only in figure,LOI图未做数字化,https://doi.org/10.3390/polym18070819,1,有数值,无LOI,否
75,L012-S002,L012-M002,L012,CO_PVAmPA,棉,100% cotton,,,织物,,阻燃处理,PVAm/PA phytate coating,single-step coating,,,,,,,是,否,主参照,TGA table; LOI only in figure,LOI图未做数字化,https://doi.org/10.3390/polym18070819,1,有数值,无LOI,否
76,L012-S003,L012-M003,L012,CO_ChiPA,棉,100% cotton,,,织物,,阻燃处理,chitosan/phytate coating,single-step coating,,,,,,,是,否,主参照,TGA table; LOI only in figure,LOI图未做数字化,https://doi.org/10.3390/polym18070819,1,有数值,无LOI,否
77,L012-S004,L012-M004,L012,CO/PET,棉/聚酯,cotton/polyester blend,,,织物,,未处理,,,,,,,,,是,否,主参照,TGA table; LOI only in figure,LOI图未做数字化,https://doi.org/10.3390/polym18070819,1,有数值,无LOI,否
78,L012-S005,L012-M005,L012,CO/PET_PVAmPA,棉/聚酯,cotton/polyester blend,,,织物,,阻燃处理,PVAm/PA phytate coating,single-step coating,,,,,,,是,否,主参照,TGA table; LOI only in figure,LOI图未做数字化,https://doi.org/10.3390/polym18070819,1,有数值,无LOI,否
79,L012-S006,L012-M006,L012,CO/PET_ChiPA,棉/聚酯,cotton/polyester blend,,,织物,,阻燃处理,chitosan/phytate coating,single-step coating,,,,,,,是,否,主参照,TGA table; LOI only in figure,LOI图未做数字化,https://doi.org/10.3390/polym18070819,1,有数值,无LOI,否
80,L012-S007,L012-M007,L012,PET,聚酯,100% PET,,PET,织物,,未处理,,,,,,,,,是,否,主参照,TGA table; LOI only in figure,LOI图未做数字化,https://doi.org/10.3390/polym18070819,1,有数值,无LOI,否
81,L012-S008,L012-M008,L012,PET_PVAmPA,聚酯,100% PET,,PET,织物,,阻燃处理,PVAm/PA phytate coating,single-step coating,,,,,,,是,否,主参照,TGA table; LOI only in figure,LOI图未做数字化,https://doi.org/10.3390/polym18070819,1,有数值,无LOI,否
82,L012-S009,L012-M009,L012,PET_ChiPA,聚酯,100% PET,,PET,织物,,阻燃处理,chitosan/phytate coating,single-step coating,,,,,,,是,否,主参照,TGA table; LOI only in figure,LOI图未做数字化,https://doi.org/10.3390/polym18070819,1,有数值,无LOI,否
83,L013-S001,L013-M001,L013,AF,芳纶,meta-aramid fabric,,meta-aramid,织物,,未处理,,,0.0,%,reported coating loading,,,,是,是,主参照,TGA/LOI tables,,https://doi.org/10.3390/polym17111529,1,有数值,有数值,是
84,L013-S002,L013-M002,L013,PUA/AF-1,芳纶,meta-aramid fabric,,meta-aramid,织物,,涂层处理,inherent flame-retardant polyurea coating; OP550-containing formulations,coating,0.0,%,reported coating loading,,,,是,是,主参照,TGA/LOI tables,,https://doi.org/10.3390/polym17111529,1,有数值,有数值,是
85,L013-S003,L013-M003,L013,PUA/AF-2,芳纶,meta-aramid fabric,,meta-aramid,织物,,涂层处理,inherent flame-retardant polyurea coating; OP550-containing formulations,coating,21.9,%,reported coating loading,,,,是,是,主参照,TGA/LOI tables,,https://doi.org/10.3390/polym17111529,1,有数值,有数值,是
86,L013-S004,L013-M004,L013,PUA/AF-3,芳纶,meta-aramid fabric,,meta-aramid,织物,,涂层处理,inherent flame-retardant polyurea coating; OP550-containing formulations,coating,24.1,%,reported coating loading,,,,是,是,主参照,TGA/LOI tables,,https://doi.org/10.3390/polym17111529,1,有数值,有数值,是
87,L013-S005,L013-M005,L013,PUA/AF-4,芳纶,meta-aramid fabric,,meta-aramid,织物,,涂层处理,inherent flame-retardant polyurea coating; OP550-containing formulations,coating,25.9,%,reported coating loading,,,,是,是,主参照,TGA/LOI tables,,https://doi.org/10.3390/polym17111529,1,有数值,有数值,是
88,L013-S006,L013-M006,L013,PUA/AF-5,芳纶,meta-aramid fabric,,meta-aramid,织物,,涂层处理,inherent flame-retardant polyurea coating; OP550-containing formulations,coating,27.6,%,reported coating loading,,,,是,是,主参照,TGA/LOI tables,,https://doi.org/10.3390/polym17111529,1,有数值,有数值,是
89,L014-S001,L014-M001,L014,Nomex100,芳纶,100% Nomex,100% Nomex,,针织物,,本征阻燃/阻燃纤维体系,,,,,,,,,是,是,主参照,sample table/TGA/LOI sections,,https://doi.org/10.1016/j.heliyon.2023.e13127,1,仅曲线/待数字化,有数值,否
90,L014-S002,L014-M002,L014,FR-Polyester100,聚酯,100% flame-retardant polyester,100%,,针织物,,本征阻燃/阻燃纤维体系,,,,,,,,,是,是,主参照,sample table/TGA/LOI sections,,https://doi.org/10.1016/j.heliyon.2023.e13127,1,有数值,有数值,是
91,L014-S003,L014-M003,L014,Protex100,其他,100% Protex,100%,,针织物,,本征阻燃/阻燃纤维体系,,,,,,,,,是,是,主参照,sample table/TGA/LOI sections,,https://doi.org/10.1016/j.heliyon.2023.e13127,1,仅曲线/待数字化,有数值,否
92,L014-S004,L014-M004,L014,FR-Viscose rayon100,其他,100% FR-viscose rayon,100%,,针织物,,本征阻燃/阻燃纤维体系,,,,,,,,,是,是,主参照,sample table/TGA/LOI sections,,https://doi.org/10.1016/j.heliyon.2023.e13127,1,有数值,有数值,是
93,L014-S005,L014-M005,L014,Carbon100,其他,100% carbon fiber,100%,,针织物,,本征阻燃/阻燃纤维体系,,,,,,,,,是,是,主参照,sample table/TGA/LOI sections,,https://doi.org/10.1016/j.heliyon.2023.e13127,1,有数值,有数值,是
94,L014-S006,L014-M006,L014,FR-Polyester50/FR-Viscose50,其他,FR-polyester/FR-viscose,50/50,,针织物,,本征阻燃/阻燃纤维体系,,,,,,,,,是,是,主参照,sample table/TGA/LOI sections,,https://doi.org/10.1016/j.heliyon.2023.e13127,1,仅曲线/待数字化,有数值,否
95,L014-S007,L014-M007,L014,FR-Polyester50/Nomex50,其他,FR-polyester/Nomex,50/50,,针织物,,本征阻燃/阻燃纤维体系,,,,,,,,,是,是,主参照,sample table/TGA/LOI sections,,https://doi.org/10.1016/j.heliyon.2023.e13127,1,仅曲线/待数字化,有数值,否
96,L014-S008,L014-M008,L014,Nomex50/Protex50,芳纶混纺,Nomex/Protex,50/50,,针织物,,本征阻燃/阻燃纤维体系,,,,,,,,,是,是,主参照,sample table/TGA/LOI sections,,https://doi.org/10.1016/j.heliyon.2023.e13127,1,仅曲线/待数字化,有数值,否
97,L014-S009,L014-M009,L014,Protex50/Viscose50,其他,Protex/FR-viscose,50/50,,针织物,,本征阻燃/阻燃纤维体系,,,,,,,,,是,是,主参照,sample table/TGA/LOI sections,,https://doi.org/10.1016/j.heliyon.2023.e13127,1,仅曲线/待数字化,有数值,否
