<PARSED TEXT FOR SHEET: 1 / 1 TABS
TAB NAME: literature_loi.csv>index,endpoint_id,sample_id,study_id,测试名,标准及版本,LOI数值,原文表达,单位,不确定度,重复数,原文位置,数值来源,与TG配对状态,审计说明,来源链接,是否有数值LOI
78,LOI0079,L016-S002,L016,LOI,,23.6,23.6,%,,,LOI table,原文表格,与TG为同材料状态,,https://doi.org/10.3390/polym11121969,是
79,LOI0080,L016-S003,L016,LOI,,23.8,23.8,%,,,LOI table,原文表格,与TG为同材料状态,,https://doi.org/10.3390/polym11121969,是
80,LOI0081,L016-S004,L016,LOI,,24.5,24.5,%,,,LOI table,原文表格,与TG为同材料状态,,https://doi.org/10.3390/polym11121969,是
81,LOI0082,L017-S004,L017,LOI,,27.6,27.6,%,,,LOI section,出版社正文明确数值,与TG为同材料状态,,https://journals.sagepub.com/doi/10.1177/1528083716648761,是
82,LOI0083,L018-S001,L018,LOI,,18.8,18.8,%,,,LOI table,原文表格,与TG为同材料状态,,https://doi.org/10.1016/j.aiepr.2024.03.001,是
83,LOI0084,L018-S002,L018,LOI,,27.2,27.2,%,,,LOI table,原文表格,与TG为同材料状态,,https://doi.org/10.1016/j.aiepr.2024.03.001,是
84,LOI0085,L018-S003,L018,LOI,,30.1,30.1,%,,,LOI table,原文表格,与TG为同材料状态,,https://doi.org/10.1016/j.aiepr.2024.03.001,是
85,LOI0086,L019-S001,L019,LOI,,16.9,16.9,%,,,LOI table,原文表格,与TG为同材料状态,,https://doi.org/10.3390/ma15186420,是
86,LOI0087,L019-S002,L019,LOI,,27.1,27.1,%,,,LOI table,原文表格,与TG为同材料状态,,https://doi.org/10.3390/ma15186420,是
87,LOI0088,L019-S003,L019,LOI,,31.7,31.7,%,,,LOI table,原文表格,与TG为同材料状态,,https://doi.org/10.3390/ma15186420,是
88,LOI0089,L020-S002,L020,LOI,,18.5,18.5,%,,,Table 9,原文表格,与TG为同材料状态,,https://doi.org/10.3390/molecules27248737,是
89,LOI0090,L020-S011,L020,LOI,,27.4,27.4,%,,,Table 9,原文表格,与TG为同材料状态,,https://doi.org/10.3390/molecules27248737,是
90,LOI0091,L020-S012,L020,LOI,,27.7,27.7,%,,,Table 9,原文表格,与TG为同材料状态,,https://doi.org/10.3390/molecules27248737,是
91,LOI0092,L020-S013,L020,LOI,,27.7,27.7,%,,,Table 9,原文表格,与TG为同材料状态,,https://doi.org/10.3390/molecules27248737,是
92,LOI0093,L020-S014,L020,LOI,,19.5,19.5,%,,,Table 9,原文表格,与TG为同材料状态,,https://doi.org/10.3390/molecules27248737,是
93,LOI0094,L020-S015,L020,LOI,,19.5,19.5,%,,,Table 9,原文表格,与TG为同材料状态,,https://doi.org/10.3390/molecules27248737,是
94,LOI0095,L020-S016,L020,LOI,,19.5,19.5,%,,,Table 9,原文表格,与TG为同材料状态,,https://doi.org/10.3390/molecules27248737,是
95,LOI0096,L020-S001,L020,LOI,,19.5,19.5,%,,,Table 9,原文表格,与TG为同材料状态,,https://doi.org/10.3390/molecules27248737,是
96,LOI0097,L021-S001,L021,LOI,,18.3,18.3,%,,,LOI table,原文表格,与TG为同材料状态,,https://doi.org/10.3390/ma17030630,是
97,LOI0098,L021-S002,L021,LOI,,41.2,41.2,%,,,LOI table,原文表格,该状态无TG,,https://doi.org/10.3390/ma17030630,是
98,LOI0099,L021-S003,L021,LOI,,46.5,46.5,%,,,LOI table,原文表格,该状态无TG,,https://doi.org/10.3390/ma17030630,是
99,LOI0100,L021-S004,L021,LOI,,48.4,48.4,%,,,LOI table,原文表格,与TG为同材料状态,,https://doi.org/10.3390/ma17030630,是
100,LOI0101,L021-S005,L021,LOI,,29.7,29.7,%,,,LOI table,原文表格,该状态无TG,,https://doi.org/10.3390/ma17030630,是
101,LOI0102,L021-S007,L021,LOI,,44.6,44.6,%,,,LOI table,原文表格,该状态无TG,,https://doi.org/10.3390/ma17030630,是
102,LOI0103,L022-S004,L022,LOI,,18.0,18,%,,,LOI washing results,原文表格/正文,该洗涤状态无TG,,https://pmc.ncbi.nlm.nih.gov/articles/PMC9000066/,是
103,LOI0104,L022-S005,L022,LOI,,18.0,18,%,,,LOI washing results,原文表格/正文,该洗涤状态无TG,,https://pmc.ncbi.nlm.nih.gov/articles/PMC9000066/,是
104,LOI0105,L022-S006,L022,LOI,,18.0,18,%,,,LOI washing results,原文表格/正文,该洗涤状态无TG,,https://pmc.ncbi.nlm.nih.gov/articles/PMC9000066/,是
105,LOI0106,L022-S007,L022,LOI,,37.0,37,%,,,LOI washing results,原文表格/正文,该洗涤状态无TG,,https://pmc.ncbi.nlm.nih.gov/articles/PMC9000066/,是
106,LOI0107,L022-S008,L022,LOI,,35.0,35,%,,,LOI washing results,原文表格/正文,该洗涤状态无TG,,https://pmc.ncbi.nlm.nih.gov/articles/PMC9000066/,是
107,LOI0108,L022-S009,L022,LOI,,31.0,31,%,,,LOI washing results,原文表格/正文,该洗涤状态无TG,,https://pmc.ncbi.nlm.nih.gov/articles/PMC9000066/,是
108,LOI0109,L022-S010,L022,LOI,,27.0,27,%,,,LOI washing results,原文表格/正文,该洗涤状态无TG,,https://pmc.ncbi.nlm.nih.gov/articles/PMC9000066/,是
109,LOI0110,L022-S011,L022,LOI,,24.0,24,%,,,LOI washing results,原文表格/正文,该洗涤状态无TG,,https://pmc.ncbi.nlm.nih.gov/articles/PMC9000066/,是
110,LOI0111,L022-S012,L022,LOI,,21.0,21,%,,,LOI washing results,原文表格/正文,该洗涤状态无TG,,https://pmc.ncbi.nlm.nih.gov/articles/PMC9000066/,是
111,LOI0112,L023-S002,L023,LOI,,34.4,34.4,%,,,LOI results,原文明确数值,与TG为同材料状态,,https://doi.org/10.3390/molecules29225306,是
112,LOI0113,L023-S003,L023,LOI,,21.6,21.6,%,,,LOI results,原文明确数值,该洗涤状态无TG,,https://doi.org/10.3390/molecules29225306,是
113,LOI0114,L023-S004,L023,LOI,,29.7,29.7,%,,,LOI results,原文明确数值,该洗涤状态无TG,,https://doi.org/10.3390/molecules29225306,是
114,LOI0115,L024-S001,L024,LOI,,18.0,18.0,%,,,LOI table,原文表格,与TG为同材料状态,,https://doi.org/10.3390/polym16101409,是
115,LOI0116,L024-S002,L024,LOI,,23.5,23.5,%,,,LOI table,原文表格,与TG为同材料状态,,https://doi.org/10.3390/polym16101409,是
116,LOI0117,L024-S003,L024,LOI,,25.9,25.9,%,,,LOI table,原文表格,与TG为同材料状态,,https://doi.org/10.3390/polym16101409,是
117,LOI0118,L024-S004,L024,LOI,,29.7,29.7,%,,,LOI table,原文表格,与TG为同材料状态,,https://doi.org/10.3390/polym16101409,是
118,LOI0119,L027-S001,L027,LOI,,18.0,18.0,%,,,LOI results,原文表格/正文,与TG为同材料状态,,https://doi.org/10.3390/ma19020265,是
119,LOI0120,L027-S002,L027,LOI,,18.0,18.0,%,,,LOI results,原文表格/正文,与TG为同材料状态,,https://doi.org/10.3390/ma19020265,是
120,LOI0121,L027-S003,L027,LOI,,25.2,25.2,%,,,LOI results,原文表格/正文,与TG为同材料状态,,https://doi.org/10.3390/ma19020265,是
121,LOI0122,L027-S005,L027,LOI,,18.0,18.0,%,,,LOI results,原文表格/正文,与TG为同材料状态,,https://doi.org/10.3390/ma19020265,是
122,LOI0123,L027-S006,L027,LOI,,24.1,24.1,%,,,LOI results,原文表格/正文,与TG为同材料状态,,https://doi.org/10.3390/ma19020265,是
123,LOI0124,L027-S008,L027,LOI,,18.0,18.0,%,,,LOI results,原文表格/正文,与TG为同材料状态,,https://doi.org/10.3390/ma19020265,是
124,LOI0125,L027-S009,L027,LOI,,23.8,23.8,%,,,LOI results,原文表格/正文,与TG为同材料状态,,https://doi.org/10.3390/ma19020265,是
125,LOI0126,L028-S001,L028,LOI,,17.8,17.8,%,,,Table 1,原文表格,与TG为同材料状态,,https://doi.org/10.1177/24723444251314919,是
126,LOI0127,L028-S002,L028,LOI,,30.1,30.1,%,,,Table 1,原文表格,该状态无TG,,https://doi.org/10.1177/24723444251314919,是
127,LOI0128,L028-S003,L028,LOI,,37.8,37.8,%,,,Table 1,原文表格,该状态无TG,,https://doi.org/10.1177/24723444251314919,是
128,LOI0129,L028-S004,L028,LOI,,40.1,40.1,%,,,Table 1,原文表格,与TG为同材料状态,,https://doi.org/10.1177/24723444251314919,是
129,LOI0130,L028-S005,L028,LOI,,27.7,27.7,%,,,Table 1,原文表格,该状态无TG,洗涤后LOI正文另有轻微不同表述；首批采用Table 1数值,https://doi.org/10.1177/24723444251314919,是
130,LOI0131,L028-S006,L028,LOI,,28.2,28.2,%,,,Table 1,原文表格,该状态无TG,洗涤后LOI正文另有轻微不同表述；首批采用Table 1数值,https://doi.org/10.1177/24723444251314919,是
131,LOI0132,L029-S002,L029,LOI,,26.2,26.2,%,,,LOI results,原文明确数值,与TG为同材料状态,,https://doi.org/10.1039/D5RA00402K,是
132,LOI0133,L029-S003,L029,LOI,,29.5,29.5,%,,,LOI results,原文明确数值,与TG为同材料状态,,https://doi.org/10.1039/D5RA00402K,是
133,LOI0134,L029-S004,L029,LOI,,32.1,32.1,%,,,LOI results,原文明确数值,与TG为同材料状态,,https://doi.org/10.1039/D5RA00402K,是
134,LOI0135,L029-S005,L029,LOI,,37.5,37.5,%,,,LOI results,原文明确数值,与TG为同材料状态,,https://doi.org/10.1039/D5RA00402K,是
135,LOI0136,L029-S006,L029,LOI,,42.4,42.4,%,,,LOI results,原文明确数值,与TG为同材料状态,,https://doi.org/10.1039/D5RA00402K,是
136,LOI0137,L029-S007,L029,LOI,,42.6,42.6,%,,,LOI results,原文明确数值,与TG为同材料状态,,https://doi.org/10.1039/D5RA00402K,是
137,LOI0138,L029-S008,L029,LOI,,34.6,34.6,%,,,LOI results,原文明确数值,该洗涤状态无TG,,https://doi.org/10.1039/D5RA00402K,是
138,LOI0139,L029-S009,L029,LOI,,26.5,26.5,%,,,LOI results,原文明确数值,该洗涤状态无TG,,https://doi.org/10.1039/D5RA00402K,是
139,LOI0140,L030-S001,L030,LOI,,21.1,21.1,%,±0.4,,LOI table,原文表格,与TG为同材料状态,,https://doi.org/10.3390/polym18060682,是
140,LOI0141,L030-S004,L030,LOI,,32.2,32.2,%,±1.1,,LOI table,原文表格,与TG为同材料状态,,https://doi.org/10.3390/polym18060682,是
141,LOI0142,L030-S006,L030,LOI,,31.3,31.3,%,±0.2,,LOI table,原文表格,与TG为同材料状态,,https://doi.org/10.3390/polym18060682,是
142,LOI0143,L030-S009,L030,LOI,,31.7,31.7,%,±0.2,,LOI table,原文表格,与TG为同材料状态,,https://doi.org/10.3390/polym18060682,是
143,LOI0144,L030-S011,L030,LOI,,28.6,28.6,%,,,LOI table,原文表格,该洗涤状态无TG,,https://doi.org/10.3390/polym18060682,是
144,LOI0145,L030-S012,L030,LOI,,27.0,27.0,%,,,LOI table,原文表格,该洗涤状态无TG,,https://doi.org/10.3390/polym18060682,是
145,LOI0146,L030-S013,L030,LOI,,30.5,30.5,%,,,LOI table,原文表格,该洗涤状态无TG,,https://doi.org/10.3390/polym18060682,是
146,LOI0147,L031-S002,L031,LOI,,,~23,%,,,LOI discussion,正文约值,与TG为同材料体系,约值不写入value_numeric，避免伪精度,https://doi.org/10.1007/s10570-022-05033-3,否
147,LOI0148,L031-S003,L031,LOI,,,~28,%,,,LOI discussion,正文约值,与TG为同材料体系,约值不写入value_numeric，避免伪精度,https://doi.org/10.1007/s10570-022-05033-3,否
148,LOI0149,L032-S002,L032,LOI,,33.5,33.5,%,,,publisher Highlights,出版社明确数值,与TG为同材料未洗状态,,https://doi.org/10.1016/j.polymdegradstab.2025.111730,是
149,LOI0150,L032-S003,L032,LOI,,27.6,27.6,%,,,publisher Highlights,出版社明确数值,洗涤状态无TG,,https://doi.org/10.1016/j.polymdegradstab.2025.111730,是
150,LOI0151,L033-S002,L033,LOI,,34.1,34.1,%,,,publisher abstract/Highlights,出版社明确数值,同材料状态，TG条件细节待全文,,https://doi.org/10.1016/j.polymdegradstab.2025.111812,是
151,LOI0152,L034-S001,L034,LOI,,20.0,20.0,%,,,ACS abstract,出版社摘要明确数值,与TG为同材料状态,,https://doi.org/10.1021/acsapm.2c01257,是
152,LOI0153,L034-S002,L034,LOI,,23.0,23.0,%,,,ACS abstract,出版社摘要明确数值,与TG为同材料状态,,https://doi.org/10.1021/acsapm.2c01257,是
153,LOI0154,L034-S003,L034,LOI,,27.5,27.5,%,,,ACS abstract,出版社摘要明确数值,与TG为同材料状态,,https://doi.org/10.1021/acsapm.2c01257,是
154,LOI0155,L035-S001,L035,LOI,,18.5,18.5,%,,,publisher abstract,出版社明确数值,与TG为同材料状态,,https://doi.org/10.1016/j.porgcoat.2022.107018,是
155,LOI0156,L035-S002,L035,LOI,,36.7,36.7,%,,,publisher abstract,出版社明确数值,与TG为同材料状态,,https://doi.org/10.1016/j.porgcoat.2022.107018,是
156,LOI0157,L035-S003,L035,LOI,,29.2,29.2,%,,,publisher abstract,出版社明确数值,洗涤状态无TG,,https://doi.org/10.1016/j.porgcoat.2022.107018,是
157,LOI0158,L036-S001,L036,LOI,,19.3,19.3,%,,,abstract/conclusion,出版社明确数值,与TG为同材料状态,,https://doi.org/10.1016/j.porgcoat.2023.107884,是
158,LOI0159,L036-S002,L036,LOI,,27.2,27.2,%,,,abstract/conclusion,出版社明确数值,与TG为同材料状态,,https://doi.org/10.1016/j.porgcoat.2023.107884,是
