<PARSED TEXT FOR SHEET: 1 / 1 TABS
TAB NAME: candidate_pool.csv>index,candidate_id,优先级,基材类别,题名,年份,期刊,DOI,来源/下载链接,访问状态,TG证据,LOI证据,预计可贡献状态_低,预计可贡献状态_高,容量估计依据,候选说明,是否需用户下载全文,下载后动作
10,C011,A,棉,"A starch-based, durable phosphorous-containing flame retardant for cotton",2025,International Journal of Biological Macromolecules,10.1016/j.ijbiomac.2025.145140,https://doi.org/10.1016/j.ijbiomac.2025.145140,出版社页已找到；全文权限待下载,TGA待PDF确认,LOI已确认,5,12,按论文中对照/处理配方/浓度或洗涤状态估计；最终以PDF逐样品核验为准,,是,优先下载PDF及SI，逐样品建立sample_id并核对TG/LOI同状态
11,C012,A,棉,B/N/P synergistic system for multifunctional flame-retardant cotton fabrics with thermal stability and fine physical properties,2025,International Journal of Biological Macromolecules,10.1016/j.ijbiomac.2025.146560,https://doi.org/10.1016/j.ijbiomac.2025.146560,出版社页已找到；全文权限待下载,TG/DTG已确认,LOI已确认,5,12,按论文中对照/处理配方/浓度或洗涤状态估计；最终以PDF逐样品核验为准,,是,优先下载PDF及SI，逐样品建立sample_id并核对TG/LOI同状态
12,C013,A,棉,A synthetic bis-triazine ring derivative based on ammonium phosphonate towards durable flame-retardant modification of cotton fabrics,2025,Polymer Degradation and Stability,10.1016/j.polymdegradstab.2024.111083,https://doi.org/10.1016/j.polymdegradstab.2024.111083,出版社页已找到；全文权限待下载,TG已确认,LOI已确认,5,12,按论文中对照/处理配方/浓度或洗涤状态估计；最终以PDF逐样品核验为准,,是,优先下载PDF及SI，逐样品建立sample_id并核对TG/LOI同状态
13,C014,A,棉,Innovative development of green nitrogen-phosphorus-based flame retardant for enhancing fire safety of cotton fabrics,2025,Polymer Degradation and Stability,10.1016/j.polymdegradstab.2024.111089,https://doi.org/10.1016/j.polymdegradstab.2024.111089,出版社页已找到；全文权限待下载,TG已确认,LOI已确认,5,12,按论文中对照/处理配方/浓度或洗涤状态估计；最终以PDF逐样品核验为准,,是,优先下载PDF及SI，逐样品建立sample_id并核对TG/LOI同状态
14,C015,A,棉,"Naringenin-engineered durable cotton fabric with integrated flame retardancy, antibacterial, and UV-photothermal performance",2025,Polymer Degradation and Stability,10.1016/j.polymdegradstab.2025.111584,https://doi.org/10.1016/j.polymdegradstab.2025.111584,出版社页已找到；全文权限待下载,TG已确认,LOI已确认,5,12,按论文中对照/处理配方/浓度或洗涤状态估计；最终以PDF逐样品核验为准,,是,优先下载PDF及SI，逐样品建立sample_id并核对TG/LOI同状态
15,C016,A,棉,Preparing durable flame retardant and formaldehyde free cotton fabrics with crosslinked flame retardant system,2025,Polymer Degradation and Stability,10.1016/j.polymdegradstab.2025.111382,https://doi.org/10.1016/j.polymdegradstab.2025.111382,出版社页已找到；全文权限待下载,TG已确认,LOI已确认,5,12,按论文中对照/处理配方/浓度或洗涤状态估计；最终以PDF逐样品核验为准,,是,优先下载PDF及SI，逐样品建立sample_id并核对TG/LOI同状态
16,C017,A,棉,Fabric coating with ultra-high expansion up to 100 times: An intumescent flame-retardant with exceptional washability,2025,Progress in Organic Coatings,10.1016/j.porgcoat.2024.108955,https://doi.org/10.1016/j.porgcoat.2024.108955,出版社页已找到；全文权限待下载,TG已确认,LOI已确认,5,12,按论文中对照/处理配方/浓度或洗涤状态估计；最终以PDF逐样品核验为准,,是,优先下载PDF及SI，逐样品建立sample_id并核对TG/LOI同状态
17,C018,A,棉,Construction and application of B/P/N durable flame retardant crosslinking system on cotton fabric,2024,Industrial Crops and Products,10.1016/j.indcrop.2024.119623,https://doi.org/10.1016/j.indcrop.2024.119623,出版社页已找到；全文权限待下载,TG/DTG已确认,LOI已确认,5,12,按论文中对照/处理配方/浓度或洗涤状态估计；最终以PDF逐样品核验为准,,是,优先下载PDF及SI，逐样品建立sample_id并核对TG/LOI同状态
18,C019,A,棉,A bio-based durable reactive flame retardant for cotton fabric based on lentinan,2024,International Journal of Biological Macromolecules,10.1016/j.ijbiomac.2024.133222,https://doi.org/10.1016/j.ijbiomac.2024.133222,出版社页已找到；全文权限待下载,TG已确认,LOI已确认,5,12,按论文中对照/处理配方/浓度或洗涤状态估计；最终以PDF逐样品核验为准,,是,优先下载PDF及SI，逐样品建立sample_id并核对TG/LOI同状态
19,C020,A,棉,"A cationic, durable, P/N-containing starch-based flame retardant for cotton fabrics",2024,International Journal of Biological Macromolecules,10.1016/j.ijbiomac.2024.129543,https://doi.org/10.1016/j.ijbiomac.2024.129543,出版社页已找到；全文权限待下载,TG已确认,LOI已确认,5,12,按论文中对照/处理配方/浓度或洗涤状态估计；最终以PDF逐样品核验为准,,是,优先下载PDF及SI，逐样品建立sample_id并核对TG/LOI同状态
20,C021,A,棉,A high-efficiency and durable flame retardant for cotton fabrics: Ammonium ethyl acryloylphosphoramidate,2024,International Journal of Biological Macromolecules,10.1016/j.ijbiomac.2024.134915,https://doi.org/10.1016/j.ijbiomac.2024.134915,出版社页已找到；全文权限待下载,TG已确认,LOI已确认,5,12,按论文中对照/处理配方/浓度或洗涤状态估计；最终以PDF逐样品核验为准,,是,优先下载PDF及SI，逐样品建立sample_id并核对TG/LOI同状态
21,C022,A,棉,"B/P/N flame retardant based on diboraspiro rings groups for improving the flame retardancy, char formation properties and thermal stability of cotton fabrics",2024,International Journal of Biological Macromolecules,10.1016/j.ijbiomac.2024.132330,https://doi.org/10.1016/j.ijbiomac.2024.132330,出版社页已找到；全文权限待下载,TG已确认,LOI已确认,5,12,按论文中对照/处理配方/浓度或洗涤状态估计；最终以PDF逐样品核验为准,,是,优先下载PDF及SI，逐样品建立sample_id并核对TG/LOI同状态
22,C023,A,棉,Construction of efficient and environmentally friendly bio-based flame retardant cotton fabric through layer by layer self-assembly of alkylammonium functional silsesquioxane/phosphorylated sodium alginate,2024,International Journal of Biological Macromolecules,10.1016/j.ijbiomac.2024.132345,https://doi.org/10.1016/j.ijbiomac.2024.132345,出版社页已找到；全文权限待下载,TG已确认,LOI已确认,5,12,按论文中对照/处理配方/浓度或洗涤状态估计；最终以PDF逐样品核验为准,,是,优先下载PDF及SI，逐样品建立sample_id并核对TG/LOI同状态
23,C024,A,棉,"Eco-friendly, efficient and durable flame retardant coating for cotton fabrics using phytic acid/silane hybrid sol",2024,Materials Chemistry and Physics,10.1016/j.matchemphys.2023.128568,https://doi.org/10.1016/j.matchemphys.2023.128568,出版社页已找到；全文权限待下载,TG/DTG已确认,LOI已确认,5,12,按论文中对照/处理配方/浓度或洗涤状态估计；最终以PDF逐样品核验为准,,是,优先下载PDF及SI，逐样品建立sample_id并核对TG/LOI同状态
24,C025,A,棉,"Efficient, durable, and breathable flame retardant cotton fabric via a feasible surface finishing",2023,Applied Surface Science,10.1016/j.apsusc.2022.156314,https://doi.org/10.1016/j.apsusc.2022.156314,出版社页已找到；全文权限待下载,TG/DTG已确认,LOI已确认,5,12,按论文中对照/处理配方/浓度或洗涤状态估计；最终以PDF逐样品核验为准,,是,优先下载PDF及SI，逐样品建立sample_id并核对TG/LOI同状态
25,C026,A,棉,A durable flame retardant with N−P=O(O−NH4+)2 based on amino acid for cotton fabrics,2023,Industrial Crops and Products,10.1016/j.indcrop.2023.117327,https://doi.org/10.1016/j.indcrop.2023.117327,出版社页已找到；全文权限待下载,TG已确认,LOI已确认,5,12,按论文中对照/处理配方/浓度或洗涤状态估计；最终以PDF逐样品核验为准,,是,优先下载PDF及SI，逐样品建立sample_id并核对TG/LOI同状态
26,C027,A,棉,A novel durable flame retardant rich in phosphate ester groups for cotton fabrics,2023,Materials Today Chemistry,10.1016/j.mtchem.2023.101701,https://doi.org/10.1016/j.mtchem.2023.101701,出版社页已找到；全文权限待下载,TG已确认,LOI已确认,5,12,按论文中对照/处理配方/浓度或洗涤状态估计；最终以PDF逐样品核验为准,,是,优先下载PDF及SI，逐样品建立sample_id并核对TG/LOI同状态
27,C028,A,棉,A high durable polysaccharide flame retardant based on phosphorus element for cotton fabrics,2023,Polymer Degradation and Stability,10.1016/j.polymdegradstab.2023.110313,https://doi.org/10.1016/j.polymdegradstab.2023.110313,出版社页已找到；全文权限待下载,TG已确认,LOI已确认,5,12,按论文中对照/处理配方/浓度或洗涤状态估计；最终以PDF逐样品核验为准,,是,优先下载PDF及SI，逐样品建立sample_id并核对TG/LOI同状态
28,C029,A,棉,"Flame-retardant and antibacterial properties of cotton fabrics treated by epichlorohydrin-modified aramid nanofibers, ionic liquid, and Cu ion",2023,Polymer Degradation and Stability,10.1016/j.polymdegradstab.2023.110347,https://doi.org/10.1016/j.polymdegradstab.2023.110347,出版社页已找到；全文权限待下载,TG已确认,LOI/燃烧已确认,5,12,按论文中对照/处理配方/浓度或洗涤状态估计；最终以PDF逐样品核验为准,,是,优先下载PDF及SI，逐样品建立sample_id并核对TG/LOI同状态
29,C030,A,棉,A bio-based macromolecular phosphorus-containing active cotton flame retardant synthesized from starch,2022,Carbohydrate Polymers,10.1016/j.carbpol.2022.120076,https://doi.org/10.1016/j.carbpol.2022.120076,出版社页已找到；全文权限待下载,TG已确认,LOI已确认,5,12,按论文中对照/处理配方/浓度或洗涤状态估计；最终以PDF逐样品核验为准,,是,优先下载PDF及SI，逐样品建立sample_id并核对TG/LOI同状态
30,C031,A,棉,Efficient and durable cotton fabric surface modification via flame retardant treatment,2022,Colloids and Surfaces A: Physicochemical and Engineering Aspects,10.1016/j.colsurfa.2022.129005,https://doi.org/10.1016/j.colsurfa.2022.129005,出版社页已找到；全文权限待下载,TG/DTG已确认,LOI已确认,5,12,按论文中对照/处理配方/浓度或洗涤状态估计；最终以PDF逐样品核验为准,,是,优先下载PDF及SI，逐样品建立sample_id并核对TG/LOI同状态
31,C032,A,棉,A novel polymer reactive flame retardant for the preparation of highly durable cotton fabrics,2022,International Journal of Biological Macromolecules,10.1016/j.ijbiomac.2022.11.033,https://doi.org/10.1016/j.ijbiomac.2022.11.033,出版社页已找到；全文权限待下载,TG已确认,LOI已确认,5,12,按论文中对照/处理配方/浓度或洗涤状态估计；最终以PDF逐样品核验为准,,是,优先下载PDF及SI，逐样品建立sample_id并核对TG/LOI同状态
32,C033,A,棉,Highly effective and durable P-N synergistic flame retardant containing ammonium phosphate and phosphonate for cotton fabrics,2022,Polymer Degradation and Stability,10.1016/j.polymdegradstab.2022.109964,https://doi.org/10.1016/j.polymdegradstab.2022.109964,出版社页已找到；全文权限待下载,TG已确认,LOI已确认,5,12,按论文中对照/处理配方/浓度或洗涤状态估计；最终以PDF逐样品核验为准,,是,优先下载PDF及SI，逐样品建立sample_id并核对TG/LOI同状态
33,C034,A,棉,High-Efficiency Flame Retardants of a P–N-Rich Polyphosphazene Elastomer Nanocoating on Cotton Fabric,2021,ACS Applied Materials & Interfaces,10.1021/acsami.1c05884,https://doi.org/10.1021/acsami.1c05884,出版社页已找到；全文权限待下载,TG已确认,LOI已确认,5,12,按论文中对照/处理配方/浓度或洗涤状态估计；最终以PDF逐样品核验为准,,是,优先下载PDF及SI，逐样品建立sample_id并核对TG/LOI同状态
34,C035,A,棉,An eco-friendly N–P flame retardant for durable flame-retardant treatment of cotton fabric,2021,International Journal of Biological Macromolecules,10.1016/j.ijbiomac.2021.07.130,https://doi.org/10.1016/j.ijbiomac.2021.07.130,出版社页已找到；全文权限待下载,TG已确认,LOI已确认,5,12,按论文中对照/处理配方/浓度或洗涤状态估计；最终以PDF逐样品核验为准,,是,优先下载PDF及SI，逐样品建立sample_id并核对TG/LOI同状态
35,C036,A,棉,Durable flame-retardant behavior of cotton textile with a water-based ammonium vinyl phosphonate,2021,Polymer Degradation and Stability,10.1016/j.polymdegradstab.2021.109658,https://doi.org/10.1016/j.polymdegradstab.2021.109658,出版社页已找到；全文权限待下载,TG已确认,LOI已确认,5,12,按论文中对照/处理配方/浓度或洗涤状态估计；最终以PDF逐样品核验为准,,是,优先下载PDF及SI，逐样品建立sample_id并核对TG/LOI同状态
36,C037,A,棉,Preparation of a flame-retardant coating based on solvent-free synthesis with high efficiency and durability on cotton fabric,2020,Carbohydrate Polymers,10.1016/j.carbpol.2019.115648,https://doi.org/10.1016/j.carbpol.2019.115648,出版社页已找到；全文权限待下载,TG已确认,LOI已确认,5,12,按论文中对照/处理配方/浓度或洗涤状态估计；最终以PDF逐样品核验为准,,是,优先下载PDF及SI，逐样品建立sample_id并核对TG/LOI同状态
37,C038,A,棉,Novel High-Efficiency Casein-Based P–N-Containing Flame Retardants with Multiple Reactive Groups for Cotton Fabrics,2019,ACS Sustainable Chemistry & Engineering,10.1021/acssuschemeng.9b02474,https://doi.org/10.1021/acssuschemeng.9b02474,出版社页已找到；全文权限待下载,TG已确认,LOI已确认,5,12,按论文中对照/处理配方/浓度或洗涤状态估计；最终以PDF逐样品核验为准,,是,优先下载PDF及SI，逐样品建立sample_id并核对TG/LOI同状态
38,C039,A,棉,Eco-friendly flame retardant and electromagnetic interference shielding cotton fabrics with multi-layered coatings,2019,Chemical Engineering Journal,10.1016/j.cej.2019.05.012,https://doi.org/10.1016/j.cej.2019.05.012,出版社页已找到；全文权限待下载,TG已确认,LOI/燃烧已确认,5,12,按论文中对照/处理配方/浓度或洗涤状态估计；最终以PDF逐样品核验为准,,是,优先下载PDF及SI，逐样品建立sample_id并核对TG/LOI同状态
39,C040,A,棉,"Eco-friendly flame retardant coating deposited on cotton fabrics from bio-based chitosan, phytic acid and divalent metal ions",2019,International Journal of Biological Macromolecules,10.1016/j.ijbiomac.2019.08.049,https://doi.org/10.1016/j.ijbiomac.2019.08.049,出版社页已找到；全文权限待下载,TG已确认,LOI/燃烧已确认,5,12,按论文中对照/处理配方/浓度或洗涤状态估计；最终以PDF逐样品核验为准,,是,优先下载PDF及SI，逐样品建立sample_id并核对TG/LOI同状态
40,C041,A,棉,Fabrication of conductive and flame-retardant bifunctional cotton fabric by polymerizing pyrrole and doping phytic acid,2019,Polymer Degradation and Stability,10.1016/j.polymdegradstab.2019.06.029,https://doi.org/10.1016/j.polymdegradstab.2019.06.029,出版社页已找到；全文权限待下载,TG已确认,LOI已确认,5,12,按论文中对照/处理配方/浓度或洗涤状态估计；最终以PDF逐样品核验为准,,是,优先下载PDF及SI，逐样品建立sample_id并核对TG/LOI同状态
41,C042,A,棉,Synthesis of a new N–P durable flame retardant for cotton fabrics,2019,Polymer Degradation and Stability,10.1016/j.polymdegradstab.2019.04.024,https://doi.org/10.1016/j.polymdegradstab.2019.04.024,出版社页已找到；全文权限待下载,TG已确认,LOI已确认,5,12,按论文中对照/处理配方/浓度或洗涤状态估计；最终以PDF逐样品核验为准,,是,优先下载PDF及SI，逐样品建立sample_id并核对TG/LOI同状态
42,C043,A,棉,Disulfide-containing polyamidoamines with remarkable flame retardant activity for cotton fabrics,2018,Polymer Degradation and Stability,10.1016/j.polymdegradstab.2018.07.028,https://doi.org/10.1016/j.polymdegradstab.2018.07.028,出版社页已找到；全文权限待下载,TG已确认,LOI/燃烧待PDF确认,5,12,按论文中对照/处理配方/浓度或洗涤状态估计；最终以PDF逐样品核验为准,,是,优先下载PDF及SI，逐样品建立sample_id并核对TG/LOI同状态
43,C044,A,棉,Linear polyamidoamines as novel biocompatible phosphorus-free surface-confined intumescent flame retardants for cotton fabrics,2018,Polymer Degradation and Stability,10.1016/j.polymdegradstab.2018.02.020,https://doi.org/10.1016/j.polymdegradstab.2018.02.020,出版社页已找到；全文权限待下载,TG已确认,LOI/燃烧待PDF确认,5,12,按论文中对照/处理配方/浓度或洗涤状态估计；最终以PDF逐样品核验为准,,是,优先下载PDF及SI，逐样品建立sample_id并核对TG/LOI同状态
44,C045,A,棉,Flame retardancy and durability of cotton fabric modified with high-efficiency diboraspiro rings groups flame retardant,2025,International Journal of Biological Macromolecules,10.1016/j.ijbiomac.2025.140365,https://doi.org/10.1016/j.ijbiomac.2025.140365,出版社页已找到；全文权限待下载,TG待PDF确认,LOI已确认,5,11,按论文中对照/处理配方/浓度或洗涤状态估计；最终以PDF逐样品核验为准,,是,优先下载PDF及SI，逐样品建立sample_id并核对TG/LOI同状态
45,C046,A,棉,Schiff base approach to introduce chitosan-phytic acid complex for flame-retardant cotton fabrics,2024,European Polymer Journal,10.1016/j.eurpolymj.2024.113525,https://doi.org/10.1016/j.eurpolymj.2024.113525,开放获取/出版社页,TG已确认,LOI已确认,5,11,按论文中对照/处理配方/浓度或洗涤状态估计；最终以PDF逐样品核验为准,,是,优先下载PDF及SI，逐样品建立sample_id并核对TG/LOI同状态
46,C047,A,棉,"Preparations, characterizations, thermal and flame retardant properties of cotton fabrics finished by boron-silica sol-gel coatings",2022,Polymer Degradation and Stability,10.1016/j.polymdegradstab.2022.110011,https://doi.org/10.1016/j.polymdegradstab.2022.110011,出版社页已找到；全文权限待下载,TG已确认,LOI已确认,5,11,按论文中对照/处理配方/浓度或洗涤状态估计；最终以PDF逐样品核验为准,,是,优先下载PDF及SI，逐样品建立sample_id并核对TG/LOI同状态
47,C048,A,棉,Carbon nanotube-filled intumescent multilayer nanocoating on cotton fabric for enhancing flame retardant property,2016,Surface and Coatings Technology,10.1016/j.surfcoat.2016.08.035,https://doi.org/10.1016/j.surfcoat.2016.08.035,出版社页已找到；全文权限待下载,TG已确认,LOI/燃烧已确认,5,11,按论文中对照/处理配方/浓度或洗涤状态估计；最终以PDF逐样品核验为准,,是,优先下载PDF及SI，逐样品建立sample_id并核对TG/LOI同状态
48,C049,A,棉,Interface-Engineered Dual-Layer Coatings for Flame-Retardant and Superhydrophobic Cotton Textiles,2026,ACS Applied Engineering Materials,10.1021/acsaenm.6c00378,https://doi.org/10.1021/acsaenm.6c00378,出版社页已找到；全文权限待下载,TGA已确认,LOI未在摘要确认；燃烧筛查已确认,4,10,按论文中对照/处理配方/浓度或洗涤状态估计；最终以PDF逐样品核验为准,,是,优先下载PDF及SI，逐样品建立sample_id并核对TG/LOI同状态
49,C050,A,棉,Construction of Hybrid Coatings Enabling Flame Retardancy and Ultraviolet Protection in Cotton Textiles,2026,ACS Applied Polymer Materials,10.1021/acsapm.6c01025,https://doi.org/10.1021/acsapm.6c01025,出版社页已找到；全文权限待下载,TGA待PDF确认,LOI/燃烧性能待PDF确认,4,10,按论文中对照/处理配方/浓度或洗涤状态估计；最终以PDF逐样品核验为准,,是,优先下载PDF及SI，逐样品建立sample_id并核对TG/LOI同状态
50,C051,A,棉,Design and mechanistic elucidation of a boron/phosphorus/nitrogen-containing polymeric flame retardant for cotton fabrics,2026,Polymer,10.1016/j.polymer.2026.130209,https://doi.org/10.1016/j.polymer.2026.130209,出版社页已找到；全文/补充材料待下载核验,热降解/TGA已明确；700°C残余量,LOI已明确,4,10,根据出版社摘要/Highlights/SI中明确出现的对照、处理系列、添加量、层数或洗涤状态保守估计；最终以PDF逐样品核验为准,,是,优先下载PDF及SI，逐样品建立sample_id并核对TG/LOI同状态
51,C052,A,棉,"Developing flame-retardant, antibacterial cotton fabric by incorporating a linear polysiloxane-based coating",2023,Industrial Crops and Products,10.1016/j.indcrop.2022.115934,https://doi.org/10.1016/j.indcrop.2022.115934,出版社页已找到；全文权限待下载,TG已确认,LOI已确认,4,10,按论文中对照/处理配方/浓度或洗涤状态估计；最终以PDF逐样品核验为准,,是,优先下载PDF及SI，逐样品建立sample_id并核对TG/LOI同状态
52,C053,A,棉,Phosphorous containing poly(amidoamine-organosilicon) (P@PAMAMOSi) flame retardants: Synthesis and sol-gel application on cotton fabrics,2023,Progress in Organic Coatings,,,出版社页已找到；全文权限待下载,TG已确认,LOI已确认,5,10,按论文中对照/处理配方/浓度或洗涤状态估计；最终以PDF逐样品核验为准,DOI待补；出版社页已找到,是,优先下载PDF及SI，逐样品建立sample_id并核对TG/LOI同状态
53,C054,A,棉,"Bio-based coating of phytic acid, chitosan, and biochar for flame-retardant cotton fabrics",2022,Polymer Degradation and Stability,10.1016/j.polymdegradstab.2022.109898,https://doi.org/10.1016/j.polymdegradstab.2022.109898,出版社页已找到；全文权限待下载,TG已确认,LOI/燃烧已确认,5,10,按论文中对照/处理配方/浓度或洗涤状态估计；最终以PDF逐样品核验为准,,是,优先下载PDF及SI，逐样品建立sample_id并核对TG/LOI同状态
54,C055,A,棉,Construction phosphorus/nitrogen-containing flame-retardant and hydrophobic coating toward cotton fabric via layer-by-layer assembly,2022,Polymer Degradation and Stability,10.1016/j.polymdegradstab.2022.109839,https://doi.org/10.1016/j.polymdegradstab.2022.109839,出版社页已找到；全文权限待下载,TG已确认,LOI/燃烧已确认,4,10,按论文中对照/处理配方/浓度或洗涤状态估计；最终以PDF逐样品核验为准,,是,优先下载PDF及SI，逐样品建立sample_id并核对TG/LOI同状态
55,C056,A,棉,LBL generated fire retardant nanocomposites on cotton fabric using cationized starch-clay-nanoparticles matrix,2021,Carbohydrate Polymers,10.1016/j.carbpol.2021.118626,https://doi.org/10.1016/j.carbpol.2021.118626,出版社页已找到；全文权限待下载,TG已确认,LOI已确认,5,10,按论文中对照/处理配方/浓度或洗涤状态估计；最终以PDF逐样品核验为准,,是,优先下载PDF及SI，逐样品建立sample_id并核对TG/LOI同状态
56,C057,A,棉,"Properties of flame-retardant cotton fabrics: Combustion behavior, thermal stability and mechanism of Si/P/N synergistic effect",2021,Industrial Crops and Products,10.1016/j.indcrop.2021.114157,https://doi.org/10.1016/j.indcrop.2021.114157,出版社页已找到；全文权限待下载,TG/DTG已确认,LOI已确认,4,10,按论文中对照/处理配方/浓度或洗涤状态估计；最终以PDF逐样品核验为准,,是,优先下载PDF及SI，逐样品建立sample_id并核对TG/LOI同状态
57,C058,A,棉,A facile and effective flame-retardant coating for cotton fabric with α-aminodiphosphonate siloxane,2020,Polymer Degradation and Stability,10.1016/j.polymdegradstab.2020.109312,https://doi.org/10.1016/j.polymdegradstab.2020.109312,出版社页已找到；全文权限待下载,TG已确认,LOI已确认,4,10,按论文中对照/处理配方/浓度或洗涤状态估计；最终以PDF逐样品核验为准,,是,优先下载PDF及SI，逐样品建立sample_id并核对TG/LOI同状态
58,C059,A,棉,Flame retardancy and thermal behavior of cotton fabrics based on a novel phosphorus-containing siloxane,2019,Applied Surface Science,10.1016/j.apsusc.2019.02.159,https://doi.org/10.1016/j.apsusc.2019.02.159,出版社页已找到；全文权限待下载,TG/DTG已确认,LOI已确认,4,10,按论文中对照/处理配方/浓度或洗涤状态估计；最终以PDF逐样品核验为准,,是,优先下载PDF及SI，逐样品建立sample_id并核对TG/LOI同状态
