<PARSED TEXT FOR SHEET: 1 / 1 TABS
TAB NAME: scatter_ready.csv>index,record_id,dataset_type,sample_id,study_id,evidence_level,brand_or_system,material_category,material_form,composition,sample_state,treatment_state,treatment_chemistry,treatment_method,add_on,add_on_unit,atmosphere,gas_flow_mL_min,heating_rate_C_min,T5_C,T10_C,T20_C,Tonset_C,Tmax1_C,Tmax2_C,Tmax3_C,max_mass_loss_rate,rate_unit,R400_pct,R500_pct,R600_pct,R650_pct,R700_pct,R800_pct,residue_temp_C,residue_pct,LOI_pct,numeric_TG,numeric_LOI,direct_numeric_use,source_title,year,journal_or_source_type,DOI,source_url,source_location,limitations
10,TG0011,literature,L002-S004,L002,,,棉,织物,100% cotton,COT-30,阻燃处理,novel flame-retardant formulation,,,,O2/air,,10,,,,285.0,,,,,,,,14.1,,,,,,,是,否,否,Preparation of a Novel Flame Retardant Formulation for Cotton Fabric,2020.0,Materials,10.3390/ma13010054,https://pmc.ncbi.nlm.nih.gov/articles/PMC6981709/,TGA table,
11,TG0012,literature,L002-S005,L002,,,棉,织物,100% cotton,COT-A,阻燃处理,novel flame-retardant formulation,,,,N2,,10,,,,326.0,,,,,,,,8.0,,,,,,,是,否,否,Preparation of a Novel Flame Retardant Formulation for Cotton Fabric,2020.0,Materials,10.3390/ma13010054,https://pmc.ncbi.nlm.nih.gov/articles/PMC6981709/,TGA table,
12,TG0013,literature,L002-S005,L002,,,棉,织物,100% cotton,COT-A,阻燃处理,novel flame-retardant formulation,,,,O2/air,,10,,,,310.0,,,,,,,,0.1,,,,,,,是,否,否,Preparation of a Novel Flame Retardant Formulation for Cotton Fabric,2020.0,Materials,10.3390/ma13010054,https://pmc.ncbi.nlm.nih.gov/articles/PMC6981709/,TGA table,
13,TG0014,literature,L003-S001,L003,,,棉,织物,100% cotton,Control,未处理,,,,,N2,,,,,,331.05,,,,,,,,12.75,,,,,,20.9,是,是,是,Microwave Assisted Preparation of Flame Resistant Cotton Using Economic Inorganic Materials,2018.0,Fibers,10.3390/fib6040085,https://www.mdpi.com/2079-6439/6/4/85,TGA table,
14,TG0015,literature,L003-S002,L003,,,棉,织物,100% cotton,U1,阻燃处理,urea,microwave-assisted treatment,,,N2,,,,,,,,,,,,,,7.24,,,,,,21.5,是,是,是,Microwave Assisted Preparation of Flame Resistant Cotton Using Economic Inorganic Materials,2018.0,Fibers,10.3390/fib6040085,https://www.mdpi.com/2079-6439/6/4/85,TGA table,
15,TG0016,literature,L003-S003,L003,,,棉,织物,100% cotton,U2,阻燃处理,urea,microwave-assisted treatment,,,N2,,,,,,,,,,,,,,11.18,,,,,,21.5,是,是,是,Microwave Assisted Preparation of Flame Resistant Cotton Using Economic Inorganic Materials,2018.0,Fibers,10.3390/fib6040085,https://www.mdpi.com/2079-6439/6/4/85,TGA table,
16,TG0017,literature,L003-S004,L003,,,棉,织物,100% cotton,U3,阻燃处理,urea,microwave-assisted treatment,,,N2,,,,,,,,,,,,,,11.91,,,,,,22.0,是,是,是,Microwave Assisted Preparation of Flame Resistant Cotton Using Economic Inorganic Materials,2018.0,Fibers,10.3390/fib6040085,https://www.mdpi.com/2079-6439/6/4/85,TGA table,
17,TG0018,literature,L003-S005,L003,,,棉,织物,100% cotton,U4,阻燃处理,urea,microwave-assisted treatment,,,N2,,,,,,,,,,,,,,12.37,,,,,,21.0,是,是,是,Microwave Assisted Preparation of Flame Resistant Cotton Using Economic Inorganic Materials,2018.0,Fibers,10.3390/fib6040085,https://www.mdpi.com/2079-6439/6/4/85,TGA table,
18,TG0019,literature,L003-S006,L003,,,棉,织物,100% cotton,UD1,阻燃处理,urea + diammonium phosphate,microwave-assisted treatment,,,N2,,,,,,264.17,,,,,,,,31.68,,,,,,29.0,是,是,是,Microwave Assisted Preparation of Flame Resistant Cotton Using Economic Inorganic Materials,2018.0,Fibers,10.3390/fib6040085,https://www.mdpi.com/2079-6439/6/4/85,TGA table,
19,TG0020,literature,L003-S007,L003,,,棉,织物,100% cotton,UD2,阻燃处理,urea + diammonium phosphate,microwave-assisted treatment,,,N2,,,,,,253.66,,,,,,,,36.13,,,,,,31.0,是,是,是,Microwave Assisted Preparation of Flame Resistant Cotton Using Economic Inorganic Materials,2018.0,Fibers,10.3390/fib6040085,https://www.mdpi.com/2079-6439/6/4/85,TGA table,
20,TG0021,literature,L003-S008,L003,,,棉,织物,100% cotton,UD3,阻燃处理,urea + diammonium phosphate,microwave-assisted treatment,,,N2,,,,,,256.48,,,,,,,,36.05,,,,,,30.0,是,是,是,Microwave Assisted Preparation of Flame Resistant Cotton Using Economic Inorganic Materials,2018.0,Fibers,10.3390/fib6040085,https://www.mdpi.com/2079-6439/6/4/85,TGA table,
21,TG0022,literature,L003-S009,L003,,,棉,织物,100% cotton,UD4,阻燃处理,urea + diammonium phosphate,microwave-assisted treatment,,,N2,,,,,,252.14,,,,,,,,33.52,,,,,,30.5,是,是,是,Microwave Assisted Preparation of Flame Resistant Cotton Using Economic Inorganic Materials,2018.0,Fibers,10.3390/fib6040085,https://www.mdpi.com/2079-6439/6/4/85,TGA table,
22,TG0023,literature,L004-S001,L004,,,棉,织物,100% cotton,Control cotton,未处理,,,,,N2,,,,,,,99.0,343.2,,2.0414,wt%/°C,,,,,,19.57,,,,是,否,否,"Reactive Flame-Retardant Cotton Fabric Coating: Combustion Behavior, Durability, and Enhanced Retardant Mechanism with Ion Transfer",2022.0,Nanomaterials,10.3390/nano12224048,https://pmc.ncbi.nlm.nih.gov/articles/PMC9695240/,Table 4,
23,TG0024,literature,L004-S014,L004,,,棉,织物,100% cotton,BDA-30 (50 LCs),阻燃处理,boric acid + DTPMPA ammonium salt chelating FR (BDA),reactive coating,,,N2,,,,,,,88.4,285.8,,2.3141,wt%/°C,,,,,,36.21,,,27.8,是,是,是,"Reactive Flame-Retardant Cotton Fabric Coating: Combustion Behavior, Durability, and Enhanced Retardant Mechanism with Ion Transfer",2022.0,Nanomaterials,10.3390/nano12224048,https://pmc.ncbi.nlm.nih.gov/articles/PMC9695240/,Table 4,
24,TG0025,literature,L004-S015,L004,,,棉,织物,100% cotton,BDA-60 (50 LCs),阻燃处理,boric acid + DTPMPA ammonium salt chelating FR (BDA),reactive coating,,,N2,,,,,,,88.3,285.3,,2.7191,wt%/°C,,,,,,34.95,,,28.9,是,是,是,"Reactive Flame-Retardant Cotton Fabric Coating: Combustion Behavior, Durability, and Enhanced Retardant Mechanism with Ion Transfer",2022.0,Nanomaterials,10.3390/nano12224048,https://pmc.ncbi.nlm.nih.gov/articles/PMC9695240/,Table 4,
25,TG0026,literature,L004-S016,L004,,,棉,织物,100% cotton,BDA-90 (50 LCs),阻燃处理,boric acid + DTPMPA ammonium salt chelating FR (BDA),reactive coating,,,N2,,,,,,,90.8,287.4,,2.4666,wt%/°C,,,,,,36.33,,,30.3,是,是,是,"Reactive Flame-Retardant Cotton Fabric Coating: Combustion Behavior, Durability, and Enhanced Retardant Mechanism with Ion Transfer",2022.0,Nanomaterials,10.3390/nano12224048,https://pmc.ncbi.nlm.nih.gov/articles/PMC9695240/,Table 4,
26,TG0027,literature,L004-S017,L004,,,棉,织物,100% cotton,BDA-120 (50 LCs),阻燃处理,boric acid + DTPMPA ammonium salt chelating FR (BDA),reactive coating,,,N2,,,,,,,89.2,285.1,,2.6325,wt%/°C,,,,,,34.84,,,30.1,是,是,是,"Reactive Flame-Retardant Cotton Fabric Coating: Combustion Behavior, Durability, and Enhanced Retardant Mechanism with Ion Transfer",2022.0,Nanomaterials,10.3390/nano12224048,https://pmc.ncbi.nlm.nih.gov/articles/PMC9695240/,Table 4,
27,TG0028,literature,L005-S001,L005,,,棉,织物,100% cotton,Control,未处理,,,0.0,%,N2,50.0,10,323.3,,,,,,,,,,,,,,,,,17.2,是,是,是,Fabrication of an Eco-Friendly Clay-Based Coating for Enhancing Flame Retardant and Mechanical Properties of Cotton Fabrics via LbL Assembly,2022.0,Polymers,10.3390/polym14224994,https://doi.org/10.3390/polym14224994,TGA figure/text,
28,TG0029,literature,L005-S002,L005,,,棉,织物,100% cotton,Cotton-2TL,阻燃处理,clay-based layer-by-layer coating,LbL assembly,10.5,%,N2,50.0,10,,,,,,,,,,,,,,,,,,19.8,否,是,否,Fabrication of an Eco-Friendly Clay-Based Coating for Enhancing Flame Retardant and Mechanical Properties of Cotton Fabrics via LbL Assembly,2022.0,Polymers,10.3390/polym14224994,https://doi.org/10.3390/polym14224994,TGA figure/text,T5/Tmax待曲线数字化
29,TG0030,literature,L005-S003,L005,,,棉,织物,100% cotton,Cotton-5TL,阻燃处理,clay-based layer-by-layer coating,LbL assembly,28.3,%,N2,50.0,10,,,,,,,,,,,,,,,,,,22.8,否,是,否,Fabrication of an Eco-Friendly Clay-Based Coating for Enhancing Flame Retardant and Mechanical Properties of Cotton Fabrics via LbL Assembly,2022.0,Polymers,10.3390/polym14224994,https://doi.org/10.3390/polym14224994,TGA figure/text,T5/Tmax待曲线数字化
30,TG0031,literature,L005-S004,L005,,,棉,织物,100% cotton,Cotton-8TL,阻燃处理,clay-based layer-by-layer coating,LbL assembly,32.7,%,N2,50.0,10,268.5,,,,,,,,,,,,,,,,,27.0,是,是,是,Fabrication of an Eco-Friendly Clay-Based Coating for Enhancing Flame Retardant and Mechanical Properties of Cotton Fabrics via LbL Assembly,2022.0,Polymers,10.3390/polym14224994,https://doi.org/10.3390/polym14224994,TGA figure/text,
31,TG0032,literature,L006-S001,L006,,,棉,织物,100% cotton,Pure Cotton,未处理,,,,,N2,,,80.0,,,,,,,,,,,,,,2.1,,,17.0,是,是,是,"Advanced Phosphorus–Protein Hybrid Coatings for Fire Safety of Cotton Fabrics, Developed Through the Layer-by-Layer Assembly Technique",2025.0,Polymers,10.3390/polym17070945,https://doi.org/10.3390/polym17070945,TGA table,
32,TG0033,literature,L006-S001,L006,,,棉,织物,100% cotton,Pure Cotton,未处理,,,,,air,,,,,,,,,,,,,,,,,3.78,,,17.0,是,是,是,"Advanced Phosphorus–Protein Hybrid Coatings for Fire Safety of Cotton Fabrics, Developed Through the Layer-by-Layer Assembly Technique",2025.0,Polymers,10.3390/polym17070945,https://doi.org/10.3390/polym17070945,TGA table,该行首批仅录入空气残余质量
33,TG0034,literature,L006-S002,L006,,,棉,织物,100% cotton,3BL,阻燃处理,phosphorus–protein hybrid multilayer coating,Layer-by-layer assembly,,,N2,,,72.0,,,,,,,,,,,,,,22.4,,,23.0,是,是,是,"Advanced Phosphorus–Protein Hybrid Coatings for Fire Safety of Cotton Fabrics, Developed Through the Layer-by-Layer Assembly Technique",2025.0,Polymers,10.3390/polym17070945,https://doi.org/10.3390/polym17070945,TGA table,
34,TG0035,literature,L006-S002,L006,,,棉,织物,100% cotton,3BL,阻燃处理,phosphorus–protein hybrid multilayer coating,Layer-by-layer assembly,,,air,,,,,,,,,,,,,,,,,18.3,,,23.0,是,是,是,"Advanced Phosphorus–Protein Hybrid Coatings for Fire Safety of Cotton Fabrics, Developed Through the Layer-by-Layer Assembly Technique",2025.0,Polymers,10.3390/polym17070945,https://doi.org/10.3390/polym17070945,TGA table,该行首批仅录入空气残余质量
35,TG0036,literature,L006-S003,L006,,,棉,织物,100% cotton,6BL,阻燃处理,phosphorus–protein hybrid multilayer coating,Layer-by-layer assembly,,,N2,,,88.0,,,,,,,,,,,,,,25.3,,,26.0,是,是,是,"Advanced Phosphorus–Protein Hybrid Coatings for Fire Safety of Cotton Fabrics, Developed Through the Layer-by-Layer Assembly Technique",2025.0,Polymers,10.3390/polym17070945,https://doi.org/10.3390/polym17070945,TGA table,
36,TG0037,literature,L006-S003,L006,,,棉,织物,100% cotton,6BL,阻燃处理,phosphorus–protein hybrid multilayer coating,Layer-by-layer assembly,,,air,,,,,,,,,,,,,,,,,20.7,,,26.0,是,是,是,"Advanced Phosphorus–Protein Hybrid Coatings for Fire Safety of Cotton Fabrics, Developed Through the Layer-by-Layer Assembly Technique",2025.0,Polymers,10.3390/polym17070945,https://doi.org/10.3390/polym17070945,TGA table,该行首批仅录入空气残余质量
37,TG0038,literature,L006-S004,L006,,,棉,织物,100% cotton,9BL,阻燃处理,phosphorus–protein hybrid multilayer coating,Layer-by-layer assembly,,,N2,,,111.0,,,,,,,,,,,,,,34.7,,,29.0,是,是,是,"Advanced Phosphorus–Protein Hybrid Coatings for Fire Safety of Cotton Fabrics, Developed Through the Layer-by-Layer Assembly Technique",2025.0,Polymers,10.3390/polym17070945,https://doi.org/10.3390/polym17070945,TGA table,
38,TG0039,literature,L006-S004,L006,,,棉,织物,100% cotton,9BL,阻燃处理,phosphorus–protein hybrid multilayer coating,Layer-by-layer assembly,,,air,,,,,,,,,,,,,,,,,28.4,,,29.0,是,是,是,"Advanced Phosphorus–Protein Hybrid Coatings for Fire Safety of Cotton Fabrics, Developed Through the Layer-by-Layer Assembly Technique",2025.0,Polymers,10.3390/polym17070945,https://doi.org/10.3390/polym17070945,TGA table,该行首批仅录入空气残余质量
39,TG0040,literature,L006-S005,L006,,,棉,织物,100% cotton,12BL,阻燃处理,phosphorus–protein hybrid multilayer coating,Layer-by-layer assembly,,,N2,,,95.0,,,,,,,,,,,,,,28.8,,,26.0,是,是,是,"Advanced Phosphorus–Protein Hybrid Coatings for Fire Safety of Cotton Fabrics, Developed Through the Layer-by-Layer Assembly Technique",2025.0,Polymers,10.3390/polym17070945,https://doi.org/10.3390/polym17070945,TGA table,
40,TG0041,literature,L006-S005,L006,,,棉,织物,100% cotton,12BL,阻燃处理,phosphorus–protein hybrid multilayer coating,Layer-by-layer assembly,,,air,,,,,,,,,,,,,,,,,23.6,,,26.0,是,是,是,"Advanced Phosphorus–Protein Hybrid Coatings for Fire Safety of Cotton Fabrics, Developed Through the Layer-by-Layer Assembly Technique",2025.0,Polymers,10.3390/polym17070945,https://doi.org/10.3390/polym17070945,TGA table,该行首批仅录入空气残余质量
41,TG0042,literature,L007-S001,L007,,,棉,织物,Proban® flame-retardant cotton,UNW,阻燃材料/Proban,,,,,air (reaction gas; N2 purge),,30,,,,321.1,,,,,,,,,,,,,,32.0,是,是,是,Impact of Washing Parameters on Thermal Characteristics and Appearance of Proban®—Flame Retardant Material,2022.0,Materials,10.3390/ma15155373,https://www.mdpi.com/1996-1944/15/15/5373,Figures 1/3/5/7/9; methods section,321.1°C为原文“started at”温度，保留原文定义，不自动与统一外推Tonset或T5等同。
42,TG0043,literature,L007-S002,L007,,,棉,织物,Proban® flame-retardant cotton,46_10x,阻燃材料/Proban,,,,,air (reaction gas; N2 purge),,30,,,,,,,,,,,,,,,,,,32.0,否,是,否,Impact of Washing Parameters on Thermal Characteristics and Appearance of Proban®—Flame Retardant Material,2022.0,Materials,10.3390/ma15155373,https://www.mdpi.com/1996-1944/15/15/5373,Figures 1/3/5/7/9; methods section,精确峰温/残余量只有原文明确时才录入；其余待曲线数字化
43,TG0044,literature,L007-S003,L007,,,棉,织物,Proban® flame-retardant cotton,47_10x,阻燃材料/Proban,,,,,air (reaction gas; N2 purge),,30,,,,,,,,,,,,,,,,,,32.0,否,是,否,Impact of Washing Parameters on Thermal Characteristics and Appearance of Proban®—Flame Retardant Material,2022.0,Materials,10.3390/ma15155373,https://www.mdpi.com/1996-1944/15/15/5373,Figures 1/3/5/7/9; methods section,精确峰温/残余量只有原文明确时才录入；其余待曲线数字化
44,TG0045,literature,L007-S004,L007,,,棉,织物,Proban® flame-retardant cotton,48_10x,阻燃材料/Proban,,,,,air (reaction gas; N2 purge),,30,,,,,,,,,,,,,,,,,,32.0,否,是,否,Impact of Washing Parameters on Thermal Characteristics and Appearance of Proban®—Flame Retardant Material,2022.0,Materials,10.3390/ma15155373,https://www.mdpi.com/1996-1944/15/15/5373,Figures 1/3/5/7/9; methods section,精确峰温/残余量只有原文明确时才录入；其余待曲线数字化
45,TG0046,literature,L007-S005,L007,,,棉,织物,Proban® flame-retardant cotton,49_10x,阻燃材料/Proban,,,,,air (reaction gas; N2 purge),,30,,,,,,,,,,,,,,,,850.0,14.932,32.0,是,是,是,Impact of Washing Parameters on Thermal Characteristics and Appearance of Proban®—Flame Retardant Material,2022.0,Materials,10.3390/ma15155373,https://www.mdpi.com/1996-1944/15/15/5373,Figures 1/3/5/7/9; methods section,精确峰温/残余量只有原文明确时才录入；其余待曲线数字化
46,TG0047,literature,L008-S001,L008,,,棉,织物,100% cotton,Control,未处理,,,0.0,%,N2,,,322.0,367.0,,,359.0,,,1.36,%/°C,,,,,3.65,,,,18.0,是,是,是,High-Efficient Flame-Retardant Finishing of Cotton Fabrics Based on Phytic Acid,2023.0,International Journal of Molecular Sciences,10.3390/ijms24021093,https://doi.org/10.3390/ijms24021093,TGA table,
47,TG0048,literature,L008-S001,L008,,,棉,织物,100% cotton,Control,未处理,,,0.0,%,air,,,311.0,331.0,,,343.0,462.0,,1.32,%/°C,,,,,0.48,,,,18.0,是,是,是,High-Efficient Flame-Retardant Finishing of Cotton Fabrics Based on Phytic Acid,2023.0,International Journal of Molecular Sciences,10.3390/ijms24021093,https://doi.org/10.3390/ijms24021093,TGA table,
48,TG0049,literature,L008-S004,L008,,,棉,织物,100% cotton,PAP-200,阻燃处理,phytic acid,finishing,21.2,%,N2,,,213.0,233.0,,,249.0,345.0,,0.48,%/°C,,,,,37.68,,,,32.6,是,是,是,High-Efficient Flame-Retardant Finishing of Cotton Fabrics Based on Phytic Acid,2023.0,International Journal of Molecular Sciences,10.3390/ijms24021093,https://doi.org/10.3390/ijms24021093,TGA table,
49,TG0050,literature,L008-S004,L008,,,棉,织物,100% cotton,PAP-200,阻燃处理,phytic acid,finishing,21.2,%,air,,,210.0,232.0,,,248.0,521.0,,0.48,%/°C,,,,,7.24,,,,32.6,是,是,是,High-Efficient Flame-Retardant Finishing of Cotton Fabrics Based on Phytic Acid,2023.0,International Journal of Molecular Sciences,10.3390/ijms24021093,https://doi.org/10.3390/ijms24021093,TGA table,
50,TG0051,literature,L008-S005,L008,,,棉,织物,100% cotton,PAPBTCA-200,阻燃处理,phytic acid + BTCA,finishing,20.3,%,N2,,,288.0,315.0,,,317.0,409.0,,0.74,%/°C,,,,,21.82,,,,31.5,是,是,是,High-Efficient Flame-Retardant Finishing of Cotton Fabrics Based on Phytic Acid,2023.0,International Journal of Molecular Sciences,10.3390/ijms24021093,https://doi.org/10.3390/ijms24021093,TGA table,
51,TG0052,literature,L008-S005,L008,,,棉,织物,100% cotton,PAPBTCA-200,阻燃处理,phytic acid + BTCA,finishing,20.3,%,air,,,283.0,310.0,,,312.0,500.0,,0.71,%/°C,,,,,2.86,,,,31.5,是,是,是,High-Efficient Flame-Retardant Finishing of Cotton Fabrics Based on Phytic Acid,2023.0,International Journal of Molecular Sciences,10.3390/ijms24021093,https://doi.org/10.3390/ijms24021093,TGA table,
52,TG0053,literature,L009-S001,L009,,,棉,织物,100% cotton,Control,未处理,,,0.0,%,,,,,,,,389.0,585.0,,,,,,,1.17,,,,,18.0,是,是,是,Environmentally-Benign Phytic Acid-Based Multilayer Coating for Flame Retardant Cotton,2020.0,Materials,10.3390/ma13235492,https://pmc.ncbi.nlm.nih.gov/articles/PMC7730485/,Table 4,
53,TG0054,literature,L009-S002,L009,,,棉,织物,100% cotton,8BL,阻燃处理,phytic acid-based multilayer coating,LbL assembly,12.36,%,,,,,,,,323.0,552.0,,,,,,,6.96,,,,,26.0,是,是,是,Environmentally-Benign Phytic Acid-Based Multilayer Coating for Flame Retardant Cotton,2020.0,Materials,10.3390/ma13235492,https://pmc.ncbi.nlm.nih.gov/articles/PMC7730485/,Table 4,
54,TG0055,literature,L009-S003,L009,,,棉,织物,100% cotton,10BL,阻燃处理,phytic acid-based multilayer coating,LbL assembly,17.29,%,,,,,,,,334.0,604.0,,,,,,,14.63,,,,,28.0,是,是,是,Environmentally-Benign Phytic Acid-Based Multilayer Coating for Flame Retardant Cotton,2020.0,Materials,10.3390/ma13235492,https://pmc.ncbi.nlm.nih.gov/articles/PMC7730485/,Table 4,
55,TG0056,literature,L009-S004,L009,,,棉,织物,100% cotton,12BL,阻燃处理,phytic acid-based multilayer coating,LbL assembly,18.19,%,,,,,,,,326.0,592.0,,,,,,,13.82,,,,,29.0,是,是,是,Environmentally-Benign Phytic Acid-Based Multilayer Coating for Flame Retardant Cotton,2020.0,Materials,10.3390/ma13235492,https://pmc.ncbi.nlm.nih.gov/articles/PMC7730485/,Table 4,
56,TG0057,literature,L009-S005,L009,,,棉,织物,100% cotton,15BL,阻燃处理,phytic acid-based multilayer coating,LbL assembly,20.12,%,,,,,,,,327.0,607.0,,,,,,,13.8,,,,,31.0,是,是,是,Environmentally-Benign Phytic Acid-Based Multilayer Coating for Flame Retardant Cotton,2020.0,Materials,10.3390/ma13235492,https://pmc.ncbi.nlm.nih.gov/articles/PMC7730485/,Table 4,
57,TG0058,literature,L010-S001,L010,,,棉,织物,100% cotton,Control,未处理,,,,,air,30.0,30,,,,360.0,396.0,578.0,,,,,,,0.4,,,,,18.0,是,是,是,Environmentally Benign Phytic Acid-Based Nanocoating for Multifunctional Flame-Retardant/Antibacterial Cotton,2021.0,Fibers,10.3390/fib9110069,https://doi.org/10.3390/fib9110069,TGA table,
58,TG0059,literature,L010-S002,L010,,,棉,织物,100% cotton,8BL,阻燃处理,phytic acid multilayer,LbL/nanocoating,,,air,30.0,30,,,,324.0,364.0,623.0,,,,,,,8.3,,,,,21.5,是,是,是,Environmentally Benign Phytic Acid-Based Nanocoating for Multifunctional Flame-Retardant/Antibacterial Cotton,2021.0,Fibers,10.3390/fib9110069,https://doi.org/10.3390/fib9110069,TGA table,
59,TG0060,literature,L010-S003,L010,,,棉,织物,100% cotton,10BL,阻燃处理,phytic acid multilayer,LbL/nanocoating,,,air,30.0,30,,,,316.0,342.0,640.0,,,,,,,13.8,,,,,,是,否,否,Environmentally Benign Phytic Acid-Based Nanocoating for Multifunctional Flame-Retardant/Antibacterial Cotton,2021.0,Fibers,10.3390/fib9110069,https://doi.org/10.3390/fib9110069,TGA table,LOI数值首批未提取
60,TG0061,literature,L010-S004,L010,,,棉,织物,100% cotton,12BL,阻燃处理,phytic acid multilayer,LbL/nanocoating,,,air,30.0,30,,,,312.0,339.0,636.0,,,,,,,14.9,,,,,24.5,是,是,是,Environmentally Benign Phytic Acid-Based Nanocoating for Multifunctional Flame-Retardant/Antibacterial Cotton,2021.0,Fibers,10.3390/fib9110069,https://doi.org/10.3390/fib9110069,TGA table,
61,TG0062,literature,L010-S005,L010,,,棉,织物,100% cotton,8BL+Cu,阻燃处理,phytic acid multilayer + Cu/Ag-related nanoparticle treatment,LbL/nanocoating,,,air,30.0,30,,,,258.0,334.0,578.0,,,,,,,3.3,,,,,23.5,是,是,是,Environmentally Benign Phytic Acid-Based Nanocoating for Multifunctional Flame-Retardant/Antibacterial Cotton,2021.0,Fibers,10.3390/fib9110069,https://doi.org/10.3390/fib9110069,TGA table,
