<PARSED TEXT FOR SHEET: 1 / 1 TABS,DOI,FR_concentration_g_L,LOI_max_pct,LOI_min_pct,LOI_pct,LOI_state,LOI_uncertainty_pct,PA_UR_concentration_g_L,PA_dosage_owf_pct,R400_pct,R500_pct,R550_pct,R600_pct,R650_pct,R700_pct,R750_pct,R800_pct,T10_C,T1_C,T20_C,T40_C,T50_C,T5_C,Tmax1_C,Tmax2_C,Tmax3_C,Tmax4_C,Tonset_C,add_on_pct,add_on_pct_initial,application,area_density_g_m2,atmosphere,batch_id,bilayers,commercial_FR_product,commercial_fabric_id,composition,dataset_type,decomposition_end_C,direct_numeric_use,evidence,gas_flow_mL_min,grafting_pct,heating_rate_C_min,journal,limitations,loading_pct,material_category,material_form,material_form_LOI,material_form_TGA,max_mass_loss_rate,max_mass_loss_rate1,max_mass_loss_rate2,rate_unit,residue_at_Tmax1_pct,residue_at_Tmax2_pct,residue_at_Tmax3_pct,residue_at_Tmax_pct,sample_state,source_file,source_location,source_title,source_type,source_url,stage1_end_C,stage1_mass_loss_pct,stage1_start_C,stage2_end_C,stage2_mass_loss_pct,stage2_start_C,stage3_mass_loss_pct,stage3_start_C,treatment_chemistry,treatment_method,treatment_state,trilayers,washing_state,weight_gain_pct,year,pair_quality,pair_key
,10.1177/1558925019870301,,,,26.0,as prepared,0.17,,,,,,9.35,,,,,393.0,,,,,,445.0,,,,,5.53,,automotive interior / decorative textile,110.0,N2,B20260921-173,20.0,,,100% PET,,,TG+LOI,Open-access full article. Table 1 gives add-on and LOI for the primary PET/PET-1/PET-5/PET-10/PET-20 LBL series; Tables 3–4 give TGA for the same named untreated/LBL-treated series in N2 and air. TGA: room temperature to 650 °C at 10 °C/min.,,,10.0,Journal of Engineered Fibers and Fabrics,The paper separately studies an alkali-pretreated LBL series in Table 2 using the same PET-1/PET-5/... labels. The TGA section refers to the primary untreated/LBL-assembled series and does not report a separate alkali-pretreated TGA dataset; rows here are therefore mapped to the non-alkali primary series and retain its Table 1 add-ons.,,polyester,knitted fabric,,,,1.88,,,,,,,PET-20,data/incoming/verified_web_batch_20260921_b15_pet_lbl_automotive.csv,"Experimental §§ Materials/LBL/Characterization; Tables 1, 3, 4",Layer-by-layer assembly flame-retardant and anti-dripping treatment of polyethylene terephthalate fabrics,,https://journals.sagepub.com/doi/full/10.1177/1558925019870301,,,,,,,,,branched polyethylenimine (BPEI) / ammonium polyphosphate (APP) layer-by-layer coating,"alternating BPEI (0.5 wt%, pH 10) and APP (0.5 wt%, pH 4) dip/rinse/dry cycles; no alkali pretreatment for this primary series",FR treated,,,,2019.0,A,10.1177/1558925019870301||PET-20||N2||10.0
,10.1177/1558925019870301,,,,21.1,as prepared,0.08,,,,,,0.42,,,,,401.0,,,,,,430.0,564.0,,,,,,automotive interior / decorative textile,110.0,air,B20260921-174,0.0,,,100% PET,,,TG+LOI,Open-access full article. Table 1 gives add-on and LOI for the primary PET/PET-1/PET-5/PET-10/PET-20 LBL series; Tables 3–4 give TGA for the same named untreated/LBL-treated series in N2 and air. TGA: room temperature to 650 °C at 10 °C/min.,,,10.0,Journal of Engineered Fibers and Fabrics,The paper separately studies an alkali-pretreated LBL series in Table 2 using the same PET-1/PET-5/... labels. The TGA section refers to the primary untreated/LBL-assembled series and does not report a separate alkali-pretreated TGA dataset; rows here are therefore mapped to the non-alkali primary series and retain its Table 1 add-ons.,,polyester,knitted fabric,,,,1.92,0.16,,,,,,PET,data/incoming/verified_web_batch_20260921_b15_pet_lbl_automotive.csv,"Experimental §§ Materials/LBL/Characterization; Tables 1, 3, 4",Layer-by-layer assembly flame-retardant and anti-dripping treatment of polyethylene terephthalate fabrics,,https://journals.sagepub.com/doi/full/10.1177/1558925019870301,,,,,,,,,branched polyethylenimine (BPEI) / ammonium polyphosphate (APP) layer-by-layer coating,"alternating BPEI (0.5 wt%, pH 10) and APP (0.5 wt%, pH 4) dip/rinse/dry cycles; no alkali pretreatment for this primary series",untreated,,,,2019.0,A,10.1177/1558925019870301||PET||air||10.0
,10.1177/1558925019870301,,,,22.2,as prepared,0.11,,,,,,0.56,,,,,401.0,,,,,,431.0,566.0,,,,0.34,,automotive interior / decorative textile,110.0,air,B20260921-175,1.0,,,100% PET,,,TG+LOI,Open-access full article. Table 1 gives add-on and LOI for the primary PET/PET-1/PET-5/PET-10/PET-20 LBL series; Tables 3–4 give TGA for the same named untreated/LBL-treated series in N2 and air. TGA: room temperature to 650 °C at 10 °C/min.,,,10.0,Journal of Engineered Fibers and Fabrics,The paper separately studies an alkali-pretreated LBL series in Table 2 using the same PET-1/PET-5/... labels. The TGA section refers to the primary untreated/LBL-assembled series and does not report a separate alkali-pretreated TGA dataset; rows here are therefore mapped to the non-alkali primary series and retain its Table 1 add-ons.,,polyester,knitted fabric,,,,1.86,0.16,,,,,,PET-1,data/incoming/verified_web_batch_20260921_b15_pet_lbl_automotive.csv,"Experimental §§ Materials/LBL/Characterization; Tables 1, 3, 4",Layer-by-layer assembly flame-retardant and anti-dripping treatment of polyethylene terephthalate fabrics,,https://journals.sagepub.com/doi/full/10.1177/1558925019870301,,,,,,,,,branched polyethylenimine (BPEI) / ammonium polyphosphate (APP) layer-by-layer coating,"alternating BPEI (0.5 wt%, pH 10) and APP (0.5 wt%, pH 4) dip/rinse/dry cycles; no alkali pretreatment for this primary series",FR treated,,,,2019.0,A,10.1177/1558925019870301||PET-1||air||10.0
,10.1177/1558925019870301,,,,24.0,as prepared,0.13,,,,,,2.2,,,,,400.0,,,,,,432.0,568.0,,,,1.17,,automotive interior / decorative textile,110.0,air,B20260921-176,5.0,,,100% PET,,,TG+LOI,Open-access full article. Table 1 gives add-on and LOI for the primary PET/PET-1/PET-5/PET-10/PET-20 LBL series; Tables 3–4 give TGA for the same named untreated/LBL-treated series in N2 and air. TGA: room temperature to 650 °C at 10 °C/min.,,,10.0,Journal of Engineered Fibers and Fabrics,The paper separately studies an alkali-pretreated LBL series in Table 2 using the same PET-1/PET-5/... labels. The TGA section refers to the primary untreated/LBL-assembled series and does not report a separate alkali-pretreated TGA dataset; rows here are therefore mapped to the non-alkali primary series and retain its Table 1 add-ons.,,polyester,knitted fabric,,,,1.84,0.15,,,,,,PET-5,data/incoming/verified_web_batch_20260921_b15_pet_lbl_automotive.csv,"Experimental §§ Materials/LBL/Characterization; Tables 1, 3, 4",Layer-by-layer assembly flame-retardant and anti-dripping treatment of polyethylene terephthalate fabrics,,https://journals.sagepub.com/doi/full/10.1177/1558925019870301,,,,,,,,,branched polyethylenimine (BPEI) / ammonium polyphosphate (APP) layer-by-layer coating,"alternating BPEI (0.5 wt%, pH 10) and APP (0.5 wt%, pH 4) dip/rinse/dry cycles; no alkali pretreatment for this primary series",FR treated,,,,2019.0,A,10.1177/1558925019870301||PET-5||air||10.0
,10.1177/1558925019870301,,,,25.2,as prepared,0.08,,,,,,3.75,,,,,399.0,,,,,,432.0,571.0,,,,2.89,,automotive interior / decorative textile,110.0,air,B20260921-177,10.0,,,100% PET,,,TG+LOI,Open-access full article. Table 1 gives add-on and LOI for the primary PET/PET-1/PET-5/PET-10/PET-20 LBL series; Tables 3–4 give TGA for the same named untreated/LBL-treated series in N2 and air. TGA: room temperature to 650 °C at 10 °C/min.,,,10.0,Journal of Engineered Fibers and Fabrics,The paper separately studies an alkali-pretreated LBL series in Table 2 using the same PET-1/PET-5/... labels. The TGA section refers to the primary untreated/LBL-assembled series and does not report a separate alkali-pretreated TGA dataset; rows here are therefore mapped to the non-alkali primary series and retain its Table 1 add-ons.,,polyester,knitted fabric,,,,1.77,0.14,,,,,,PET-10,data/incoming/verified_web_batch_20260921_b15_pet_lbl_automotive.csv,"Experimental §§ Materials/LBL/Characterization; Tables 1, 3, 4",Layer-by-layer assembly flame-retardant and anti-dripping treatment of polyethylene terephthalate fabrics,,https://journals.sagepub.com/doi/full/10.1177/1558925019870301,,,,,,,,,branched polyethylenimine (BPEI) / ammonium polyphosphate (APP) layer-by-layer coating,"alternating BPEI (0.5 wt%, pH 10) and APP (0.5 wt%, pH 4) dip/rinse/dry cycles; no alkali pretreatment for this primary series",FR treated,,,,2019.0,A,10.1177/1558925019870301||PET-10||air||10.0
,10.1177/1558925019870301,,,,26.0,as prepared,0.17,,,,,,4.46,,,,,396.0,,,,,,432.0,571.0,,,,5.53,,automotive interior / decorative textile,110.0,air,B20260921-178,20.0,,,100% PET,,,TG+LOI,Open-access full article. Table 1 gives add-on and LOI for the primary PET/PET-1/PET-5/PET-10/PET-20 LBL series; Tables 3–4 give TGA for the same named untreated/LBL-treated series in N2 and air. TGA: room temperature to 650 °C at 10 °C/min.,,,10.0,Journal of Engineered Fibers and Fabrics,The paper separately studies an alkali-pretreated LBL series in Table 2 using the same PET-1/PET-5/... labels. The TGA section refers to the primary untreated/LBL-assembled series and does not report a separate alkali-pretreated TGA dataset; rows here are therefore mapped to the non-alkali primary series and retain its Table 1 add-ons.,,polyester,knitted fabric,,,,1.73,0.13,,,,,,PET-20,data/incoming/verified_web_batch_20260921_b15_pet_lbl_automotive.csv,"Experimental §§ Materials/LBL/Characterization; Tables 1, 3, 4",Layer-by-layer assembly flame-retardant and anti-dripping treatment of polyethylene terephthalate fabrics,,https://journals.sagepub.com/doi/full/10.1177/1558925019870301,,,,,,,,,branched polyethylenimine (BPEI) / ammonium polyphosphate (APP) layer-by-layer coating,"alternating BPEI (0.5 wt%, pH 10) and APP (0.5 wt%, pH 4) dip/rinse/dry cycles; no alkali pretreatment for this primary series",FR treated,,,,2019.0,A,10.1177/1558925019870301||PET-20||air||10.0
,10.3390/ma11040483,,,,17.0,as prepared,,,,,,,,,,,0.0,,,,,,297.0,308.0,381.0,664.0,,,,,,,air,B20260921-179,0.0,,,PAN fabric,,,TG+LOI,"Open full text. Table 2 provides TG/DTG parameters in air and N2; text reports LOI 17.0 vol% for PAN and 33.2 vol% for FR-PAN. TGA method explicitly states 20–800 °C, 10 °C/min, air flux 50 mL/min; nitrogen dataset is reported in Figure 6/Table 2 but N2 flow is not specified.",50.0,,10.0,Materials,Air TGA gas flow is explicitly 50 mL/min. Nitrogen flow is not stated and is left blank.,,polyacrylonitrile,fabric,,,,,,,,,,,PAN,data/incoming/verified_web_batch_20260921_b16_pan_solgel_lbl.csv,Methods §2.5; Table 2; flame-retardancy discussion,Preparation of Flame Retardant Polyacrylonitrile Fabric Based on Sol-Gel and Layer-by-Layer Assembly,,https://pmc.ncbi.nlm.nih.gov/articles/PMC5951329/,,,,,,,,,,,untreated,,,,2018.0,A,10.3390/ma11040483||PAN||air||10.0
,10.3390/ma11040483,,,,33.2,as prepared,,,,,,,,,,,57.0,,,,,,281.0,324.0,392.0,,,,,,,,air,B20260921-180,10.0,,,PAN fabric,,,TG+LOI,"Open full text. Table 2 provides TG/DTG parameters in air and N2; text reports LOI 17.0 vol% for PAN and 33.2 vol% for FR-PAN. TGA method explicitly states 20–800 °C, 10 °C/min, air flux 50 mL/min; nitrogen dataset is reported in Figure 6/Table 2 but N2 flow is not specified.",50.0,,10.0,Materials,Air TGA gas flow is explicitly 50 mL/min. Nitrogen flow is not stated and is left blank.,,polyacrylonitrile,fabric,,,,,,,,,,,FR-PAN,data/incoming/verified_web_batch_20260921_b16_pan_solgel_lbl.csv,Methods §2.5; Table 2; flame-retardancy discussion,Preparation of Flame Retardant Polyacrylonitrile Fabric Based on Sol-Gel and Layer-by-Layer Assembly,,https://pmc.ncbi.nlm.nih.gov/articles/PMC5951329/,,,,,,,,,silica-sol / phytic acid multilayer coating,10 bilayers by sol-gel + layer-by-layer assembly; vacuum dry 60 °C 30 min; cure 160 °C 5 min,FR treated,,,,2018.0,A,10.3390/ma11040483||FR-PAN||air||10.0
,10.3390/ma11040483,,,,17.0,as prepared,,,,,,,,,,,44.0,,,,,,310.0,320.0,420.0,,,,,,,,N2,B20260921-181,0.0,,,PAN fabric,,,TG+LOI,"Open full text. Table 2 provides TG/DTG parameters in air and N2; text reports LOI 17.0 vol% for PAN and 33.2 vol% for FR-PAN. TGA method explicitly states 20–800 °C, 10 °C/min, air flux 50 mL/min; nitrogen dataset is reported in Figure 6/Table 2 but N2 flow is not specified.",,,10.0,Materials,Air TGA gas flow is explicitly 50 mL/min. Nitrogen flow is not stated and is left blank.,,polyacrylonitrile,fabric,,,,,,,,,,,PAN,data/incoming/verified_web_batch_20260921_b16_pan_solgel_lbl.csv,Methods §2.5; Table 2; flame-retardancy discussion,Preparation of Flame Retardant Polyacrylonitrile Fabric Based on Sol-Gel and Layer-by-Layer Assembly,,https://pmc.ncbi.nlm.nih.gov/articles/PMC5951329/,,,,,,,,,,,untreated,,,,2018.0,A,10.3390/ma11040483||PAN||N2||10.0
,10.3390/ma11040483,,,,33.2,as prepared,,,,,,,,,,,68.0,,,,,,201.0,330.0,405.0,,,,,,,,N2,B20260921-182,10.0,,,PAN fabric,,,TG+LOI,"Open full text. Table 2 provides TG/DTG parameters in air and N2; text reports LOI 17.0 vol% for PAN and 33.2 vol% for FR-PAN. TGA method explicitly states 20–800 °C, 10 °C/min, air flux 50 mL/min; nitrogen dataset is reported in Figure 6/Table 2 but N2 flow is not specified.",,,10.0,Materials,Air TGA gas flow is explicitly 50 mL/min. Nitrogen flow is not stated and is left blank.,,polyacrylonitrile,fabric,,,,,,,,,,,FR-PAN,data/incoming/verified_web_batch_20260921_b16_pan_solgel_lbl.csv,Methods §2.5; Table 2; flame-retardancy discussion,Preparation of Flame Retardant Polyacrylonitrile Fabric Based on Sol-Gel and Layer-by-Layer Assembly,,https://pmc.ncbi.nlm.nih.gov/articles/PMC5951329/,,,,,,,,,silica-sol / phytic acid multilayer coating,10 bilayers by sol-gel + layer-by-layer assembly; vacuum dry 60 °C 30 min; cure 160 °C 5 min,FR treated,,,,2018.0,A,10.3390/ma11040483||FR-PAN||N2||10.0
,10.3390/ma13235492,,,,18.0,as prepared,,,,,,,,1.17,,,,,,,,,,389.0,585.0,,,,,,,,air,B20260921-183,0.0,,,chemically bleached cotton,,,TG+LOI,"Open full text Tables 1 and 4. TGA: PerkinElmer Pyris 1, 50–850 °C, 30 °C/min in air at 30 mL/min. Table 1 gives LOI and weight gain for the same control/8/10/12/15 BL states; Table 4 gives Tmax and char yields.",30.0,,30.0,Materials,TGA residue at 650 °C is stored exactly as reported; no temperature-bin substitution.,,cotton,fabric,,,,,,,46.28,5.2,,,Control,data/incoming/verified_web_batch_20260921_b17_cotton_pa_ch_urea.csv,Methods; Tables 1 and 4,Environmentally-Benign Phytic Acid-Based Multilayer Coating for Flame Retardant Cotton,,https://pmc.ncbi.nlm.nih.gov/articles/PMC7730485/,,,,,,,,,chitosan-urea/phytic acid (CH-urea/PA) layer-by-layer coating,"alternate PA and CH-urea immersion; 5 min first layer, 1 min subsequent layers; rinse after each immersion; dry 80 °C for 24 h after LbL treatment",untreated,,,,2020.0,A,10.3390/ma13235492||Control||air||30.0
